,제목,저자,출판일,기관,초록
0,한국적 여가개념사 연구: 「조선왕조실록」에 나타난 행정관료의 여가에 대한 태도,신종화 /SHIN Jong-Hwa,2013,여가문화학회,"여가는 레저의 단순한 번역어가 아니다. 레저의 번역어로 사용되기 전에 적어도 대략 500년의 이전 기록을 갖고 있다. 이 글은 여가라는 용어가 어떤 맥락에서 오랜 기간 사용되어 왔는가에 대한 문헌적 고찰을 시도한다. 이를 바탕으로 여가가 이해되고, 회자되어 온 방식의 역사적 근거를 제시하고, 개념사적 요약을 시도한다. I장에서는 한국적 여가 개념사 연구 발전의 필요성을 제기하고, 방법론적 특징을 소개한다. II장에서는 연구 대상인 「조선왕조실록」에서 여가가 어떻게 사용되는지 용례를 정리한다. 연대기별, 대화 주체와 대상별, 개별 문장 용례 등을 소개한다. III장에서는 보다 일반론적인 차원에서 「조선왕조실록」의 여가 용례를 한국적 여가 담론의 특징과 관련하여 해석한다. 일 중심, 시간 중심, 여가역할모델 추천담론 등이 소개된다. 결론(소결)에서는 이 연구의 제약과 시사점 정리를 통하여 추가적인 연구방향성을 모색한다.여가(Yeoga) is not a simple translation of leisure. It had had about five hundred years’ own history before it began to use leisure’s translation. The author intends to a philological analysis in this paper for identifying in which context 여가(Yeoga) was mobilized for a long time. With help of the analysis, historical evidences of the mode of circulating the word, (Yeoga) are suggested and continuously a short summary of its conceptual history is attempted. First, the necessity of the conceptual history of 여가(Yeoga) is raised and its methodological specificities are introduced. Second, the usages of the text, the Annals of the Chosun Dynasty, are introduced in list: chronologically; the-speaker-and-listener-order; in individual sentences. Next, the usages of 여가(Yeoga) in the Annals of the Chosun Dynasty are interpreted in the more generalized theoretical level with a regard to specific characteristics of the Korean discourse of 여가(Yeoga). Work-oriented, time-oriented and role-model recommending discourses are introduced. In conclusion, further research agendas are suggested upon the limits of this study.yeoga(leisure), Annals of Chosun Dynasty, history of concept, text analysis, bureaucrats"
1,"여가스포츠 참여자의 여가유능감, 여가몰입, 여가만족, 자기효능감 간의 구조적 관계",안병욱 /Byoung Wook Ahn,2012,여가문화학회,"본 연구의 목적은 여가스포츠 참여자의 여가유능감, 여가몰입, 여가만족, 자기효능감 간의 관계를 규명하는 데 있다. 본 연구의 목적을 달성하기 위하여 서울, 인천, 경기에서 배드민턴, 골프, 댄스스포츠, 스키, 테니스에 참여하는 성인 남녀를 대상으로 총 300부의 설문지를 배포하였으며 최종 자료 분석에 사용된 설문지는 278부이다. 본 연구의 자료처리는 SPSS 18.0과 AMOS 18.0을 이용하여 빈도분석, 신뢰도분석, 확인적 요인분석, 구조방정식 모델을 사용하였다. 여가스포츠 참여자의 여가유능감과 여가몰입, 여가만족, 자기효능감 간의 관계를 검증한 결과, 첫째, 여가스포츠 참여자의 여가유능감은 여가몰입에 긍정적인 영향을 미치고 있다. 둘째, 여가스포츠 참여자의 여가유능감은 여가만족에 긍정적인 영향을 미치고 있다. 셋째, 여가스포츠 참여자의 여가유능감은 자기효능감에 긍정적인 영향을 미치고 있다. 넷째, 여가스포츠 참여자의 여가몰입은 여가만족에 영향을 미치지 않았다. 다섯째, 여가스포츠 참여자의 여가몰입은 자기효능감에 영향을 미치지 않았다.The purpose of this study was to examine the relationship model of leisure competence, flow, satisfaction, and self-efficacy in leisure sports participants. To achieve the goal of this study, a total of 278 surveys collected from badminton, golf, dance sports, ski, and tennis participants in Seoul, Incheon, Kyunggi, and Kangwoon areas was utilized for analyzing. Frequency, reliability, confirmatory factor analysis, and structural equation modeling were conducted using SPSS 18.0 and AMOS 18.0. Main findings were as follows: First, leisure competence had a positive effect on leisure flow. Second, leisure competence had a positive influence on leisure satisfaction. Third, leisure competence positively affected self-efficacy. Fourth, leisure flow did not have a significant effect on leisure satisfaction. Finally, leisure flow did not significantly influence self-efficacy.leisure sports, leisure competence, leisure flow, leisure satisfaction, self-efficacy"
2,여가스포츠 참가자의 진지한 여가와 일상적 여가 구분에 따른 여가제약과 여가제약 협상전략 분석,이문진 /Munjin Lee,2012,여가문화학회,"본 연구에서는 진지한 여가 척도(SLIM)의 축약형인 18문항 단일요인 진지한 여가척도를 활용하여 진지한 여가 성향의 수준을 측정하고, 성향이 높은 집단과 낮은 집단으로 분류하여 여가패턴(진지한 여가와 일상적 여가)의 구분을 시도하였다. 그 결과 진지한 여가 성향의 수준은 진지한 여가패턴의 평균이 4.15, 일상적 여가패턴의 평균이 3.13으로 나타났다. 여가패턴을 기준으로 여가스포츠 활동 참가수준 및 투자수준을 비교하였으며, 여가패턴 별 여가제약과 여가제약 협상전략을 분석하였다. 이러한 분석을 통하여 다음과 같은 결론을 얻을 수 있었다. 첫째, 진지한 여가패턴의 참가자가 여가활동 참가수준(빈도, 강도, 기간) 및 투자 수준이 더 높은 것으로 나타났다. 둘째, 진지한 여가패턴의 참가자들은 일상적 여가패턴의 참가자들 보다 인지하고 있는 여가제약의 수준이 더 낮았다. 셋째, 진지한 여가패턴의 참가자들은 일상적 여가패턴의 참가자들 보다 여가제약을 극복하기 위한 협상노력의 수준이 더 높았다.The concept of serious leisure was considered as a leisure pattern in this study. 296 data was collected and t-test was used for analysis. The levels of serious leisure were measured by using the short form of SLIM. Based on the levels, serious leisure pattern group and casual leisure pattern group were divided. Each group consisted of 120 subjects. The SLIM mean score of serious leisure pattern group was 4.15 and casual leisure pattern group was 3.13. The levels of participation, leisure constraints, and leisure constraints negotiation strategy were compared between two groups. The results were as follows; Firstly, the serious leisure pattern group showed the higher leisure participation(frequency, intensity, duration) level than the casual leisure pattern group. Secondly, the serious leisure pattern group showed the lower leisure constraints level perceived than the casual leisure pattern group. Lastly, the serious leisure pattern group showed higher level of leisure constraints negotiation strategy over the casual leisure pattern group.serious leisure, casual leisure, leisure pattern, leisure constraints, leisure constraints negotiation"
3,여가스포츠 유형에 따른 여가제약협상전략과 여가제약의 관계 : 여가제약감소 이론을 바탕으로,황선환 /Hwang， Sunhwan,2013,여가문화학회,"본 연구는 여가스포츠 참가자의 여가제약에 영향을 미치는 구체적인 여가제약협상전략을 파악하는 것에 그 목적이 있으며, 추가적으로 여가제약과 여가제약협상의 관계에 있어 여가스포츠 유형에 따른 차이를 파악하는데 그 목적이 있다. 서울·경기지역의 18세 이상 여가스포츠 참가자 330명을 목적표집방법으로 표집하였으며, 총 286개 자료를 최종분석에 활용하였다. SPSS 18.0와 AMOS 18.0을 활용하여 빈도분석, 신뢰도분석, 요인분석, 상관관계분석 및 다중회귀분석을 실시하였고, 이를 통해 다음과 같은 연구결과를 도출하였다. 첫째, 여가스포츠활동 참가자의 여가제약협상은 여가제약에 영향을 미친다. 구체적으로 강도조절 전략은 부정적인식과 부상위험 제약에 부적 영향을 미치고, 동반자탐색 전략은 시간부족과 여건부족 제약에 부적 영향을 미친다. 반면에 여가제약협상의 여건마련은 시간부족과 부상위험에 정적인 영향을 미친다. 이를 통해 여가제약과 여가제약협상의 관계는 일방적인 관계가 아니라는 것을 제시했다. 둘째, 여가스포츠 유형 중 개인종목에서는 여가제약협상이 여가제약에 영향을 미친다. 구체적으로 여가제약협상의 기술습득 전략은 시설환경 제약에 부적 영향을 미치며, 동반자탐색 전략은 시간부족 제약에 부적 영향을 미친다. 반면에 여가제약협상 중 여건마련은 시설환경과 시간부족 제약에 정적인 영향을 미친다. 그에 반해 대인종목과 단체종목에서는 여가제약협상이 여가제약에 유의한 영향을 미치지 않는다.The purpose of the current study was to investigate the relationships between leisure constraint and leisure constraint negotiation in leisure sports participants based on the leisure constraint reduction theory, and to examine the difference in their relationships based on the types of leisure sports. A total of 330 respondents who participate in leisure sport activities in Seoul and Kyonggi province were selected using the purposive sampling method, in turn 286 data set was employed for the analyses. Using SPSS 18.0, frequency analysis, reliability analysis, factor analysis, correlation analysis, and multiple regression analysis were conducted and the findings are as follows: First, leisure constraint negotiation significantly affects leisure constraints. Specifically, controlling intensity of an activity out of leisure constraint negotiation strategies had a negative effect on negative perception and risk of injury; and changing interpersonal relations strategy had a negative influence on lack of time and insufficient condition constraints. However, improvement of condition strategy had a positive effect on lack of time and risk of injury. Second, only in individual leisure sports, leisure constraint negotiation had a significant effect on leisure constraints. Specifically, skill acquisition had a negative effect on facility and environment, and changing interpersonal relations strategy had a negative effect on lack of time. Whereas, improvement of condition strategy had a positive influence on facility and environment and lack of time.leisure constraint, leisure constraint negotiation, leisure constraint reduction theory, types of leisure sports"
4,"여가활동 참여 액티브시니어의 여가촉진, 여가태도 및 여가제약협상의 구조적 관계",최현욱 /Hyunwook Choi,2018,한국여가레크리에이션학회,"본 연구는 여가활동에 참여하는 액티브 시니어의 여가촉진과, 여가태도 및 여가협상이 어떠한 구조적인 관계를 가지는가를 알아보는데 그 목적이 있다. 연구의 수행을 위해 설문지를 측정도구로 사용하였으며 비확률 표집 방법 중 편의 추출법을 사용하여 서울, 경기 지역에서 총 357명의 자료를 수집 후 분석하여 가설을 검증하였다. 자료 처리에는 Windows용 IBM SPSS Statics 24와 AMOS 20.0프로그램을 사용하였으며, 빈도분석, 신뢰도 분석, 확인적 요인분석, 상관관계분석, 구조방정식 모형분석을 통해 자료를 분석하였다. 이와 같이 수행된 본 연구의 결과는 다음과 같다. 첫째, 여가참여 액티브시니어의 여가촉진은 여가태도에 유의한 영향을 미치는 것으로 나타났다. 둘째, 여가태도는 여가제약협상에 유의한 영향을 미치는 것으로 나타났다. 셋째, 여가촉진은 여가제약협상에 유의한 영향을 미치지 않는 것으로 나타났다. 마지막으로, 여가태도는 여가촉진과 여가제약협상의 관계를 부분매개하는 것으로 나타났다.The goal of this study was to identify the relationship among leisure facilitators, leisure attitude and leisure constraint negotiation for Korean active seniors who People who regularly participate in leisure activities. To achieve the purpose of this study, a total of 357 questionnaires were collected from Korean active seniors. The collected data were analyzed and interpreted by SPSS 24 and AMOS 20.0. For the analysis, frequency analysis, validity test, confirmatory factor analysis, correlation analysis and structural equation model analysis were performed. The results of this study are as follows. First, leisure facilitators was significantly related to leisure attitude. Second, leisure attitude had a significant relationship with leisure constrains negotiation. Third, leisure attitude and leisure constraint negotiation were significantly related. Fourth, leisure attitude was found to have a mediating effect between leisure facilitators and leisure constraint negotiation. In conclusion, to active seniors’ leisure activities participation, need to increase active seniors’ leisure attitude.leisure facilitators, leisure attitude, leisure constraint, active seniors"
5,개인적 여가와 사회적 여가의 선순환: 여가재능나눔을 통한 여가강박의 해소,윤지연,2013,여가문화학회,"본 연구는 주40시간 근무제의 실시로 인해 증가한 여가시간이 학부모의 여가강박에 어떠한 영향을 미치는지 확인하고, 여가재능나눔 프로그램이 여가강박을 해소시켜줄 수 있는 대안이 될 수 있는지 탐색하고자 수행되었다. 이를 위해 서울⋅경기권에서 표집된 300명의 학부모들에게 인구학적 변인들, 주40시간 근무제 시행여부, 가족여가만족도, 여가강박, 여가재능나눔 프로그램 참여의향 및 참여이유, 그리고 참여 시 예상되는 장단점 등에 응답하게 하였고, 200명의 중학생들에게는 여가재능나눔 프로그램 참여시 배우고 싶은 지도자 수준에 대하여 질문하였다. 연구 결과, 주40시간 근무제의 실시는 여가강박을 증가시키는데 영향을 주는 것으로 나타났다. 또한, 주요 인구학적변인, 주40시간 근무제, 가족여가만족도, 여가강박 중 여가재능나눔 프로그램 참여의향에 영향을 미치는 것은 여가강박뿐이었다. 즉, 여가강박이 높을수록 여가재능나눔 프로그램 참여의향이 높은 것으로 나타났다. 참여이유로는 ‘사회기여’ 및 ‘나눔’때문이라는 응답이 가장 많았고, 재능기부 수준에 대해서는 자신의 기부 가능한 재능 수준, 아이들이 희망하는 재능기부자의 전문성 수준 및 학부모들이 희망하는 재능기부자 전문성 수준 간에 차이가 있었다. 여가재능나눔 프로그램 활성화 시 예상되는 장점으로는 ‘다양한 체험’, ‘자녀의 자기개발’, ‘경제적 부담 감소’ 등을, 단점으로는 ‘프로그램의 질 및 운영에 대한 우려’, ‘시간적 부담’ 등을 주로 거론하였다. 본 연구의 결과는 여가재능나눔 프로그램이 여가강박을 해소하는 방안이 될 수 있음을 시사하고, 프로그램 활성화를 위한 구체적 방향성을 제시했다는 의의가 있다. 이 외 본 연구의 의의 및 제한점, 그리고 추후 연구방향에 대해 논의하였다.This study investigated how the increased leisure time due to the forty-hour work week could influence parents' leisure-obsession, and explores whether the Leisure Talent Sharing Program(LTSP) could release the leisure-obsession. 300 married adults with offsprings were asked to complete the scales of family leisure satisfaction, leisure-obsession, intention of participation to LTSP, reasons for the participation, and expected pros and cons of the program. 200 students answered to the question how specialized the talent donor was. The results showed that the forty-hour work week was related to increase of leisure-obsession. Also, among the potential influential variables, only the leisure-obsession influenced the intention of participation to LTSP. The higher leisure-obsession participants had, the more intention of participation to LTSP they showed. In addition, the main reasons for the participation were for social contribution and sharing. Also, there were disparities between the expertise of talents that potential donors could provide and that of children and parents wanted in the program. Expected advantages of LTSP were found as diverse experience, self-development of children, and decrease of financial burden. On the other hand, disadvantages were concern about the quality, management of the program, and time pressure. The results imply that LTSP could be a valuable potential remedy for leisure-obsession and propose how it should be structured. The possibilities of the beneficial connection between individual leisures and social system were discussed.the forty-hour work week, family leisure, Leisure Obsession, Leisure Talent Sharing Program"
6,"교육대학교 재학생들의 여가교육 경험 및 필요성 인식과 여가태도, 여가제약, 여가제약협상",이문진 /Munjin Lee,2019,한국여가레크리에이션학회,"본 연구는 교육대학교 재학생을 위한 여가교육 프로그램 개발의 기초자료를 확보하기 위해 교육대학교 재학생들의 여가교육경험과 여가교육 필요성 인식, 여가태도, 여가제약 및 협상 실태를 파악하는데 목적이 있다. 이를 위해 교육대학교 4개를 임의선정하고, 각 학교 별 4학년 재학생 80명 씩 총 320명을 표집하였다. 수집된 320부 중 답변이 누락된 8부를 제외하고 312부의 자료를 최종 분석에 활용하였으며, 6명의 심층면담을 통해 내용을 보완하였다. 그 결과는 다음과 같다. 교육대학교 재학생들의 여가교육 경험은 매우 낮은 수준이며, 과반 이상이 여가교육의 필요성을 인지하고 있다. 교육대학교 재학생들의 여가태도는 정서적 태도가 가장 높고, 인지적 태도가 낮다. 경제적 제약과 타인의식 제약을 많이 느끼고 있으며, 개인적 제약과 시설 제약을 적게 느낀다. 제약을 극복하기 위해 강도조절 노력을 하고 있는 반면, 기술습득 노력은 많이 하고 있지 않다. 여가를 소극적 개념을 인식하는 경향이 있으며, 여가교육의 필요성은 인지하나 정규 교과 이외에 프로그램이라면 임용고시에 대한 부담으로 참여하기에는 어려움이 있다.The purpose of this study was to investigate the experiences and cognition about leisure education, leisure attitude, leisure constraints and negotiation of educational university students. 4 educational universities were selected, and a total of 320 data was collected from 80 students in 4th grade at each university. 8 data was excepted because of missing answers, 312 data was used for the final analysis. 6 in-depth interviews were conducted for additional information. The results were as follow. The leisure education experiences of educational university students were very low, and more than half recognize the necessity of leisure education. Emotional attitude was the highest factor and cognitive attitude was the lowest factor in leisure attitude of educational university students. Economic constraints were high and facility constraints were relatively low in leisure constraints. Intensity control strategy was the highest and efforts to acquire skill strategy was the lowest factor in leisure constraints negotiation.educational university students, leisure education, leisure experience, leisure cognition, leisure attitude, leisure constraints, leisure constraints negotiation"
7,여가참여 다양성과 행복의 관계: 참여여가활동의 수와 여가시간 집중도를 중심으로,장훈 /Hoon Jang,2012,여가문화학회,"기존의 여가연구들의 초점이 여가의 양적 측면에서 질적 측면으로 발전되어 왔지만, 현대 여가사회에서 극대화되고 있는 여가 선택의 본질을 다루는데 한계가 있었다. 이에 본 연구는 여가선택이 증가하는 현대사회에서 여가자원을 어떻게 분배/소비하는가와 이러한 선택과 분배의 문제가 주관적 행복과 어떤 관계를 가지는지 알아보는 것을 목적으로 하였다. 구체적으로 여가선택의 한 측면으로 여가참여 다양성의 개념을 제안하였으며, 여가참여 다양성은 현재 참여하는 여가활동의 수와 그 여가활동들에 투여하는 시간의 집중도로 측정하였다. 본 연구에서는 2006년에서 2008년, 그리고 2010년에 발표된 여가백서를 위한 조사연구의 원자료를 사용했고, 이를 바탕으로 참여하는 여가활동의 수와 여가시간 집중도를 계산하여 여가참여 다양성의 변화 양상과 주관적 행복과의 관계를 횡단·종단적으로 분석하였다. 분석결과, 예상대로 참여여가활동의 수와 여가시간 집중도가 서로 독립적인 양상을 보였다. 참여여가활동의 수는 연도에 따라 증가하는 양상을 보였고, 여가시간의 집중도는 2007년에서 2008년에는 증가하다가 2010에는 다시 감소하는 경향을 보였다. 주관적 행복과의 관계에 대한 분석결과, 참여여가활동의 수는 주관적 행복과 정적인 상관을 보였으며, 연도에 따라 그 상관이 점점 증가하는 추세가 발견되었다. 여가시간 집중도와 주관적 행복 간의 상관분석 결과, 여가자원(시간) 집중도는 2008년부터 주관적 행복과 정적인 상관관계를 나타내기 시작했으며, 2010년도에는 다소 증가하는 경향을 보였다. 이러한 결과들을 토대로 여가에서의 선택과 그 다양성과 주관적 행복의 관련성이 갖는 함의를 논의하였다.Our society has become dynamically complex and affluent in almost every aspect, where choices and diversity are limitless and socially valued. Thus fulfilling one’s desires and satisfactions by right choices is of great concern. Since adopting the 5- workday system along with economic improvement, personal choice and diversity also became available and even more important in leisure activities. The present study proposes a new concept ‘Leisure Participation Diversity (LPD)’ which means the number of participating leisure activities and distribution of leisure-relevant resources on the activities. Accordingly, the concept LPD is accessed in two levels. One is ‘Leisure Activity Diversity (LAD)’ referring to the number of leisure. The other is ‘Leisure Resource Concentration (LRC)’ referring to the degree of distribution-convergence of resource (e.g., leisure time, money, etc). In the present study, we measures the number of leisure activities that each person participated in last year for LAD and the variance of leisure times used in the leisure activities. We used the longitudinal data collected yearly by White Paper on Leisure on Korean people from 2006 to 2010. The changes of LPD and happiness were analyzed by a series of longitudinal/cross-sectional analyses and integrative analyses. A longitudinal analysis revealed that even though the total amount of leisure time was fluctuant, LAD tended to increase steadily and LRC was decreasing. More importantly happiness was correlated positively with LAD but negatively with LRC. A further cross-sectional correlation analysis on LPD and happiness revealed that LAD was positively correlated with happiness and LRC was positively correlated. That is, when people participated in more number of leisure activities or concentrated their leisure resource into fewer number of leisure activities, they tended to be happier. The findings were discussed in suggesting some insights for leisure education and consulting.Leisure Participation Diversity, happiness, the number of leisure, distribution"
8,여가동기와 여가권태 유형별 여가활동 참여 비교 연구: 대학생을 중심으로,"심재명 /Shim, Jae-Myung",2016,여가문화학회,"본 연구는 대학생들에게 여가권태와 여가의 내재적동기가 어떤 관계에서 경험되고 있으며 여가권태와 여가의 내재적 동기에 따라 대학생들이 어떤 유형으로 분류될 수 있는지, 그리고 그 유형에 따라 여가행위에 차이가 있는가를 살펴보았다. 자료수집은 경상북도에 위치한 대학교에서 이루어졌으며 234명의 학생이 참여하였고 227부가 분석에 이용되었다. 여가권태는 의미부재권태, 심리적관여부재권태, 시간인식권태, 신체적관여부재권태의 네 개 요인, 여가동기는 자율적 동기, 타율적 동기, 무동기의 세 개 요인, 그리고 여가행위는 수동적 여가, 옥외여가, 스포츠 및 게임, 사회적 여가의 네 개 요인으로 도출되었다. 분석결과 여가동기에 있어서는 자율적 동기를, 여가권태에 있어서는 심리적/신체적 관여부재권태를 비교적 많이 경험하는 것으로 나타났다. 여가행위에 있어서는 수동적 여가와 사회적 여가 참여가 높은 것으로 나타났다. 여가동기와 여가권태를 이용해 학생들을 분류한 결과 각각 ‘소극적 동기-심리적/신체적관여부재권태 군집’, ‘무동기-고권태 군집’, ‘고동기-저권태 군집’으로 명명한 세 개 군집을 도출하였으며, 대체로 여가의 자율적 동기를 많이 경험하는 학생들이 여가권태를 적게 경험하는 것으로 나타났다. 군집유형과 여가참여 간 관계에 있어서는 수동적 여가를 제외하고 자율적 동기가 높고 여가권태가 낮은 학생들이 여가참여를 더 많이 하는 것으로 나타났다.This study addressed three questions: (1) how leisure motivation and leisure boredom are related in their daily leisure experiences, (2) how the students can be clustered based on those two dimensions, and finally (3) whether their leisure participation differs by such clusters. A survey was conducted at a university located in the Kyungsangbuk-do region and 234 students participated in the survey of which 227 were used for the analysis. The results show that autonomous motivation and lack-of-mental/physical-involvement boredom were the most highly reported subtypes of leisure motivation and leisure boredom respectively. And the students were clustered into three profiles which I named ‘passive-motivation and lack-of-involvement-boredom group', ‘amotivation and high boredom group', and ‘high-motivation and low-boredom group': the patterns are that those with greater motivation seem to experience less boredom and those with less motivation greater boredom. The leisure participation differed significantly by the groups, and a post-hoc test revealed that those with greater level of autonomous motivation and lower level of leisure boredom participated significantly more in leisure activities except in passive type of leisure. The overall interpretations and implications of the study were discussed.leisure boredom, intrinsic motivation of leisure, self-determination, leisure participation, passive leisure"
9,"여가는 사이에 있다: 사회적 배제, 적극적 여가, 그리고 소극적 여가",이국희 /Guk-Hee Lee,2018,한국여가레크리에이션학회,"본 연구는 행복한 사람들로 하여금 스포츠, 등산, 여행, 외식 등을 하면서 적극적으로 여가를 즐기게 만드는 특성이 무엇인지 반면 불행한 사람들로 하여금 이러한 적극적 여가를 즐기지 않도록 하는 특성이 무엇인지 확인하고자 하는 목적으로 이루어졌다. 이를 위해 1,087명의 성인을 대상으로 어제 사회적 배제를 경험했는지에 대해 네/아니오로 답변하게 하였고, 밖에서 놀고 싶은지(적극적 여가) 아니면 집에서 쉬고 싶은지(소극적 여가)에 7점 척도(1: 전혀 그렇지 않다, 7: 매우 그렇다)로 답변하게 하였다. 결과적으로 사회적 배제를 경험하지 않은 사람은 경험한 사람보다 밖에서 적극적으로 여가를 즐기려는 경향이 강했고, 집에서 쉬려는 경향은 약했다. 이러한 결과는 여가를 적극적으로 즐기려는 경향이 사회적 관계에 의존할 수 있음을 시사한다. 여가는 사이에 있다.This study aimed to identify the characteristics that motivate happy people to actively enjoy leisure through sports, hiking, traveling, and dining, and those that drive unhappy people to not enjoy active leisure. To this end, 1,087 adults were surveyed. Respondents responded with either yes or no to the question of whether they experienced social exclusion the day before. With respect to the question of whether they want to spend time outside home (active leisure) or to rest at home (passive leisure), they gave responses on a 7-point scale (1: not at all, 7: very much). In conclusion, individuals who did not experience social exclusion demonstrated a stronger inclination to engage in active leisure outside home and a weaker tendency to rest at home than those who experienced it. These findings suggest that the tendency to actively engage in leisure is possibly dependent on social relationships.leisure activity, relationship, social exclusion, work-leisure balance, happiness"
