,제목,저자,출판일,기관,초록
0,부동산 거래에 부동산 블록체인의 활용에 관한 연구 - 국제 부동산 거래의 Propy 사례를 중심으로 -,박인 /Park In,2020,한국부동산경영학회,"블록체인 기반의 부동산 거래시스템은 향후 부동산 시장과 부동산산업에 커다란 변화를 가져올 것이다.
국제간의 부동산중개를 성공한 미국 Propy의 사례에서 블록체인 기술 채택의 운영상 장벽으로는 블록체인 부동산거래시스템으로 전환비용, 데이터 보안, 책임의 문제를 정의할 필요가 있다. 규제적 장벽으로는 법적 프레임워크 및 기술 투명성, 스마트계약의 집행 가능성, 기록제거의 권리 등의 규정이 필요하다. 사회적 장벽으로는 블록체인 부동산 거래시스템의 혁신기술 수용과 부동산 거래조직의 변화, 대중의 거부, PropTech와 Blockchain 데이터 윤리의 문제 등을 극복하여야 한다.
이러한 문제점을 개선하여 블록체인 기반의 부동산 거래가 정착하기 위해서는 법률의 제정, 제도의 변화, 국민의식의 변화, 소유권법과 조세법의 규정, 운영관할권의 정립 등 많은 준비가 이루어져야 안정적으로 정착할 수 있다.
국가와 기업, 국민 모두 4차 산업의 변화에 따른 가치사슬의 영향을 극대화하기 위해서는 변화에 대한 전략을 수립하여 수용하여야 한다. 현재 정부가 추진하고 있는 블록체인 부동산 거래 시범사업을 성공적으로 정착하기 위해서는 Propy의 시사점을 반영하여야 할 것이다.The blockchain-based real estate transaction system will bring a great change to the real estate market and real estate industry in the future.
In the case of Propy in the United States, which succeeded in international real estate brokerage, it is necessary to define the issues of conversion cost, data security and responsibility as a blockchain real estate transaction system as an operational barrier to the adoption of blockchain technology. Regulatory barriers include legal framework and technology transparency, the possibility of smart contract enforcement, and the right to remove records. As a social barrier, it is necessary to overcome the problems of adopting innovative technologies in the blockchain real estate transaction system, changing the real estate transaction organization, public rejection, and problems with PropTech and Blockchain data ethics.
In order to improve these problems and settle blockchain-based real estate transactions, a lot of preparations must be made, such as enactment of laws, changes in institutions, changes in national consciousness, provisions of ownership and tax laws, and establishment of operational jurisdiction.
In order to maximize the impact of the value chain due to changes in the 4th industry, both countries, businesses, and citizens must establish and accept strategies for change. Propy's implications should be reflected in order to successfully settle a blockchain real estate transaction pilot project currently being promoted by the government.Real Estate Brokerage, Blockchain, Smart Contract, Propy, PropTech, Platform, Internalization."
1,부동산 투자심리에 따른 종합부동산세 인상이 부동산매매의도에 미치는 영향,"박정열 /Park, Chungyeol",2021,대한부동산학회,"최근 아파트를 포함한 부동산매매가 증가하면서 부동산가격상승이 만들어지자, 정부는 부동산 안정정책으로 종합부동산세를 인상하였다. 이에 본 연구는 종합부동산세가 부동산매매의도에 어느 정도 효과성이 있을 것인가를 파악하였다. 표본대상으로 연구의 대상은 35세 이상의 경기도에 거주하고 있는 성인으로 진행하였다. 설문조사는 2020년 12월 1일부터 2020년 12월 15일까지 실시되었으며, 총300부의 설문지를 배포하였으나 이중 무응답 등을 제외하고 최종 250부를 분석에 사용하였다.
이를 바탕으로 연구된 결과를 요약하면, 투자심리는 매매의도를 높이는 것으로 분석되었고 투자심리는 종합부동산세 인상에도 영향을 미치는 것으로 분석되었다. 그리고 투자심리가 매매의도를 높이는데 종합부동산세인상은 큰 영향을 미치지 않고 부분적으로 영향을 미치는 것으로 분석되었다. 또한 투자심리가 매매의도를 높이는데 있어서 종합부동산세 인상은 투자심리를 통한 매매의도에 조절작용을 하지 않는 것으로 분석되었다. 투자심리는 매매의도를 높이지만 매매의도를 낮추기 위한 정부의 시책 중 종합부동산세인상은 부동산 투자심리와 매매의도 어디에도 영향을 미치지 않는 것으로 분석되었다. 따라서 종합부동산세 인상은 매매의도를 낮추는 정책보다는 세금인상정책에 불과하다고 판단된다.As the recent increase in real estate sales, including apartments, created a rise in real estate prices, the government raised the comprehensive real estate holding tax with a real estate stabilization policy. Therefore, this study identified how effective the comprehensive real estate holding tax would be in the intention of selling real estate.
To summarize the results of the study based on this, it was analyzed that investor sentiment increased the intention of selling and that investor sentiment also affected the comprehensive real estate holding tax hike. In addition, it was analyzed that the comprehensive real estate holding tax hike does not have a significant impact on the increase in investor sentiment in selling. It was also analyzed that the increase in the comprehensive real estate tax does not control the intention of trading through investor sentiment in increasing the intention of the sale. Investment sentiment was analyzed to increase the intention to sell, but the comprehensive real estate holding tax hike to lower the intention to sell had no effect on real estate investment sentiment or sale. Therefore, it is decided that raising the comprehensive real estate holding tax is more of a tax increase policy than a policy that lowers the intention of selling.Comprehensive Real Estate Holding Tax, Real Estate Sale, Real Estate Investment Sentiment, Rise in Real Estate Prices, Tax Increase Policy"
2,부동산시장 환경변화에 따른 부동산서비스산업의 개선방안에 관한 연구,박인 /Park In,2013,한국부동산경영학회,"부동산시장의 환경변화는 글로벌화와 국내외의 요인에 의해 빠르게 변하는 반면 부동산서비스산업은 탄력적으로 대응하지 못하며 어떻게 대처할 것인가에 대한 사회적 논의도 많지 않다. 학문적으로도 이러한 변화의 방향에 대한 연구나 전략을 마련하지 못하는 실정이어서 사회적 이슈를 제기하고자 부동산시장의 변화과정을 과거와 현재의 분석, 미래의 영향을 살펴보았다.
IMF가 국내의 요인에 의한 시장변화를 야기하였다면 미국의 서브프라임사태는 외부적 요인에 의해 국내부동산시장에 영향을 미쳤으며 향후 EU와 미국과 FTA를 체결하면서 미래의 부동산서비스시장변화에 대한 예측을 더욱 어렵게 만들고 있다.
국내의 부동산서비스산업은 윤리의식의 결여와 공인중개사와 감정평가사들에게 재교육을 규정하지 않으므로 변화하는 시장에 탄력적으로 대응하지 못하며 특히 다국적 부동산컨설팅회사에 비해 부동산투자와 자산관리, 중개 등에 부동산종합서비스화의 도입이 미진하여 부동산서비스의 국제경쟁력이 떨어지고 있다.
부동산서비스산업이 발전하기 위해서는 부동산서비스 전문가의 역할을 강화하여 고객기반의 부동산전문가 지도자양성과 사회적 기여를 하도록 하며 윤리의식강화와 재교육을 통한 질 높은 서비스를 제공하고 부동산전문자격제도를 통한 전문가 양성이 절실한 실정이며 또한 이러한 부동산서비스를 제공하기 위한 제도적 뒷받침이 필요하다.The local real estate service industries has not been counteracted to the environmental change of real estate market influenced by the globalization and various domestic factors. There are only few studies of the direction of changed academically and how to elastically overcome the confronted challenge.
This study purpose to raise the social issues based on the study of structural real estate market change for the past, present and future since there are no strategic preparation for the real estate market change confronted.
There are two important event for the past that has affected to the local real estate market. The one IMF crisis had been caused by domestic economic factors the other Subprime by US economy. For the future, FTA with EU and US will influence the local real estate market and make difficult to predict the change.
Local real estate service employees has been lacking the ethical consciousness and retraining of their specialization that are required to be a professional and have a global competitiveness compared to the multi-consulting companies in terms of investment, brokerage, and asset management. Particularly integrated real estate service companies are needed to develop further.
To develop the real estate industries, the role of real estate professional and leader will be reinforced to contribute to the society that comply with the rule of ethical consciousness and global competitiveness. Particularly a various license system for real estate professional are need to adopt and have an administrative system.Real Estate Service Industry, Real Estate Market, real Estate Ethic, Leader, Brokerage, Asset Management."
3,부동산 부실채권(NPL)거래방식이 부동산 경매시장에 미치는 영향에 관한 연구,구경완,2017,한국부동산경영학회,"본 연구는 NPL 매각방식이 일반 부동산 낙찰가 보다 더 높게 형성되어 인근의 부동산경매시장의 낙찰가를 상승시키고 있다는 인식하에 NPL 매각방식이 인근부동산 경매시장에 외부효과를 미치는지를 검증하고자 하였다.
분석 결과 부동산 경매낙찰가격에 영향을 주는 변수는 인근지역 경매가격, 매각 후 인근지역 경매낙찰가율, 유찰횟수, 완공년도, 지역, 주거용, 공장 등 7개의 변수로 나타났다. 특히, 인근지역 부동산의 경매 가격은 NPL의 부동산 매각 가격보다 낮았다.
반면, 매각 이후 인접 지역의 입찰가, 주거 및 공장 변수는 양 (+)의 값을 보였는데 이는 NPL의 매각으로 인근 지역의 판매 가격이 인상되었음을 의미한다. 이것은 경매에서 낙찰률이 더 높은 것으로 분석된다.This study attempted to verify whether the NPL sale method externally affects the nearby real estate auction market, recognizing that the NPL sale method is higher than the general real estate auction price and may be a factor in raising the bid price of the nearby real estate auction market.
As a result of analysis, variables affecting the auction price of the real estate auction were seven variables such as auction price of the nearby area, the bid price of the auction after the sale, the number of the auction, the year of completion, the area, In particular, the auction price of the real estate in the surrounding area was lower than the real estate sale by NPL. On the other hand, after the sale, the bid prices, residential and factory variables in the neighboring districts were positive (+) values, indicating that the sale price of the neighboring area was increased by the sale by NPL. , It is analyzed that the auction winning bid rate is higher.NPL, Real Estate Auction Market, Auction successful bid price, Real Estate Investment, Transactions of The Collateral Security."
4,부동산 플랫폼 Biz Model 사례연구 －숙박·부동산 중개를 중심으로－,배상영 /Sang-Young Bae,2020,건국대학교 부동산도시연구원,"본 연구는 최근 부동산시장에 새바람을 일으키는 부동산 플랫폼 사업의 사례 분석을 통하여 기존 부동산 시장에서 충족시키지 못했던 소비자의 니즈와 시장의 빈 공간을 확인하고자 하였다. 이뿐 아니라 부동산 플랫폼 시장의 속성을 분석함으로써, 앞으로 부동산 플랫폼 시장이 승자독식시장이 될 것인지 독과점 체제로 갈 것인지, 무한 경쟁체제로 갈 것인지 분석하였으며, 개별 서비스와 수익구조에 관하여 분석하였다. 마지막으로 이러한 부동산 플랫폼 Biz Model이 시장에 미치고 있는 영향에 관하여 연구하였다.This study sought to identify consumer needs and empty spaces in the market that were not met in the existing real estate market through a recent case analysis of real estate platform projects that created a new wind in the real estate market. In addition, by analyzing the properties of the real estate platform market, it was analyzed whether the real estate platform market would become a winner-take-all market, a monopoly system, or an infinite competition system, and individual services and profit structure were analyzed. Finally, we studied the impact of this real estate platform Biz Model on the market.Real estate brokerage platform, Accommodation brokerage platform, Zigbang, Yanolja, Rsquare"
5,해외부동산투자를 위한 부동산시장분석모형에 관한 연구 - 아시아 국가를 중심으로-,박인 /Park In,2011,대한부동산학회,"2011년 상반기 해외부동산투자가 북미와 아시아시장에서 빠르게 증가하고 있으며, 미국과 EU와의 FTA체결이 이루어지면서 해외부동산투자가 더욱 활발해 질 전망이다. 하지만 해외부동산투자의 경험과 정보의 부족으로 해외부동산투자에서 많은 실패사례가 나타나고 있으며 이는 개인투자자의 손실이며 국부의 손실이다.
특히 개인 및 기관투자자들이 해외부동산시장분석의 어려움을 격고 있지만 이에 학문적인 연구가 부족하여 실무적인 측면에서 해외부동산투자에 대한 체크리스트나 투자의 유의사항을 주로 활용하고 있다.
기관투자의 경우 다국적 컨설팅회사의 정보를 활용하거나 기관의 협조를 얻어 업무용부동산, 판매용부동산, 주거용부동산, 산업용부동산시장정보를 취득하고 있다. 하지만 이러한 정보는 개인투자자의 경우 높은 투자비용을 지불해야 하는 어려움으로 해외부동산투자에서 발생할 수 있는 많은 위험을 내포하면서 투자에 이르고 있다. 특히 학문적으로도 해외부동산시장분석에 대한 모델이나 분석방법에 대한 연구가 미비하여 체계적인 학문적 연구의 필요성이 대두되고 있다. 분석모형으로는 부동산시장시스템에 의한 분석, 상·하향식 부동산시장분석, 부동산시장수익기반분석, 제도적·문화적 계층의 시장분석, 시장성숙과 투명성에 의한 분석 등을 검토해보며 이의 모형을 아시아국가에 적용하기에는 한계가 있어 아시아 국가에 적합한 부동산시장분석의 모형을 제시해 보고자 한다.
하지만 각 나라마다 가지는 부동산관련 법적, 사회적, 경제적, 문화적 특성이 다양하여 이를 포괄하는 모형을 제시하기에는 한계가 있으며, 이는 향후 좀 더 발전된 연구가 있어야 할 것이며, 특히 요소별 중요도에 대한 가중치의 연구도 필요하다. 이와 더불어 부동산시장분석모형을 바탕으로 국가별 법․제도적, 경제적, 문화적, 재무적 요소별 특징에 대한 연구와 국가별 비교연구가 시급하게 이루어져야 할 것이다.Recently the overseas real estate investment has been rapidly increased. After all it will be more increased since the FTA with US and EU was ratified. However, the academic study for real estate market analysis for overseas real estate investment has rarely been done. Therefore, to modelize the real estate market analysis for the real estate investment of the Asia countries, some study for the experience of investment and several real estate market analysis model will be reviewed to develop. The suggested model are categorized in four parts of legal and institutional, economic, cultual and financial aspect that will be explained by the considerable factors respectively. The purpose of the study is to develop the model for real estate market analysis in Asia countries.Overseas Real Estate Market, Real Estate Investment, Real Estate Market Analysis"
6,주거용 부동산 임대 유형 선택에 관한 분석 -거주주택 외 주거용 부동산을 보유한 가구를 중심으로-,하서진 /Seo-Jin Ha,2018,대한부동산학회,"본 연구는 전세의 월세화가 급속히 진행되는 주택임대시장에서 주거용 부동산이 가계 투자자산 중 하나로 대두됨을 배경으로 한다. 따라서 가계의 자산 및 수익구조가 투자목적 부동산의 임대 유형에 어떠한 영향을 끼치는지를 분석하고자 하였다. 통계청 가계금융복지조사 마이크로데이터의 2016년 자료를 활용하였으며 거주주택 외 투자목적 부동산을 보유하는 가구를 대상으로 분석을 수행하였다. 투자목적 주거용 부동산의 임대 유형 선택에 가계 자산 및 수익구조가 영향을 끼침을 분석하기 위해 이분형 로짓분석을 실시하였다. 분석 결과, 순금융부채가 많을수록, 근로소득 및 사업소득이 적을수록 전세보다는 월세로 임대 유형을 선택할 가능성이 높았다. 이는 상대적으로 높은 금융비용과 낮은 소득이 발생하는 가계 자산 및 수익구조일수록, 매월 현금흐름(소득)이 발생하는 월세를 선택할 가능성이 높은 것으로 해석된다. 이를 통해, 가계 자산 포트폴리오 내 전월세로 운용되는 주거용 부동산이 가계 자산 및 수익구조에 영향을 받아 운용되고 있음을 확인하였다. 다만, 분석이 2016년 한 해에 한정되었다는 한계가 존재한다.This study is set against the backdrop that residential real estate has emerged as one of the household's investments in the housing rental market, where the monthly rent is rapidly increasing. Therefore, the purpose of the analysis was to analyse how assets and income structures affect the type of lease in rental properties. The analysis was carried out for households with investment-oriented real estate other than residential housing, using data from KOSIS's household financial welfare survey microdata in 2016. A logit analysis was conducted to analyze the impact of household asset structures on the selection of rental types for residential purposes for investment purposes. According to the analysis, the more net financial liabilities, the lower the earned income and business income, the more likely it was to choose a monthly rental plan over a jeonse. This can be interpreted that the higher the financial cost and the lower income household asset structure, the more likely it is to choose the monthly rent in which cash flows occur. In doing so, it was confirmed that residential real estate operating on a monthly rent and jeonse basis within the household's asset portfolio is operating under the influence of the household's asset structure. However, there are limitations that the analysis was limited to one year in 2016.Residential Real Estate, Jeonse, Monthly Rent, Capitalization Rate, Household Asset and Income Structure"
7,노무현정부 부동산정책의 교훈과 문재인정부의 부동산정책 방향 -주택정책을 중심으로-,김경민,2017,한국부동산학회,"본 연구는 역대 정부의 부동산 관련 정책을 비교하고 문재인정부의 합리적인 부동산정책의 방향을 제시함으로써 정책 기조를 꾸준히 유지하였다. 노무현정부와 문재인정부 부동산정책을 비교하고 부동산시장의 안정성을 제고하는 합리적 정책방향을 제시하고자 하는데 본 연구의 주안점을 두었다. 부동산시장의 반응은 투기과열지구 확대지정 및 DTI·LTV강화 등을 통한 인위적인 규제정책을 통하여서는 하우스푸어만을 양산한다는 사실에 주목하였다. 문재인정부의 부동산정책은 정권창출 이후 줄곧 규제 일변도로 정권 창출 이 후 단기간에 6차례나 되는 부동산시장 관련 정책을 쏟아낼 정도로 가속도를 내고 있다. 이러한 급격한 변화 및 규제는 역기능 또한 적지 않다는 점에서 이를 해쳐나갈 정책대안을 제시한다. 본 연구를 통하여 부동산시장에 있어 규제정책이 시장에 있어서 단기적으로는 가격을 조절하는 기능으로 작용 할 수 있을 것이나 풍선효과 등 정책 실패를 결국은 규제보다는 시장 자율을 통한 정책방향으로 선회하는 것이 합리적인 정책방향이라 할 것이다.1. CONTENTS (1) RESEARCH OBJECTIVES The purpose of this study is to suggest policy alternatives for normalization of desirable market by comparing the real estate related policies of existing governments and 6 times of real estate related policies since the inauguration of the government.








(2) RESEARCH METHOD This study has been mainly studied in the literature study. However, in order to confirm the relation between real estate policy and real estate market, SPSS 22.0 was used to analyze the real estate market reaction according to real estate policy.








(3) RESEARCH FINDINGS The fact that the government 's radical and excessive real estate regulations have adverse effects on the market has been confirmed through general macroeconomic indicators and past government policies and results.








2. RESULTS The real estate policy of Moon Jae-in is enough to pour out the real estate market related policies (6.19 measures, 8.2 measures, 9.5 measures, 10.24 measures, 11.26 measures, 11.29 measures, 12.13 measures) seven times in a short period after radical regime creation. This rapid change and regulation suggests policy alternatives to solve this problem that is not negligible.1. CONTENTS (1) RESEARCH OBJECTIVES The purpose of this study is to suggest policy alternatives for normalization of desirable market by comparing the real estate related policies of existing governments and 6 times of real estate related policies since the inauguration of the government.


(2) RESEARCH METHOD This study has been mainly studied in the literature study. However, in order to confirm the relation between real estate policy and real estate market, SPSS 22.0 was used to analyze the real estate market reaction according to real estate policy.


(3) RESEARCH FINDINGS The fact that the government 's radical and excessive real estate regulations have adverse effects on the market has been confirmed through general macroeconomic indicators and past government policies and results.


2. RESULTS The real estate policy of Moon Jae-in is enough to pour out the real estate market related policies (6.19 measures, 8.2 measures, 9.5 measures, 10.24 measures, 11.26 measures, 11.29 measures, 12.13 measures) seven times in a short period after radical regime creation. This rapid change and regulation suggests policy alternatives to solve this problem that is not negligible.Real Estate Policy, Strengthening Regulation, Speculation Area, Speculation Overheating District, DTI, LTV"
8,자산고유위험이 부동산 투자다각화에 미치는 효과 - 미국 부동산 시장을 중심으로 -,노상윤 /Roh Sang Youn,2015,한국부동산연구원,"본 논문은 최근 글로벌 투자자들의 부동산 투자다각화 방안과 그 배경을 설명한다. 이를 위해 포트폴리오 효과의 존재여부와 부동산 자산고유위험이 투자 다각화에 어떠한 영향을 미치는지 분석했다. 본 연구를 위해 CAPM과 EGARCH-M모형을 결합한 실증모형을 분석했다. 주요 연구결과들은 다음과 같다. 첫째, 다양한 부동산에 분산 투자하는 것은 포트폴리오 위험을 줄이고 수익률을 제고하는 데에 유용하다. 둘째, 각각의 자산고유의 위험 프리미엄이 시간가변적으로 변화하고, 그 위험의 정도가 자산유형, 자산입지, 그리고 시장권역 특성들에 따라 서로 다르다. 셋째, 글로벌 금융위기와 같이 비정상적인 시장상황에서 이러한 포트폴리오 효과는 축소될 수 있다. 넷째, 시장정보(충격)의 유형에 따라 위험이 수익률 미치는 영향은 비대칭적으로 발생한다. 결론적으로 최근 글로벌 투자자들의 투자다각화 노력은 포트폴리오의 질적 개선을 도모할 수 있고, 그 배경에 자산고유위험 프리미엄의 영향이 존재함을 알 수 있다.This paper describes the recent diversification plans and their backgrounds of real estate investment by global investors. It examines the presence of the portfolio effects from the diversification plans, and analyzes how the asset-specific risk of properties impact on investment diversification. The paper tries to apply and analyze the empirical models which combine CAPM and EGARCH-M model for its issues. It has four main findings. First, the investment diversification that invests in various real estate, may be useful to reduce the portfolio risk and increase the return rate of it. Second, the asset-specific risk premium is a time-variant and the level of the risk is discriminant by the asset type, its location and the characteristics of market district. Third, the portfolio effect could be reduced when the market condition is abnormal like the global financial emergency. Fourth, there are asymmetric impacts of risk on the return rate by the type of market information(shock). Finally, recent investment diversification by global investors may contribute to the quality improvement of their holding portfolio. There are the impacts of the asset-specific risk premium on its background.real estate investment, asset-specific risk, diversification, EGARCH-M model"
9,한국경제의 뉴노멀로 급부상된 해외부동산 투자에 대한연구 - 해외부동산 직접투자 현황 및 대응책 중심 -,김이수,2016,한국부동산경영학회,"해외부동산투자가 한국경제의 뉴노멀(new normal)로 급부상된데 대하여 주요 원인을 찾아본 결과, 투자자는 1) 글로벌 저성장세, 저금리 추세 지속 2) 전통적인 주식, 채권 투자에서 벗어나 부동산을 포함한 대체투자에 적극적 3) 우리나라 연기금, 투자펀드의 증가, 그리고 이들 여유자금 운용 수익율 급감으로 인한 수익률 제고 필요성 4) 안정적인 자산 운용구조 목적 5) 중국 및 각국 국부펀드 등의 공격적인 해외 부동산투자 6) 인플레이션 헷지 가능 7) 금융소득에 대한 과세 문제 등 다양한 것으로 나타났다.
한편, 우리나라는 주요선진국에 비해 자본축적도 없고 해외 부동산 투자경험 또한 일천하며, 해외 부동산 투자 전문 인력도 미흡한 등, 투자 인프라 구축이 되지 못한 현실에서 우리나라 해외 부동산 투자가 급격히 증가하고 있다.
그러나 우리나라는 해외 부동산투자에 대한 통계가 집계 발표되지 않고 있어 깊이 있는 분석에 한계가 있으며, 본고에서는 해외 부동산투자 증대 현상과 이에 수반된 여러 가지 문제점 및 대응방안을 찾아보고자 하였으며, 이를 위하여 국내외 경제 및 해외 부동산투자 현황 분석, 부동산관리 등에 대한 외국사례 등을 부동산업의 해외 발전을 기초 인프라 구축 및 새로운 일감확보 등과 관련된 정책적 시사점을 살펴보았다.In this study, we have set focus on the findings of the main reasons for the recent rapid increase of Korean overseas investment in the real property, which has been emerging as a new normal of Korean economy. Study reveals major reasons for this phenomenon which are summarized as follows; 1) Prevailing of resent global economic situation under low economic growth and lower interest rate.
2) Positive increase of investment trend as an alternative investment method rather than traditional tools such as stocks, and bonds.
3) Appearance of large, various national or private pension funds, financing institutions and their recent poor performance of fund operation results which in turn drives them to invest in the overseas real property.
4) Seeking more stable and profitable opportunities in the fund operation.
5) Influenced by aggressive investments and profitable returns mainly done by China and other national funds.
6) Hedging the inflationary pressure.
7) To obtain beneficial tax burden on the financial incomes on investors point and others.
It's worth noting that Korea's overseas investment in real property is substantially increasing having the weakness of fundamental infra-structure or impediments such as lacks of accumulated experiences, capitals, specialized man-power, etc..
In analysing the theme, there are certain limits as there is no official statistics released in the investment of overseas real property. However, we have collected relevant materials and reviewed present status of Korea's overseas investment in the real property and subsequent problems and responsive strategies.
And also, focused on the development of the industry and on the creation of new jobs and works, we have examined the cases of advanced countries and made several suggestions for the policies to be adopted by the authorities concerned.New normal in the economy, Overseas investment in real property sector, main reasons for the increase, inflationary hedge."
