,제목,저자,출판일,기관,초록
0,朝鮮重工業株式會社의 戰時經營과 해방 후 재편과정,배석만,2006,부산경남사학회,The Management of Chosun Heavy Industry Company(朝鮮重工業株式會社) During the Pacific War and Its Reorganization After the Liberation of Korea
1,조선영화주식회사의 영화 제작 과정과 제작 영화의 특징 연구,김남석 /Kim Namseok,2012,부산울산경남언론학회,"이 연구는 ‘조선영화주식회사’가 제작한 영화를 중심으로 작품 제작 과정을 재구하고 그 의의를 논구한 논문이다. 조선영화주식회사는 식민지 시대에 존립한 촬영소이자 영화 제작사였다. 일시적으로 흥망을 거듭하던 여타의 제작사와는 달리 상당히 오랫동안 작품을 제작하고 보급하는 역할을 했다. 더구나 조선영화주식회사가 제작한 영화들은 한국 영화에서 중요한 위치를 점유하고 있다. 그럼에도 조선영화주식회사에 대한 연구는 아직 본격적으로 시행되지 않았다. 그래서 이 논문은 조선영화주식회사가 제작한 영화에 대해 살펴보고, 그 제작 과정과 미학적 특징을 규명하고자 하였다.This dissertation has been written with a purpose to examine and to understand the formal characteristics and change process of Korean movies in 1930∼40s. For this purpose, this dissertation has been written with a purpose to examine and to understand the works, the works, the directors, the author and production process of Chosun(Korean) movie film production company(조선영화주식회사). Chosun movie film production company is Korean film production company in 1930s and the first half of 1940s. As yet, the study of Chosun movie film production company isn’t progressed. So Chosun movie film production company remains obscurity. This paper intend to examine Chosun movie film production company’s the works, the directors, the author and production process.Chosun movie film production company, Mujeong, Choonhyang’s story, A new start, Narcissus"
2,조선의 영화제작사 ‘조선영화주식회사’ 연구,김남석 /Kim Namseok,2012,우리어문학회,"이 연구는 1930~40년대 한국 영화의 특성과 변모 과정을 고찰할 목적으로 집필되었다. 이를 위해 조선영화주식회사의 의미와 역사를 집중적으로 검토하고자 했다. 조선영화주식회사는 1930년대 후반부터 1940년대에 걸쳐 존재한 촬영소이자 영화제작사로, 제작 편수가 상당하고 제작 작품마다 한국 영화사에서 중대한 의미와 가치를 갖는 작품으로 평가될 수 있기 때문이다. 하지만 조선영화주식회사에 대한 연구는 아직 본격적으로 시행되지 않았다. 그래서 이 논문은 조선영화주식회사의 역사와 활동 그리고 기능을 살펴보고, 그 활동 내역과 사적 의미를 규명하고자 하였다. 조선영화주식회사에 대한 자료는 1930~40년대 신문과 잡지, 그리고 최근에 발표된 영화 관련 서적과 논문들로부터 취득했다. 이 연구는 한국 영화 역사의 복원의 토대가 될 전망이다.This dissertation has been written with a purpose to examine and to understand the formal characteristics and change process of Korean movies in 1930~40s. For this purpose, this dissertation has been written with a purpose to examine and to understand the works, the meaning and the history of Chosun(Korean) movie film production company(조선영화주식회사). Chosun movie film production company is Korean film production company in 1930s and the first half of 1940s. As yet, the study of Chosun movie film production company isn't progressed. So Chosun movie film production company remains obscurity. This paper intend to examine Chosun movie film production company's history, activity, feature and works. I study Chosun movie film production company and making works contained in the magazines and the newspapers in 1930~40s, and film books and conference papers published recently. This study will be a groundwork of the restoration of Korean movie history.조선영화주식회사(Chosun movie film production company), 발성영화(talkies), 최남주(Choe Namju), 박기채(Bak Gichae), 의정부촬영소(Uijeongbu studio)"
3,나쓰메 소세키(夏目漱石)의 <경제관> ―‘주식(株式)’을 중심으로―,구현숙 /Heon Suk Koo,2009,동아시아일본학회,"本研究は夏目漱石における<経済観>を、「株式」を中心に考察した。世界初の株式会社は、1600
年代にイギリスに設立した「東インド会社」といわれている。それから日本初の株式会社は、1873年
設立した「第一国立銀行」である。世界中の株式会社は様々な影響を受けながら展開・成長し今日に
至っている。そして、人々は「富」を蓄積する手段として「株式」を選び始めた。株式は、時によっ
て一般に安全だと思われがちの銀行の利子より、高い収益を得ることができる。一方、国内外の影響
により元金すら失ってしまう危険も伴う。
漱石は『吾輩は猫である』をはじめ、多数の作品に株式に関する話を展開した。作品に描写されてい
る株式に関する内容は、大きく3つにまつめることができる。第一は、当時人々の株式への関心は都会だ
けでなく田舎まで広がっていたということである。第二は、一般人はもちろん、勉強に専念すべき学生す
ら株式に関心を持ち、学生にとって何より大切だといえる書籍より株式を高く評価するということであ
る。第三は、株式に手を入れて損した内容である。様々な作品に多彩に株式に関する話が展開されてい
るが、どれひとつ作品の登場人物の中で株式に投資し、富を蓄積したという描写は見つからない。
ことで注目すべきは、株式が富を蓄積する方法として将来への投資ではなく、ただ一期に富を蓄積
する手段として描写されていることである。これは当時の人々の考え方であり、状況といえるが、漱石
はこれらを自分の作品に取り上げ、人々に投資のありかたについて考えさせたのである。
漱石な生涯、人間らしい生き方を追求し、そのため悩みつづけた。人間らしい生き方は色々考えら
れる。漱石は幼い頃から「金銭」の問題で苦労した。イギリス留学時代、それから帰国後、漱石は
「金銭」で悩ませられた。「金銭」は人間が生きていくうえなくてなならないものといえよう。しか
し、いくら生活に欠かせないものといっても自分の努力の伴わない「金銭」は何の価値もないと漱石
は考えた。さらに、自分の力と努力の結果として獲得した「金銭」であっても、責任を持って使わな
ければ自分と他人に害をするというのが漱石の「金銭」に対する考え方である。他人には寬待で、自
分に厳しい漱石の<経済観>はこのような考え方より生れたといえよう。money, stock, share, economy, the sense of economy"
4,종류주식에 관한 주요 쟁점사항의 검토,정준우 /CHUNG JOON WOO,2017,한국법정책학회,"주식의 종류와 관련하여 그동안 상법은 「수종의 주식」이란 용어를 사용하였는데, 2011년 개정상법은 이를 「종류주식」으로 변경하며 그 종류를 다양화하였다. 이는 국민경제가 성장하고 자본거래가 활성화되면서 경쟁력 있는 자본조달방법에 관한 요청이 증가하자, 자본조달의 편의성을 제고하고 안정적･지속적인 외자유치를 가능하게 하며, 자본시장의 건전한 발전에 기여하기 위함이었다. 그런데 종류주식에 관한 상법규정은 일부의 불명확한 내용과 문제점을 내포하고 있어 포섭범위와 활용방법에 관한 해석상 논란을 야기하였고, 이로 인해 기업실무에서 종류주식이 제대로 활용되지 못하고 있다. 따라서 종류주식의 유용성을 실효적으로 제고하여 기업실무에서 적극적으로 활용하도록 지원하려면 먼저 상법규정에 내포된 문제점과 불명확한 내용을 명확히 규명한 후 이를 전제로 합리적인 해석과 입법적 보완을 병행해야 한다.
먼저 보통주는 종류주식이 아니라고 보아야 한다. 개정상법은 보통주를 전제로 주식을 유형화한 개정전상법의 기본골격을 유지하면서 종류주식체제로 전환한 것이고, 종류주식의 개념과 활용방법을 명확히 하려면 그 표준이 되는 주식이 필요하기 때문이다. 다음으로 종류주식의 활용성을 제고하려면 ① 이익배당에 관한 종류주식에서는 현물배당의 재원을 명확히 하고, 변동배당률부우선주와 영구무배당주식은 발행할 수 없다고 해석해야 한다. ② 의결권의 행사에 관한 종류주식에서는 거부권부주식과 종류주주총회에서의 의결권제한주식 등은 발행할 수 없다고 해석해야 하고, 의결권의 행사조건과 부활조건 및 발행한도제한의 위반효과를 명확히 규정해야 한다. ③ 상환과 전환에 관한 종류주식에서는 상환재원의 내용과 포섭범위를 명확히 하고, 상환전환우선주의 법적구조를 규명하고 보통주로 전환되는 유형의 전환주식도 발행할 수 있도록 입법적 보완을 해야 하며, 전환사유를 명확히 규정해야 한다.보통주, 상환주식, 상환전환About the type of stock, the Commercial Act has been used the term of classes of shares. By the way, the amended Commercial Act of 2011 changed it to ""different classes of shares"" and diversified its kinds. This was to increase the convenience of capital procurement, continuously attracting foreign capital, and contribute to the sound development of the capital market. However, the regulations on the type stocks contain some unspecific contents and problems, causing controversy about the interpretation of the coverage scope and utilization methods, and thus the different classes of shares in the business practice are not utilized properly. Therefore, in order to effectively enhance the usefulness of stocks and to actively utilize them in corporate practice, it is necessary to first clarify the problems and unclear contents contained in the Commercial Code, and then, rational interpretation and legislative supplementation should be performed.
The First, common stocks should be considered non-different classes of shares. The Revised Commercial Act adopts a different classes of shares system while maintaining the basic form of the Commercial Act before the revision, which classifies the types of stocks on the premise of common stocks, because standard stocks are needed to clarify the concept and how to use stocks. The Second, in order to improve the usability of different classes of shares, (1) In the different classes of shares concerning profit dividend, it is necessary to clarify the financial resources of the spot dividend, and to interpret that the variable dividend rate preferred stock and permanent non-dividend stock can not be issued. (2) In the case of voting shares of stocks, veto powers and stocks restricted by voting rights at the general meeting of shareholders shall be interpreted as not being issued, and the effect of the voting right and the revocation conditions and the limit of issuance limit should be clearly defined. (3) In the case of stocks for repayment and conversion, it is necessary to clarify the content and coverage of repayment sources, to clarify the legal structure of repayment-preferentialism, to make legislative compensation so as to issue convertible stocks that are converted into common stock, It should be clearly defined.About the type of stock, the Commercial Act has been used the term of classes of shares. By the way, the amended Commercial Act of 2011 changed it to ""different classes of shares"" and diversified its kinds. This was to increase the convenience of capital procurement, continuously attracting foreign capital, and contribute to the sound development of the capital market. However, the regulations on the type stocks contain some unspecific contents and problems, causing controversy about the interpretation of the coverage scope and utilization methods, and thus the different classes of shares in the business practice are not utilized properly. Therefore, in order to effectively enhance the usefulness of stocks and to actively utilize them in corporate practice, it is necessary to first clarify the problems and unclear contents contained in the Commercial Code, and then, rational interpretation and legislative supplementation should be performed.
The First, common stocks should be considered non-different classes of shares. The Revised Commercial Act adopts a different classes of shares system while maintaining the basic form of the Commercial Act before the revision, which classifies the types of stocks on the premise of common stocks, because standard stocks are needed to clarify the concept and how to use stocks. The Second, in order to improve the usability of different classes of shares, (1) In the different classes of shares concerning profit dividend, it is necessary to clarify the financial resources of the spot dividend, and to interpret that the variable dividend rate preferred stock and permanent non-dividend stock can not be issued. (2) In the case of voting shares of stocks, veto powers and stocks restricted by voting rights at the general meeting of shareholders shall be interpreted as not being issued, and the effect of the voting right and the revocation conditions and the limit of issuance limit should be clearly defined. (3) In the case of stocks for repayment and conversion, it is necessary to clarify the content and coverage of repayment sources, to clarify the legal structure of repayment-preferentialism, to make legislative compensation so as to issue convertible stocks that are converted into common stock, It should be clearly defined.Common Stock, Different Classes of Shares concerning Redemption of Shares, Redeemable Convertible Preferred Stock, Different Classes of Shares concerning Exclusion and Limit of Voting Rights, Different Classes of Shares concerning Profit Dividends, Different Classes of Shares concerning Conversion of Shares, Range and Practical Use of Different Classes of Shares"
5,조선매약주식회사를 통해 본 일제강점기 한약의 모습,백규환 /Kyu-Hwan Baek,2015,대한한의학방제학회,"Objectives : This study is to investigate the emergence of herbal medicine during Japanese colonial period by reviewing newspaper advertisements and brochures about patient medicine of Chosun Maiyak Corporation.
Methods : 69 kinds of patent medications and 584 newspaper advertisements are throughly reviewed to investigate dosage form, drug effect, sales unit and method, price, and advertisement pattern.
Results : Lyungsinwhan represented more than half of the total advertisements, followed by Yungmihwan, Sahyangsohabwon, Yeollyeonggobondan, and Chiljehyangbuhwan. Lyungsinwhan was advertised mostly in spring and summer whereas Yungmihwan and Yeollyeonggobondan were advertised in spring and fall. Dosage form included pill(丸), mixture(膏), powder(散), and liquid(水, 液), while pill and mixture prevailed over other forms. Drug effect included dermatological, pediatric, digestive, and gynecological effects in the increasing order of drug numbers. Sales unit and price were found to vary significantly. Sales method included nationwide network distribution of medicine through postcards and stores.
Conclusion : Herbal medicine during the colonial period was distributed in various kinds of forms with different effects and advertisement patterns through diverse sales unit and price."
6,일제의 조선무연탄주식회사 설립과 조선 석탄자원 통제,김은정 /Eunjung Kim,2009,한국민족운동사학회,"한때 근대의 성장 동력으로 주목받았던 석탄자원은 현재 구시대의 유물처럼 인식된다. 그러나 근대의 탄생은 석탄의 연료로서 활용방법 획득과 함께 시작되었다고 해도 과언이 아닐 정도로 근대 산업화는 석탄 에너지에 깊이 의존하고 있었다. 한국에서도 우수한 석탄산지를 보유하고 있었는데 특히 평안남도의 대동강 주변 무연탄은 구한말시기부터 각국의 주목을 받고 있었다. 일제는 대동강 일대의 무연탄에 대해 ‘평양의 검은 다이아몬드’라고 칭하며 완벽한 장악을 계획하였다. 
따라서 일제는 1910년대에 석탄 산지를 조선총독부 보유 형식으로 장악하였으며, 1920년대에는 일본 대기업에 조선총독부 보유 석탄산지를 할양하였다. 일제는 평양지역 무연탄광에서 조선인 개발을 막고 일제의 의지대로 석탄생산물을 이용할 수 있는 일본자본에게만 개발을 허용하였다. 1927년에는 평양지역의 주요 무연탄 산지를 통합하고 미쓰비시(三菱)계가 주도하는 통합회사인 조선무연탄주식회사가 설립되었다. 일제는 1930년대 침략전쟁 수행을 위해 대대적인 산업별 통제기구를 계획하였지만 조선 무연탄에 대해서는 1920년대 중반부터 무연탄 통합기업을 설립하였다. 조선총독부의 계획에 의해 탄생한 조선무연탄주식회사는 평양일대의 탄전을 통합하고 석탄의 생산, 유통을 관할하는 조선산 무연탄의 최대 공급자로 등장하였다. 
조선총독부가 통합회사로 계획한 조선무연탄주식회사는 초기 미쓰비시의 지배하에 설립되었으나 1935년 이후 동양척식주식회사 자본이 이입되면서 미쓰비시 주식 28%에 비해 동양척식주식회사 주식이 32%를 차지하면서 동양척식(주) 지배 회사로 변모되었다. 동척은 최대주주로서 직접 회사 경영에 참여하여 사업 목적을 변질시키고 석탄 제조, 판매 외의 철도부설과 항만 건설 등 일제의 목적에 부합한다면 어떤 일이든 할 수 있는 다목적 회사로 조선무연탄주식회사를 변모시켰다.
조선에서 생산된 무연탄의 일본 이출비는 1912년 73.4%, 1924년 68.2%, 1935년 55%로 생산량의 절반 이상이 일본으로 이출되었다. 일본에 이출된 조선산 무연탄은 일본의 가정용 연탄제조에 주로 사용되었으나 국내의 사용처는 대규모 공장의 연료로 이용되었다. 특히 조선무연탄주식회사에서 생산된 석탄은 1935년 국내 판매 무연탄의 74.9%를 차지하고 있었다. 또한 조선에서 생산된 전체 무연탄의 약 77%가 국내 소재 일본 기업에 공급되었다. 즉 조선산 무연탄의 사용처는 일본 이출과 국내에 진출한 일본기업이 대부분을 차지하고 있었다. 조선에서 겨울철 난방을 위한 석탄 소비는 서민에게 사실상 불가능한 현실이었다. 한국근대사에서 근대화의 주요 동력으로 이용되어야할 석탄은 일제하 일제의 목적에 따라 이용되고 통제되는 자원에 불과하였다.Coal resource which came to the spotlight as the growth engine of the modern era for a while is regarded as an ancient relic nowadays. However, as it is no exaggeration to say that the birth of the modern era began with the coal, modern industrialization was deeply depending on the coal energy. There were excellent coal mines in Korea. Among them anthracite mines near to DaeDongRiver in the southern Pyungan province were paid attention to by many countries since the last period of Daehan empire. Japanese imperialism called anthracite near to DaeDongRiver region as “Black diamond of Pyungyang” and intended to command absolute power. 
Japanese imperialism secured coal producing districts as the property of Chosun governor－general in 1910s and assigned them to Japanese conglomerates in 1920s. Japanese imperialism did not allow Koreans to develop anthracite mines in Pyungyang region but granted the coal development only to Japanese capitalists. Chosun anthracite corporation(朝鮮無煙炭株式會社, CAC) which was led by Mitsubishi was founded in 1927 after integrating major anthracite producing districts in Pyungyang region. While Japanese imperialism planned large scale of control agencies by industry, it established an anthracite integration corporation since mid 1920s. CAC founded by the scheme of Chosun governor－general integrated coal mines in Pyungyang region and appeared on the stage as the biggest supplier of Chosun anthracite which had jurisdiction over the coal production and distribution.
CAC plotted as an integration corporation was under the control of Mitsubishi at the beginning. However the capital of Oriental exploitation corporation(東洋拓植株式會社, OEC) was imported since 1935. When the stock of OEC surpassed that of Mitsubishi by 32% to 28%, it went under the control of OEC. OEC directly participated in the management of the company and changed the enterprise mission as the biggest shareholder, finally transformed CAC into a multipurpose company which could do anything that was corresponding to the mission of Japanese imperialism such as construction of railroads and building of ports in addition to coal production and distribution.
More than half of anthracite which was produced in Chosun was exported to Japan; 73.4% in 1912, 68.2% in 1924 and 55% in 1935 in terms of export rate. Chosun anthracite which was exported to Japan was mainly used to make home briquet, however the inland usage of anthracite was a fuel of large factories. Coal produced by CAC marked 74.9% of domestically distributed anthracite in 1935. Almost 77% of the anthracite produced in Chosun, was supplied to Japanese companies in Chosun. In other words, the main usage of Chosun anthracite was export to Japan and Japanese companies in Chosun. It was impossible to provide coal resource to the public for heating in the winter. Coal resource which should be used as the major engine of modernization in the Korean modern history, was a mere resource used and controlled by Japanese imperialism for their own purpose.Coal resource which came to the spotlight as the growth engine of the modern era for a while is regarded as an ancient relic nowadays. However, as it is no exaggeration to say that the birth of the modern era began with the coal, modern industrialization was deeply depending on the coal energy. There were excellent coal mines in Korea. Among them anthracite mines near to DaeDongRiver in the southern Pyungan province were paid attention to by many countries since the last period of Daehan empire. Japanese imperialism called anthracite near to DaeDongRiver region as “Black diamond of Pyungyang” and intended to command absolute power. 
Japanese imperialism secured coal producing districts as the property of Chosun governor－general in 1910s and assigned them to Japanese conglomerates in 1920s. Japanese imperialism did not allow Koreans to develop anthracite mines in Pyungyang region but granted the coal development only to Japanese capitalists. Chosun anthracite corporation(朝鮮無煙炭株式會社, CAC) which was led by Mitsubishi was founded in 1927 after integrating major anthracite producing districts in Pyungyang region. While Japanese imperialism planned large scale of control agencies by industry, it established an anthracite integration corporation since mid 1920s. CAC founded by the scheme of Chosun governor－general integrated coal mines in Pyungyang region and appeared on the stage as the biggest supplier of Chosun anthracite which had jurisdiction over the coal production and distribution.
CAC plotted as an integration corporation was under the control of Mitsubishi at the beginning. However the capital of Oriental exploitation corporation(東洋拓植株式會社, OEC) was imported since 1935. When the stock of OEC surpassed that of Mitsubishi by 32% to 28%, it went under the control of OEC. OEC directly participated in the management of the company and changed the enterprise mission as the biggest shareholder, finally transformed CAC into a multipurpose company which could do anything that was corresponding to the mission of Japanese imperialism such as construction of railroads and building of ports in addition to coal production and distribution.
More than half of anthracite which was produced in Chosun was exported to Japan; 73.4% in 1912, 68.2% in 1924 and 55% in 1935 in terms of export rate. Chosun anthracite which was exported to Japan was mainly used to make home briquet, however the inland usage of anthracite was a fuel of large factories. Coal produced by CAC marked 74.9% of domestically distributed anthracite in 1935. Almost 77% of the anthracite produced in Chosun, was supplied to Japanese companies in Chosun. In other words, the main usage of Chosun anthracite was export to Japan and Japanese companies in Chosun. It was impossible to provide coal resource to the public for heating in the winter. Coal resource which should be used as the major engine of modernization in the Korean modern history, was a mere resource used and controlled by Japanese imperialism for their own purpose.coal, resource, anthracite, Chosun anthracite corporation, Oriental exploitation corporation, Mitsubishi, Chosun governor－general, Pyungyang"
7,전시체제기 동양척식주식회사의 자금동원 구조와 투자동향 분석,배석만 /Bae Suk Man,2014,부경역사연구소,"The study analyzed financial activity of ‘the Oriental development company (hereinafter called as Dongcheok)’ which was a representative government-run company in Japanese ruling period. Financial activity of Dongcheok rapidly expanded in the so-called wartime system period from Sino-Japanese war to Pacific war. Through the analysis, it could be figured out as follows.
Capital Dongcheok needed was raised mainly through corporate bond. The raised money was invested to munitions industry and government-run business which wartime system needed. The money was most invested to Joseon which accounted for some 50% of total investment. Whole trend of investment varied according to period and region. Investment trend during Sino-Japanese war period and Pacific war period was different each other and there were differences in Joseon, Manchuria, China, and South and East Asia. In the case of Joseon with most investment, during Sino-Japanese war period, investment was centered on social overhead capital like electric power industry etc. while during Pacific war period, it was being shifted to new investment for companies to produce core war supplies such as airplane, shipbuilding, production of aluminum, production of magnesium etc.
On the other hand, from analysis on management performance of Dongcheok, it could be known that the performance was rapidly improving thanks to positive investment to government-run business and munitions industry during wartime system period. Especially, sale performance after Pacific war period when investment to munitions companies was strengthened was improving by leaps and bounds, although considering wartime inflation of then times. In the end, differently from existing studies where Dongcheok has an image to worry between profit-making and government-run, it can be said that normal management and stable accumulation would be possible in Dongcheok, if it was functioned as a typical government-run company according to status and purpose set in the time of its foundation.The Oriental Development Company, Government-Run Company, Financial Activity, Munitions Industry, Government-Run Business"
8,재조일본인(在朝日本人)의 신탁회사 설립과 경영에 관한 연구 -인천 조선신탁주식회사(1921-1932)의 경영권 쟁탈전을 중심으로-,"김명수 /Kim, Myungsoo",2015,인천대학교 인천학연구원,"한국에서 근대적 의미의 신탁업은, 1906년에 藤井寬太郞의 藤本合資會社가 한국에 진출한 일본인 지주들의 토지를 위탁관리하기 시작한 것에서 비롯된다. 1908년 3월에는 남선상사신탁주식회사가 설립되었고, 1910년 12월에는 인천에서 조선신탁합명회사가 출현하였다. 1921년 11월에 설립된 조선신탁주식회사는 조선신탁합명의 신탁업무를 승계하여 설립되었다. 인천재계의 주요 인물들이 조선신탁의 설립에 참여하였으며, 조선인은 감사역 장석우를 비롯하여 극히 소수에 불과했다. 조선신탁의 예에서 알 수 있듯이, 일제 강점기 한국에 설립된 신탁회사들은 주로 일본인들에 의해 경영되었다. 따라서 조선신탁의 사례는 재조일본인의 신탁회사 경영에 관한 사례연구로서 연구사적 의의가 있다.
1920년대는 장기불황이 계속된 ‘공황의 시대’로, 이때 설립된 조선신탁의 영업이 부진한 것은 당연했다. 조선신탁은 은행으로부터 차입한 자금과 일반에서 흡수한 신탁금을 토대로 주로 대부업을 통한 이자수입에 의존했다. 불안한 대출은 정리하여 영업의 건전화를 꾀했다. 1928년 12월 이후 조선상업은행 출신 금융전문가 池邊竹次를 영입하여 사장에 추대했고, 1930년 2월에도 역시 關滿登을 영입하여 전무 겸 지배인에 선임했다. 그러나 1930년 11월에 발생한 배임횡령에 관한 고소사건으로 조선신탁은 영업상 큰 타격을 받게 된다. 1930년 이후 조선신탁이 ‘반휴업상태’에 빠지고 무배당을 기록하였다. 조선신탁의 중역인 堆浩가 조선산업의 토지를 인수하면서 동원한 자금이 배임과 횡령으로 마련되었다 하여 ‘토지부정취득사건’으로 규정되었다. 결국 당기순손금이 발생하고 말았다.
조선신탁의 경영권을 둘러싸고 堆浩一派와 桑野健治一派가 대립하였다. 이 두 세력간의 대립이 장기불황과 맞물리면서 조선신탁의 경영을 어렵게 만들었다. 경영권 다툼이 치열했던 것은 조선신탁의 신탁금을 사금고처럼 이용할 수 있었기 때문이었다. 경영부진에 빠져있던 조선신탁은 1932년 1월 신탁업을 포기하고 금융회사로 전환되었다. 1931년 6월 9일에 제정된 조선신탁업령이 동년 12월에 실행되었기 때문이다. 조선신탁업령의 최소자본금 규정인 200만원은 충족할 수 있었으나, 조선신탁의 內訌, 연이은 不祥事件, 대부업 중심의 후진적 신탁업 경영은 엄격한 통제를 표방한 조선신탁업령 하에서는 유지되기 어려웠던 것이다.Modern trust industry in Korea started from the management in Japanese landowner’s land by Fujii Kantaro(藤井寬太郞)’s Fujimoto joint-stock company(藤本合資會社) in 1906. After that, Namseon Sangsa Trust Company(南鮮商事信託會社) was established in March 1908 and Choseon Trust Unlimited Partnership(朝鮮信託合名會社) in December 1910. Choseon Trust Company(朝鮮信託株式會社, a stock company), which was established in November 1921, succeeded to trust work from Choseon Trust Unlimited Partnership. Leading lights in Incheon business society participated in the establishment of Choseon Trust Company, and only a few Koreans like an inspector Jang, Seok-woo(張錫佑) took part in it. As you know from the case of Choseon Trust Company, trust companies established during the colonial period were managed by Japanese settlers in colonial Korea(JSCK). Therefore, the case of Choseon Trust Company has importance as a case study on a trust company management by JSCKBecause of the long recession of 1920s in Japan and Korea, little wonder Choseon Trust Company was in business depression. Choseon Trust Company depended on the interest income through lending under mortgage with financed money from banks and money in trust from investing publics. Choseon Trust Company tried to improve the management performance by collecting non performing loans. For trust business, Choseon Trust Company scouted Ikebe Takeji(池邊竹次) and Seki Manto(關滿登) as professional managers from Choseon Commercial Bank(朝鮮商業銀行) and selected Ikebe as president in December 1928 and Seki as manager. However, management of Choseon Trust Company was charged with dereliction of duty, and which made Choseon Trust Company suffer heavily, and no dividend was paid to stockholders since 1930. Moreover, the biggest shareholder and central figure of Choseon Trust Company Akutsu Hiroshi and three other directors were arrested for jumping a claim of company funds.
Akutsu’s group had locked horns with Kuwano Kenji’s group over the management rights, which made Choseon Trust Company’s management bad under long recession during 1920s. Fierce competition between two groups was caused by intention to use Choseon Trust Company as a private bank. Choseon Trust Company had no choice but to give up its trust business and be turned over to a financial Company in January 1932 because Choseon Trust Act had been enforced since December 1931. Choseon Trust Company was able to satisfy minimum capital regulation 2,000,000Yen, but internal disturbance, successive scandals and backward trust management centering on moneylending business were impossible under Choseon Trust Act which claimed to control Choseon’s trust companies strictly.(Incheon)Choseon Trust Company(朝鮮信託株式會社), Japanese settlers in colonial Korea, Akutsu Hiroshi(堆浩), Kuwano Kenji(桑野健治), Choseon Sanup Company(朝鮮産業株式會社)"
9,중국 주식시장에서의 외국인 주식가격 연구 외국인 주식시장 개방에 따른 주식가격 변화 요인 분석,김경원 /KIM KYUNG-WON,2002,한국증권학회,">중국 주식시장에서는 동일 주식이라도 외국인과 내국인을 분리하여 투자하도록 구분하였다. 일반적으로 외국인의 주식투자가 제한되어질 때, 외국인이 투자할 수 있는 주식이 내국인이 투자할 수 있는 주식보다 프리미엄이 붙어 거래되는 현상이 내국인과 외국인의 투자 거래 제한을 구분한 대부분의 국가의 시장에서 관측되고 있다. 그러나 중국시장에서는 예외로 반대의 현상이 관측되고 있다. 즉, 중국시장에서는 다른 시장과 달리 내국인이 투자할 수 있는 A주에 프리미엄이 존재하고 있으며, 오히려 외국인들이 투자 할 수 있는 B주식은 할인되어 거래되어지고 있다. 이러한 할인되는 현상을 '중국 주식가격의 퍼즐'이라 할 수 있다. 본고에서는 최근 중국 주식시장에 큰 변화의 계기가 된 사건인 2001년 2월 내국인에게 외국인 주식시장을 개방한 이후, 이러한 주식 개방이 중국 주식시장의 주식 가격에 어떠한 영향을 주었는지 알아보고, 기존의 논란이 되는 가설을 다시 검증하였다. 이를 위해 본고에서는 개방전후의 할인율 추이를 분석하고, 이러한 할인율을 결정하는 요인 및 설명 가능한 가설들을 개방전과 개방후로 나누어 비교 분석하였다. 분석 결과 B주식 시장을 내국인에게 개방후 B주식의 할인율은 급격하게 줄어드는 현상을 발견하였고, B주식 시장 개방 이전에는 할인율을 설명하는 요인 중에서 상해거래소와 심천거래소 모두 유동성요인 가설이 지지되었고, 또한 상이한 수요요인 가설도 지지되었다. 개방 이후에는 상이한 수요요인 가설이 개방전과 마찬가지로 지지되었다. 그러나 심천거래소에서는 유동성요인이 여전히 중요 요인으로 영향을 미쳤으나 상해거래소에서는 유동성의 요인은 설명력이 없어졌다. 다른 요인들도 할인율을 일부 설명하였으나 통계학적으로 크게 유의하지는 않았다. 할인율의 설명에서 전반적으로 표본전체의 경우나 개방 전 그리고 개방 후에도 상이한 수요요인 가설만이 통계학적으로 유의하게 지지되었다.A Study on the Stock Price of Foreign Owners' Shares in the Chinese Stock Market"
