,제목,저자,출판일,기관,초록
0,HR부서와 기업경쟁력의 관계에서 HR부서의 전략적 역할과 교육훈련의 매개효과 분석,오헌석 /Oh， Hunseok,2011,한국기업교육학회,"본 연구는 HR부서의 역할 중 최근 대두되고 있는 전략적 역할과 전통적 역할이라 할 수 있는 교육훈련의 매개효과를 중심으로 HR부서의 전문성과 기업문화가 기업경쟁력에 미치는 영향을 분석하는 데 그 목적이 있다. 연구 결과, HR부서의 전략적 역할과 교육훈련의 전이 가능성은 HR부서의 전문성과 기업경쟁력 간의 관계에 대하여 매개효과를 가지는 것으로 나타났고, 교육훈련의 전이 가능성은 기업문화와 기업경쟁력 사이의 관계에 있어서도 부분 매개효과가 확인되었다. 본 연구가 인적자원개발 분야에 주는 시사점은 다음과 같다. 첫째, 기업의 HR부서는 명확한 역할 부여와 고유한 역할에 부합되는 행동을 요구받을 때 기대되는 역할을 효과적으로 수행할 수 있다. 둘째, HR부서 및 담당자의 지속적인 전문성 향상과 HR부서의 역할과 기능을 극대화시킬 수 있는 기업문화 구축이 중요하다.The purpose of this study is to investigate the mediation effect of strategic roles of the HR department and transfer of training on the relationship between expertise of the HR department and organizational culture and competitiveness. It was found that strategic roles of the HR department and transfer of training mediates the relationship between expertise of the HR department and competitiveness. Also, transfer of training partially mediated the relationship between organizational culture and competitiveness. The results of this study implies that expertise of the HR staff should be developed at the maximum level to ensure that the HR function improves organizational competitiveness. Additionally, the findings of this study indicated that organizational culture serves as the foundation for transfer of training which leads to organizational competitiveness.HR department, expertise of the HR department, strategic roles of the HR department, transfer of training, organizational culture, firms' competitiveness"
1,HR Analytics: Predicting Above Average Commitment by Ranking HR Practices,"이환우 /Lee, Hwan-Woo",2018,한국경영컨설팅학회,"Which HR practices are more important in predicting employee commitment and how might they best be identified? Using classification tree analysis, a data mining technique, we find the priorities between practices the cut-off scores of each. The most important variable to predict above average-commitment employees is “performance management” and the next is “compensation.” Thus, performance management and compensation is a best fit to predict above average-commitment employees. The proposed approach contributes to the HR analytics and SHRM literature by introducing the notion of hierarchy of HR practices in eliciting higher commitment. Our hope is that the model presented in this paper provides a starting place for research and practice examining the role of data mining in HR, and toward the goal of developing effective organizational mechanisms for improving employee commitment.본 논문은 평균 이상의 조직몰입과 가장 연관이 있는 인사제도를 순서 데로 나타내 보임으로써, 방대한 양의 인사관련 데이터의 통계적 분석을 통해 어떻게 조직이 귀납적으로 조직성과 향상을 위한 유의미한 정보를 추출할 수 있는지에 대한 하나의 예시를 제시한다. 한국의 제조업 분야 특정 기업 1,451명의 종업원을 대상으로 한 서베이 데이터를 R을 이용해 트리분석 (tree analysis)을 한 결과, 종업원이 회사의 성과관리 제도에 대한 만족도가 일정 수준 (5점 만점에 3.08)을 넘어서거나, 그렇지 않으면 그 종업원이 보상제도에 대한 만족도가 일정 수준 (5점 만점에 2.83)을 넘어서야 그 종업원은 평균 이상의 조직몰입을 가질 것으로 예측할 수 있었다. 이러한 결과는 최소한 이 회사는 조직몰입 향상을 위해 첫 번째 우선순위로 종업원의 성과관리에 대한 만족도 수준을 관리해야 하고, 이와 더불어 종업원의 보상제도에 대한 만족도 수준을 짝으로 같이 관리할 때 효과적으로 조직몰입 향상을 이끌어 낼 수 있음을 제시한다. 본 연구가 학문적, 실무적으로 유의미하고 다양한 인적자원 Analytics에 대한 연구 활성화에 기여하기를 기대해 본다.인적자원 가치색출 (HR Analytics), 조직몰입, 트리분석 (tree analysis), 전략적인사관리, 빅데이터 마이닝"
2,"HR 부문의 외부연결성, 환경 역동성, 조직의 몰입형 인적자원관리제도 활용 간 관계에 대한 연구: 사업체 패널자료를 중심으로",박지성 /Jisung Park,2018,한국인사관리학회,"본 연구는 기존의 전략적 인적자원관리 분야에서 다소 소홀하게 다루어져 온 몰입형 인적자원관리의 활용을 결정하는 선행요인에 대하여 탐색하였다. 즉, 제도론의 규범적 동형화 논의를 기반으로 HR 부문의 외부 활동, 즉 외부연결성이 어떻게 조직의 몰입형 인적자원관리 활용을 증대시키는 제도적 압력으로 작용하는지에 대해 살펴보았다. 또한, 이러한 제도적 압력과 더불어 경영환경과의 적합성 측면을 동시에 고려할 때 조직의 인적자원관리시스템 활용이라는 현상적 설명을보다 온전히 할 수 있다는 점에서 상황이론을 기반으로 맥락적 상황인 환경 역동성이 갖는 조절효과에 대해서도 검증하였다.
주 효과와 조절효과를 검증하기 위하여 본 연구에서는 한국노동연구원의 사업체 패널자료 중사업체 498개, 관측치 2,490개의 표본을 대상으로 패널 분석을 실시하였다. 분석 결과, 본 연구에서 예측한 바와 같이 HR 부문의 외부연결성이 높을수록 조직의 몰입형 인적자원관리제도 활용이증가하는 것으로 나타났으며, 높은 환경 역동성은 HR 부문의 외부연결성과 조직 내 몰입형 인적자원관리제도 활용 간 정(+)의 관계를 약화시키는 것으로 나타났다.
이러한 논의들을 통해 본 연구는 전략적 인적자원관리 연구 분야에 몇 가지 기여점을 제공한다. 첫째, 본 연구는 기존 전략적 인적자원관리 분야에서 다소 간과되어 온 몰입형 인적자원관리활용의 선행요인으로 규범적 동형화에 기반을 두고 HR부문의 외부연결성이라는 측면을 제시하여연구의 외연을 확장하였다. 둘째, 상황이론에 기반을 두고 HR 부문의 외부연결성이 몰입형 인적자원관리의 활용에 미치는 영향은 환경 역동성에 따라서 달라진다는 점을 제시함으로써 제도의압력과 경영환경의 압력의 차별적인 효과에 대하여 제시하여 추후 연구에 중요한 시사점을 제공하였다.This study examines that how a human resource department’s external networks increase the use of firms’ commitment-based HR system using normative isomorphism of institutionalism. Moreover, considering that the institutional and the environmental pressures simultaneously influence the utilization of organizations’ HR systems, this study explores the moderating effect of environmental dynamism on the positive relationship between an HR department’s external networks and the use of firms’ commitment-based HR system through a contingency theory.
In order to investigate the main and moderating effects, this study conducts the panel analyses with the data of the Workplace Panel Survey (WPS). Consistent with our predictions, analytic results showed that a human resource department’s external networks increased the use of firms’ commitment-based HR system and environmental dynamism attenuated the positive relationship between an HR department’s external networks and the use of firms’ commitment-based HR system. Based on theoretical arguments and empirical findings, this study has implications that an HR department’s activities, the institutional impact, and the environmental pressure should be considered to deeply understand the utilization of organizations’ HR systems.HR Department, Network, Commitment-based HR system, Institutionalism, Contingency Theory"
3,조직 및 HR부서 특성이 HR아웃소싱(Human Resource Outsourcing) 정도에 미치는 영향,차성호,2008,한국인사조직학회,"아웃소싱은 비용절감, 위험감소, 역량구축 등을 위한 목적에서 외부로부터 자원을 공급받는 것이다. 기존의 생산, 정보기술 분야를 대상으로 한 아웃소싱에서 점차 기업경영의 다양한 분야로 확대되면서 HR아웃소싱의 정도도 국내에서 증가되고 있다. 그러나 최근까지 HR아웃소싱에 관한 국내 기업의 현황이나 학문적인 연구가 매우 미흡하다. 본 연구는 국내 기업을 대상으로 기업의 조직특성과 HR의 부문특성이 HR아웃소싱 정도에 어떤 영향을 주는지를 파악하고자 하였다. 따라서 HR아웃소싱 결정요인들 중에서 경쟁전략, 노동조합 또는 노사협의회의 영향력, HR업무의 특수성, HR부서의 역량, HR부서에 대한 지원과 같은 기업의 조직 및 부문특성이 HR아웃소싱 정도와 유의한 연관성을 가지고 있는 지를 규명하였다. 본 연구는 2005년 8월부터 2006년 3월 기간동안 HR아웃소싱을 도입할 예정에 있거나 실제 운영하고 있는 국내 상장기업 및 코스닥기업 164개 기업에 대하여 조사를 수행하였다. 연구의 실증분석 결과에 의하면 첫째, 기업이 차별화전략보다 원가우위전략을 추구할수록, 노동조합 또는 노사협의회의 영향력이 약할수록 HR아웃소싱 정도는 높게 나타났다. 둘째, HR업무의 특수성이 낮을수록, HR부서의 역량이 낮을수록, 최고경영자의 HR부서에 대한 지원이 많을수록 해당 기업의 HR아웃소싱 정도는 높은 것으로 나타났다. 본 연구의 결과는 실무적으로 다음과 같은 시사점을 제공한다. 첫째, 기업의 조직특성 중 경쟁전략과 노동조합의 운영에 있어 HR아웃소싱 정도에 대한 세심한 주의가 이루어져야 한다. 둘째, 기업의 HR부문 특성 중 HR부서 또는 업무의 운영에 있어 아웃소싱 도입시에도 단계적 절차가 필요할 것이다.To survive and grow in rapidly changing business environments, organizations need to obtain
flexibility and competitive edge over other organizations. When organizational resources are
limited, securing high levels of performance in core areas of business is a challenging task.
Under such circumstances, organizations can improve efficiency by outsourcing some management functions to external firms, thereby concentrating organizational resources on high-priority core competency areas. Outsourcing is a way of obtaining resources from outside for the purpose of saving expenses, reducing business risks, and utilizing scarce capabilities. Recently, outsourcing is widely expanding from the field of production and information technology to HR functions. HR outsourcing has also increased in Korean companies over various HR areas from recruitment to compensation management. However, because traditionally human resource policies have not been clearly written in most of Korean companies, research on HR outsourcing has been done only occasionally. So far no empirical study has been published, excepting a few survey reports from business associations. In this situation, this study attempted to investigate what factors are associated with HR outsourcing decisions in Korean companies. In particular, the study examines how HR outsourcing are associated with organizational characteristics such as trade unions and works councils, or HR departmental characteristics such as specificity of human resource services, capability of human resource staffs, and CEO’s support on human resource department. Survey questionnaires were mailed out to HR managers in 1,500 publicly traded companies. Questions focused on the ways and extent they introduced HR outsourcing. 131 HR managers replied to the survey and so the response rate was 15.4%. Research findings are summarized as follows. First, companies whose business strategy is more cost saving oriented, showed higher degrees of HR outsourcing. This implies that HR outsourcing is implemented predominantly for cost saving in HR services. Second, unions and works councils have a negative association with the degree of HR outsourcing. Union workers were inclined to have a negative view on HR outsourcing because it may impoverish HR service qualities and because collective agreements and labor contracts may make the HR outsourcing difficult.
Third, the specificity of human resource services has a significant relationship with HR
outsourcing. That is, the more specific the human resource services are, the lower degree of
HR outsourcing is observed. This implies that HR outsourcing is considered only when the
HR service is very general. HR service providers outside the company can convey the
standardized services with much ease. Fourth, when HR department staff has not much expertise, the degree of HR outsourcing tends to be higher. This is because HR departments become more dependent on HR service providers when it tries to overcome the lack of HR expertise. Fifth, CEO’s support on human resource department has positive effects on HR outsourcing. HR outsourcing is implemented as organizational change efforts, and so the CEO’s orientation toward organizational change helps increase HR outsourcing. The study has limitations as follows. First, it couldn’t take into account all the factors that influence HR outsourcing. Variables that have an effect on HR outsourcing could be numerous. This study examines only a few of them. It is urged that future studies examine more diverse views on HR outsourcing decisions. Further, common method variance problems may exist because measurements were made by survey questions, which could inflate statistical association
among variables. To alleviate common method variance, it is necessary that objective company
data as well as self reports should be balanced in measuring variables.To survive and grow in rapidly changing business environments, organizations need to obtain
flexibility and competitive edge over other organizations. When organizational resources are
limited, securing high levels of performance in core areas of business is a challenging task.
Under such circumstances, organizations can improve efficiency by outsourcing some management functions to external firms, thereby concentrating organizational resources on high-priority core competency areas. Outsourcing is a way of obtaining resources from outside for the purpose of saving expenses, reducing business risks, and utilizing scarce capabilities. Recently, outsourcing is widely expanding from the field of production and information technology to HR functions. HR outsourcing has also increased in Korean companies over various HR areas from recruitment to compensation management. However, because traditionally human resource policies have not been clearly written in most of Korean companies, research on HR outsourcing has been done only occasionally. So far no empirical study has been published, excepting a few survey reports from business associations. In this situation, this study attempted to investigate what factors are associated with HR outsourcing decisions in Korean companies. In particular, the study examines how HR outsourcing are associated with organizational characteristics such as trade unions and works councils, or HR departmental characteristics such as specificity of human resource services, capability of human resource staffs, and CEO’s support on human resource department. Survey questionnaires were mailed out to HR managers in 1,500 publicly traded companies. Questions focused on the ways and extent they introduced HR outsourcing. 131 HR managers replied to the survey and so the response rate was 15.4%. Research findings are summarized as follows. First, companies whose business strategy is more cost saving oriented, showed higher degrees of HR outsourcing. This implies that HR outsourcing is implemented predominantly for cost saving in HR services. Second, unions and works councils have a negative association with the degree of HR outsourcing. Union workers were inclined to have a negative view on HR outsourcing because it may impoverish HR service qualities and because collective agreements and labor contracts may make the HR outsourcing difficult.
Third, the specificity of human resource services has a significant relationship with HR
outsourcing. That is, the more specific the human resource services are, the lower degree of
HR outsourcing is observed. This implies that HR outsourcing is considered only when the
HR service is very general. HR service providers outside the company can convey the
standardized services with much ease. Fourth, when HR department staff has not much expertise, the degree of HR outsourcing tends to be higher. This is because HR departments become more dependent on HR service providers when it tries to overcome the lack of HR expertise. Fifth, CEO’s support on human resource department has positive effects on HR outsourcing. HR outsourcing is implemented as organizational change efforts, and so the CEO’s orientation toward organizational change helps increase HR outsourcing. The study has limitations as follows. First, it couldn’t take into account all the factors that influence HR outsourcing. Variables that have an effect on HR outsourcing could be numerous. This study examines only a few of them. It is urged that future studies examine more diverse views on HR outsourcing decisions. Further, common method variance problems may exist because measurements were made by survey questions, which could inflate statistical association
among variables. To alleviate common method variance, it is necessary that objective company
data as well as self reports should be balanced in measuring variables.Organizational and HR Department Characteristics, Human Resource Outsourcing"
4,조직 간 HR 부서의 전략적 역할 결정요인 탐색 및 HR 역할 관련 향후 연구 과제 모색,박지성 /Jisung Park,2017,한국인사조직학회,"지난 수십 년간 인사관리 분야에서는 조직의 전략적 파트너로서 역할 수행이 HR 부서의 궁극적인 목표이자 궁극적 종착점이라는 주장이 지속적으로 이루어져 왔다. 이는 HR 부서의 전략적 역할 참여가 조직성과를 향상시키고 미래 경쟁우위를 증진시키는 최적의 방안으로 여겨졌기 때문이다. 그러나 실제 HR 부서가 그러한 역할을 수행하고 있느냐를 살펴본 연구들에 따르면 여전히 많은 기업들의 HR 부서가 운영적 역할을 수행하는데 보다 많은 시간을 할애하고 있었으며, 현실에서의 전략적 역할 수행 정도는 기업들 간에 상당한 차이가 있는 것으로 나타나고 있다. 이러한 HR 부서의 전략적 이행에 있어서의 조직 간 현상학적 차이는 HR 부서의 확고한 지향점이었던, 그리고 지금도 여전히 다다라야 할 목표지점인 HR 부서의 전략적 역할이 왜 기업마다 그토록 다양한 차이를 보이느냐에 대한 근원적 의문을 제기한다. 이러한 의문을 기반으로 출발한 본 연구는 이에 대한 답을 찾기 위해 먼저 HR 부서의 역할 유형들(관리전문가, 직원대변자, 변화관리자, 전략적 파트너)에 대한 선행연구들을 검토하고, HR 부서의 역할 유형들 중 전략적 역할 정도를 높이는 조직의 내․외부 요인들에는 어떠한 것들이 있는지를 문헌연구를 통해 살펴본다. 이러한 선행연구에 대한 다각적인 검토를 바탕으로 통합적 연구 틀을 제시한 후, 본 논문의 후반부에서는 HR 부서 역할 관련 기존 연구들에 있어 추가 논의가 필요한 부분들을 이론적․방법론적․연구 함의적 측면으로 구분하여 향후 연구 과제로 제안한다. 마지막으로 결론 부분에서는 본 논문이 가진 함의점과 한계점들에 대해 기술한다. 이러한 논의들을 통해 본 논문은 조직 간 HR 부서의 전략적 역할 수행 정도에 있어 차이를 가져오는 영향요인들을 규명하고 기업들의 상황을 보다 현실적으로 보여줌으로써 HR 기능과 역할에 대한 실질적 이해를 제고하는 한편, HR 부서 역할 관련 향후 논의들을 보다 활성화시키고 관련 담론의 외연을 확대하는데 기여하고자 한다.Contrary to HR scholars’ beliefs about the overwhelming diffusion of a human resource (HR) management department’s strategic role in the management field, most firms’ HR departments still spend much time in playing the operational roles. In addition, the degrees of a strategic role among firms markedly are diverse, contingent on each organization’s conditions in practice. This gap between reality and the ideals raises the fundamental question - which factors lead to the differences of an HR department’s strategic role among firms? To find the answer to this question, this paper traces the evolution of HR roles, summarizes various HR roles that have been suggested by researchers so far, and particularly reviews four HR roles-strategic partner, change agent, administrative expert, and employee champion-which are typically used in the HR field. In addition, by further focusing on a strategic role, this study investigates which internal and external factors influence the differentiation of an HR department through extensive literature reviews. Based on these literature reviews and theoretical arguments, this study proposes several directions for future research in terms of theories, methodologies, and research implications. In the discussion part, this study suggests theoretical and practical implications and several limitations to future research.human resource department(HR department), strategic role, evolution of HR roles, differences of HR roles"
5,HR Plate의 강박스거더 적용 연구,"이성행 /Lee, Seong Haeng",2007,한국공간구조학회,"As business of steel consuming industries is freshly booming in domestic and foreign countries especially in China, the price of steel plates comes to very high compare with the other materials. The HR Plates made from hot rolled coils is lower steel plates in price.In this study, material characteristics of HR Plates is investigated and availabilities of HR Plates for steel bridges as sub member or a main member is discussed. No difference between steel plates and HR Plates with thickness up to 22mm is found in most characters such as cutting operation, fabrication and even welding. As sub member in steel box girders, the application ratio and the loss ratio of HR Plate is investigated as about 10∼15%, average 10∼15% respectively.국내외적으로, 특히 중국에서 철강산업의 수요증대로 철판의 가격이 다른 재료에 비하여 급격하게 상승되고 있다. 열연 코일로부터 만들어지는 HR Plate는 후판에 비하여 가격이 저렴하다. 본 연구에서는 HR Plate의 재료특성을 검토하고, 강교에서 부부재와 주부재로서 HR Plate의 적용성을 연구하였다. 연구결과 일반 후판과 HR Plate는 두께 22mm까지 절단, 조립성, 용접 등의 특성에 있어서 차이가 없었다. 강박스교량의 부부재로서 사용율과 손실율은 각각 10∼15%, 10∼15%로 조사되었다.열연코일판, 손실율, 강박스, 주부재, 도로교"
6,HR Plate의 경량전철 강박스거더교 적용모델,이성행,2007,한국철도학회,"22mm까지의 두께를 갖는 HR Plate의 사용량을 증대시키기 위해서는 HR Plate가 강교량의 주부재를 포함한 모든 부재에 적용되는 것이 요망되어진다. 본 연구에서는 HR Plate의 적용가능 폭을 갖는 경량전철 협폭 박스거더의 가능성을 검토하였다. 빔요소와 플레이트 요소를 적용한 15개 경량전철 교량 모델들에 대해 풀모델링과 서부모델링을 적용하여 전산 구조해석을 수행하였다. 해석결과 HR Plates의 협폭박스거더는 경량전철에 적용될 수 있다는 것을 확인하였다.To increase the demand of HR Plate with thickness up to 22mm, it is necessary that HR Plate is applicable to full member in steel bridge including main girder. In this study, availabilities of the narrow steel box girder of light railway transit with HR Plate width as a main member are discussed. Computational analysis is performed in 15 bridge models of light railway transit with beam element and plate element. As an analysis results, three models in light railway transit are presented. In conclusion, it is validated that HR Plate can be applying to narrow steel box girder in the light railway transit.Light railway transit, Narrow steel box, HR Plate, Computational analysis, Steel box girder"
7,HR-WPAN에서 링크 상태에 따른 동적 채널 타임 할당 기법,강재은,2009,한국통신학회,"본 논문에서는 IEEE 802.15.3 HR-WPAN(High Rate Wireless Personal Area Network)의 PNC(PincoNet Coordinator)에서 DEV(DEVice)의 링크 상태에 따라 동적으로 채널 시간을 할당하는 DABL(Dynamic Allocation of channel times Based on Link quality of the DEV) 알고리즘을 이용하여 시스템에서의 평균 트래픽 전송률을 향상시키고 지연시간을 감소시키는 방법을 제안한다. 좀 더 구체적으로, DABL 알고리즘은 DEV의 링크 상태에 따라 다중 변조 기법을 제공할 뿐만 아니라, 슈퍼 프레임에서의 각 DEV를 위한 채널 타임도 동적으로 스케줄링 하는 방법을 제공한다. 또한 트래픽의 QoS(Quality of Services)를 고려하여, 본 논문에서는 실시간 트래픽과 비실시간 트래픽으로 구분하여 DABL 알고리즘을 제안하였다. 마지막으로, 본 논문에서는 기존 균등 분할 방식과 DABL 방식의 성능 비교를 위해 시뮬레이션을 수행하였다.For IEEE 802.15.3 HR-WPAN, we propose the DABL algorithm that PNC can allocate the channel times to
the DEV in super frame in order that system frame throughput is increased and the delay is decreased. In detail,
the DABL algorithm allows to dynamically allocate channel time as well as to adaptively apply the modulation
and coding scheme based on the link quality of the DEV. In addition, due to the facts that QoS is quite
different depending on service types, we provide the DABL algorithm taking into account RT(Real Time) traffic
and Non-RT traffic respectively. Finally, we show simulation results of the DABL algorithm compared to the
conventional algorithm that the PNC equally allocates channel times to the DEV regardless of the link quality of
the DEV.For IEEE 802.15.3 HR-WPAN, we propose the DABL algorithm that PNC can allocate the channel times to
the DEV in super frame in order that system frame throughput is increased and the delay is decreased. In detail,
the DABL algorithm allows to dynamically allocate channel time as well as to adaptively apply the modulation
and coding scheme based on the link quality of the DEV. In addition, due to the facts that QoS is quite
different depending on service types, we provide the DABL algorithm taking into account RT(Real Time) traffic
and Non-RT traffic respectively. Finally, we show simulation results of the DABL algorithm compared to the
conventional algorithm that the PNC equally allocates channel times to the DEV regardless of the link quality of
the DEV."
8,HR담당자의 팔로워십 인식에 관한 질적연구,이혜원,2009,숭실대학교 한국평생교육ㆍHRD연구소,"본 연구는 조직의 HR담당자들이 팔로워십(followership)에 대한 개념을 어떻게 인식하고 있으며, 이를 형성하게 된 과정과 팔로워십 개발을 위한 HR담당자의 역할을 모색하는데 그 목적을 두었다. 리더십과 상응하는 개념으로서 팔로워십에 대한 중요성이 점차 확산되고 있는 가운데, HR담당자들이 실제 현장에서 경험을 통하여 형성된 팔로십에 대한 인식과 실천경험을 총체적으로 이해하기 위하여 질적 연구로 접근하였다. 연구 참여자들은 조직에서 HR관련 업무를 담당하고 있는 28명이 선정되었으며, 면대면 심층 인터뷰를 통하여 자료를 수집하였다. 수집된 자료는 HR담당자들의 경험 내용을 중심으로 분석의 기본 단위로 개념화하였고, 이를 핵심범주와 하위범주로 명명화 하는 분석의 과정을 통하여 연구 결과를 도출하였다. HR담당자들은 팔로워십의 개념을 조직내 구성원들(followers)이 갖춰야할 바람직한 역량과 역할로 인식하고 있었으며, 팔로워십을 리더십의 한 종류로 이해하려는 관점과 상반되는 특성을 가진 개념으로 이해하려는 관점을 나타내고 있었다. 팔로워십 형성 또한 구성원의 개인적 특성, 업무 스타일에 따라 다른 과정을 체험하고 있었으며, 조직내 의사결정 방법과 같은 조직문화의 특성이 형성과정에 영향을 미친다고 보았다. 마지막으로 팔로워십 개발을 위하여 HR담당자는 구성원의 역량을 향상시키고, 협동학습을 촉진 및 지원하며, 관련 프로그램을 개발하고, 더불어 조직을 개발할 수 있는 역할을 수행해야 한다고 인식하고 있었다.The purpose of this study was to explore HR staffs' perception of followership and to understand how their experiences have led them to form its perception. Based on their experiences, the study has examined the expected roles of HR staffs to develop followership in organizations. In-depth interviews with 28 HR staffs were conducted to collect data for this study. 
The result of the study shows that the HR staffs defined followership as having the desired competency and performing the expected roles as a follower in the organization. Most of the participants perceived that followership is associated with leadership. As the HR staffs constructed their concept of followership based on their experiences, they contend that attributes of individuals as well as organization's culture affect followership. The expected roles of HR staffs for developing organization's followership are: enhancing followers' competencies; facilitating collaborative learning in organizations; developing followership programs and; performing as organization developers.The purpose of this study was to explore HR staffs' perception of followership and to understand how their experiences have led them to form its perception. Based on their experiences, the study has examined the expected roles of HR staffs to develop followership in organizations. In-depth interviews with 28 HR staffs were conducted to collect data for this study. 
The result of the study shows that the HR staffs defined followership as having the desired competency and performing the expected roles as a follower in the organization. Most of the participants perceived that followership is associated with leadership. As the HR staffs constructed their concept of followership based on their experiences, they contend that attributes of individuals as well as organization's culture affect followership. The expected roles of HR staffs for developing organization's followership are: enhancing followers' competencies; facilitating collaborative learning in organizations; developing followership programs and; performing as organization developers.Followership, Follower, Leadership, Role of HRD"
9,HR 플레이트를 적용한 용접H형강 보의 구조성능평가,하태휴 /Taehyu Ha,2013,대한건축학회,"HR plates (Hot-Rolled Plate) are produced by straightening hot-rolled steel coil with a primary objective to substitute for thick plates, thereby avoiding a number of difficulties encountered in the production and shipment of thick plates as well as relieving supply problems. In order to evaluate the applicability of HR plates to architectural structures under the KBC 2009 steel design provisions, a total of four full-scale welded built-up H-beams with simple supports were tested together with associated key material testing. The full-scale beam specimens were designed into two categories, or flexural-dominated versus shear-dominated such that both bending and shear strength could be effectively evaluated. The materials test showed that HR plates satisfy both the tensile mechanical properties and the CVN toughness required according to the current material specification. Both the flexural- and shear-dominated specimens exhibited sufficient strengths exceeding the nominal strengths specified in the KBC 2009, thus confirming the applicability of HR plates.HR Plate, Welded Built-up H Beam, Flexural Strength, Shear Strength"
