,제목,저자,출판일,기관,초록
0,물류정보시스템과 물류내부자원이 물류성과 및 경영성과에 미치는 영향 －물류정보시스템의 조절효과를 중심으로－,김석수 /Kim， Seog-Soo,2013,한국물류학회,"본 연구는 자원준거관점을 바탕으로 물류내부자원과 물류정보시스템의 상호작용이 물류성과와 경영성과에 미치는 영향을 분석하였다. 선행연구에 대한 검토과정을 통해 자원준거관점의 물류내부자원을 기반으로 변수를 도출하였으며, 물류성과는 비용절감과 대고객서비스를 또한 경영성과는 전략적, 재무적 성과를 중심으로 설정하였다. 실증분석 결과, 부분적으로 기각된 세부가설은 존재하지만 물류정보시스템의 수준은 물류성과 및 경영성과에 영향을 미칠 뿐만 아니라 타 내부자원과의 상호작용에 의하여 성과에 영향을 주는 것으로 나타났다.The aim of this paper is, logistics information system and logistics internal resources ensure the company’s logistics performance and business performance gives the positive effects. Under such circumstance, studies on importance of logistics strategy have recently been active. This study describes logistics information system and logistics internal resources related variables was selected out of previous researches and examples. Also assumed that, there are interrelationships between resource-based factors and logistics information system’s interaction effects to logistics inventory/ material management and correlation variable of customer service in logistics performance part. Thus, this paper demonstrates the applicability of interaction effect of logistics information system and logistics internal resources to logistics performance and business performance.Logistics Information System, Interaction Effect, Logistics performance, Management Performance"
1,"물류전략이 파트너십, 물류공동화, 물류성과에 미치는 영향: 제주지역 중소기업을 중심으로",한승철,2011,한국물류학회,"본 연구는 기업경쟁력 강화를 위한 효율적 물류전략 수립 및 물류성과 향상에 유용한 정보를 제공하기 위해, 물류전략 구성요인이 물류파트너십, 물류공동화, 물류성과에 어떠한 영향을 미치며, 이들 중 중점을 두어야 할 요인이 무엇인지를 규명하고자 하였다. 이를 위해 이론적 토대로부터 연구모형과 가설을 도출하여 제주지역 중소기업을 대상으로 설문조사에 의한 실증분석을 실시하였다. 실증분석결과는 다음과 같이 요약된다.
첫째, 물류전략은 조직구조, 정보기술, 프로세스, 고객지향적 사고로 구성되며, 물류성과는 비재무적 성과와 재무적 성과로 분류되었다. 둘째, 물류전략은 물류파트너십과 물류공동화에 정(+)의 영향을 주었다. 셋째, 물류파트너십과 물류공동화는 물류성과에 정(+)의 영향을 주었다. 넷째, 물류전략은 비재무적 물류성과와 재무적 물류성과에 각각 정(+)의 영향을 주었다. 이와 같은 결과는 제주지역 중소기업의 경우에도 물류성과를 향상하기 위해서는 고객지향적 마인드 제고에 의한 효율적인 물류전략 수립이 요구된다는 것을 시사한다.This study was conducted to examine close relationship between variables related in establishing efficient logistics strategies, because the Small and Medium firms must reduces logistics cost and increase a competitive capability. After investigating previous studies, this research was to identify the structural relationship among logistics strategies that affects to the logistics performance. Furthermore this research developed a model on the basis of logistics strategy, and verified hypotheses by empirical study. The results of this study are summarized as follows. First, the factor that had the positive effect on the logistics performance was revealed to be logistics strategy. Second, logistics strategies which influenced partnership constructions and logistics cooperation participation, proved to be significant in establishing logistic strategies. Third, logistics performance positively was affected by logistics partnership and cooperation. Furthermore, this study demonstrates that firms must consider these factors in establishing efficient logistics strategy.Logistics Strategy, Partnership, Logistics Cooperation, Logistics Performance"
2,물류기업 간 해외 파트너십이 물류성과에 미치는 영향에 관한 실증연구 -국제물류주선업체를 중심으로-,박동기 /Park Dong-Gi,2012,한국물류학회,"본 연구는 국제물류주선업체와 해외 파트너 사이의 파트너십 관계가 자사의 물류성과에 어떠한 영향을 미치는지 파악하고자 한다. 해운산업에서 중요한 역할을담당하고 있는 국제물류주선업체는 점차 대형화 전문화되어 가고 있으며 이는 한국 해운산업의 발전에도 큰 영향을 미치게 될 것 이다. 따라서 이러한 국제물류주선업체와 해외 파트너 간의 관계를 보다 실증적으로 분석하여 변화하는 해운항만시장에 보다 효과적인 발전 방향을 제시하고자 한다. 분석결과 국제물류주선업체 와 해외 파트너 간의 경험, 문화적 거리, 국가적 배경은 국제물류주선업체의 물류성과 중 전략과 운영에 유의한 영향을 미치는 것으로 나타났으며 정보화 수준의경우는 그렇지 않은 것으로 나타났다. 향후 연구에서는 보다 구체적인 선행연구를 바탕으로 다양한 변수 설정이 필요하며 대륙별로 나누어 파트너십과 물류성과사이의 영향변수에 대한 연구가 이루어진다면 의미 있는 결과를 발견 할 수 있을것으로 판단된다.This study explores and evaluates partnership relationship between international freight forwarder and foreign partners that stimulate improved logistical performance while lowering system wise cost in the total supply chain. Although freight forwarders are one of the most important intermediaries in international logistics,their role has generally been ignored in academic journals. Their selections on shipping companies and foregign partners can impact for the supply chain productivity and global optimization. The results of this study indicate that the strategy and operation of the freight forwarders are related to the experience,cultural distance and country background of the foreign partners. In contrast, the information level is not driven by those vaiables at all. Future study should include more extensive modeling of partnerships and logistical performance across all continents and regions. A more meaningful comparison of influential variables must be also included in the future works as well.International Freight Forwarders, Foreign Subsidiary Partners, Partnership, Logistical Performance"
3,환경물류활동과 물류조직특성이 물류성과에 미치는 효과,박석하 /Byeong Seob Lee,2006,한국물류학회,">환경문제가 세계 각국의 중요한 이슈가 되고 있으며, 이를 해결하기 위해서는 환경오염행위의 주 원인자인 기업을 비롯한 산업계의 역할이 중요하며, 물류분야에서도 대책이 요구되고 있다. 본 연구의 목적은 기업의 물류조직특성과 환경물류활동인 환경수송, 환경포장, 환경 보관하역, 정보, 관리 기능 간의 관계와 조직특성과 환경물류활동이 물류성과에 미치는 효과와 그 영향요인을 분석하여 방향을 제시하고자 하는 데 있다.이 목적을 달성하기 위하여 제조기업을 대상으로 문헌연구와 실증연구를 병행하였다. 본 연구는 환경 물류활동과 조직특성이 물류성과에 미치는 영향을 분석하였다는 데 의의가 있다고 하겠다.>Environmental logistics, Logistics organization, Logistics Performance"
4,리버스 물류에서 환경문제대응형태가 리버스물류정보시스템과 리버스 물류 성과에 미치는 영향,박석하 /Byeong Seob Lee,2007,한국물류학회,">지속가능발전을 위하여 자원순환형 경제사회시스템이 환경 친화적으로 구축이 요구되고 있다. 이를 위하여 기업에서는 투입자원을 최소화하고 가능한한 자원을 재사용, 재활용하기 위한 리버스 물류의 중요성이 증가하고 있다.본 연구의 목적은 리버스 물류에 있어서 기업의 환경문제 대응형태가 물류정보시스템 활용과 리버스물류 성과에 미치는 효과, 물류정보시스템 활용수준과 리버스물류성과의 상호관계와 그 영향요인을 분석하여 방향을 제시하고자 하는 데 있다.이 목적을 달성하기 위하여 문헌연구와 실증연구를 병행하였다. 본 연구는 기존의 물류연구들과 달리 리버스 물류에서 환경문제 대응형태에 따른 영향을 분석하였다는 데 의의가 있다고 하겠다.>Reverse logistics, Reverse logistics performance, Logistics information system, Environmental conscious logistics"
5,환경불확실성이 물류성과에 미치는 영향: 물류관리시스템 정교성과 물류전략의 조절효과를 중심으로,이창수 /ChangsooLee,2012,한국물류학회,"전략적 적합성 이론에 의하면 기업은 경쟁우위를 달성하기 위해 외부환경과 내부자원의 적합성이 이루어지도록 전략을 수립하여야 하고, 그 전략을 효과적으로실행하기 위해서는 정보기술과 조직구조가 전략에 적합하도록 조정되어야 한다.
이러한 관점에서 본 연구는 기업의 물류관리시스템 성과를 극대화하기 위해 환경불확실성이 물류성과에 직접적인 영향을 미치는 과정에서 물류관리시스템 정교성과 물류전략 변수에 의해 물류성과는 차별적인 영향을 받고 있는가를 주된 연구의 목적으로 하고 있다.
실증분석결과, 환경불확실성에 따라 물류성과가 차이가 있는가를 연구한 결과에 의하면 불확실성이 클수록 물류성과가 높다는 연구결과를 보이고 있다. 둘째,환경불확실성에 따른 물류성과 차이에서 물류관리시스템 정교성 수준의 역할에관한 연구결과를 보면, 기업의 물류관리시스템 정교성 수준이 높을수록 물류성과는 더욱 높다는 연구결과를 나타내고 있다. 즉 환경불확실성 하에서 물류성과 향상을 달성하기 위해서는 물류관리시스템 정교성 수준을 높게 유지하는 기업의 물류성과가 높다는 연구결과이다. 셋째, 환경불확실성에 따른 물류성과 차이에서물류전략 변수의 역할에 관한 연구결과를 보면, 물류전략의 유효성이 높을수록물류성과는 더욱 높다는 연구결과를 보이고 있다. 즉 환경불확실성 하에서 물류성과 향상을 이루기 위해서는 그 선결과제로 기업이 추구하는 물류전략의 유효성을 높게 유지할 필요성이 있다는 연구결과이다. 이러한 연구결과는 전략의 수립 ․ 실행만을 관심의 대상으로 하고 있는 물류경영실무에 대해서도 환경불확실성변수에 대한 명시적인 고려가 필요함을 시사해 주며, 아울러 전략실행의 문제를배제하고 있는 물류경영실무에 대해서도 성과 함의를 분석하기 위해서는 환경에적합한 물류전략의 선택에 관한 문제를 고려할 필요가 있음을 제시하였다는데 본연구의 의의가 있다.This paper investigates the moderating effects of logistics management system sophistication and strategy on the relationship of environmental uncertainty and logistics performance, and suggests logistics strategies that would help to achieve the logistics goals. This study uses Korean listed firms as a research sample. Once the firm agreed to participate, the researcher visited the logistics divisional managers within the firm to administer the questionnaires. The questionnaires were primarily designed to collect information about the independent and dependent variables.
However, an opportunity to interview many of the leading authorities in logistics management systems also provided an excellent opportunity to gather additional insight into logistics management systems. A total of 500 questionnaires were sent out in January, 2009. 236 valid responses were collected. The findings suggest the following. Firms with high harmony between technological and volume uncertainty were significantly better in the logistics performance than firms with low harmony.
Second, if the logistics management system sophistication and the harmonization between technological and volume uncertainty supported, then the logistical performance can be maximized. Third, if the logistics strategies and the harmonization between technological and volume uncertainty supported, then the logistical performance can be maximized. The results of this study will help firms to become aligned and to focus on improving the competitive strategies of logistics systems.Environmental Uncertainty, Logistics Management System, Sophistication, Logistics Strategy, Logistics Performance"
6,친환경 녹색물류관리 수준이 녹색물류활동과 물류성과에 미치는 영향,박석하 /Park Seog-Ha,2020,한국물류학회,"환경 문제는 크게 대기, 폐기물, 수질로 분류할 수 있으며, 물류활동에서 발생하는 대표적인 환경부하는 차량의 온실가스 배출 로 인한 기후변화와 미세먼지배출, 폐기물 발생, 물류단지의 오수, 소음 등을 들 수 있다. 이들은 실생활에 직접 연관되어 있어서 최근 중요한 이슈가 되고 있으며 물류분야의 중요한 경쟁력으로 대두되고 있다. 물류활동과 환경부하의 관련성을 파악하기 위하 여 친환경 녹색물류 관리 실태를 전사 시스템의 구축, 환경에 대한 공동체적 노력, 인증제도의 활용, 점검 활동의 항목으로 측정하 고 녹색 물류 활동 수준을 수⋅배송, 포장, 보관 및 하역, 기반관리, 네트워크 설계 항목으로 측정하여 물류성과 항목으로 구성하 여 실태를 조사하였다. 본 연구의 목적은 기업의 친환경 녹색 물류 관리 수준, 녹색 물류 활동 및 물류 성과의 상호관계와 그 영향 요인을 분석하여 방향을 제시하고자 하는 데 있다. 이 목적을 달성하기 위하여 문헌연구와 실증연구를 병행하였다. 본 연구는 기 존의 물류연구들과 달리 녹색물류활동에 미세먼지를 추가하였으며, 친환경물류관리수준이 녹색물류활동과 물류성과에 따른 영향 을 분석하였다는데 의의가 있다.Environmental problems can be classified largely into air, waste and water, and they include climate change, and fine dust control, waste generation, sewage, noise and so on from the emission of greenhouse gases from vehicles under typical environmental conditions arising from logistics activities. They are directly related to real-life and have become an important issue in recent years, and have emerged as an important competitive force in the logistics sector. To understand the relationship between logistics activities and environmental loads, the status of eco-friendly green logistics management was investigated by measuring green logistics activity levels as items of transport/delivery, packaging, storage and unloading, infrastructure management, and network design by measuring the status of the environment-wide system establishment, community efforts, utilization of the certification system, and inspection activities. The purpose of this study is to provide direction by analyzing the interrelationships and their impact factors of the company’s eco-friendly green logistics management level, green logistics activities and logistics performance. To achieve this objective, literature research and empirical research were combined. This study has significance in that it adds fine dust to green logistics activities, unlike the existing logistics studies, and analyzes the effect of eco-friendly logistics management level on green logistics activities and logistics performance.Green Logistics Activity, Green Management Level, Logistics Performance, Green Transportation, Green Storage, Green Packaging, Loading Rate Control"
7,환경친화적 조달물류인식과 물류정보시스템 활용 수준이 환경친화적 조달물류성과에 미치는 영향- 제조기업을 중심으로 -,강성만,2007,한국물류학회,">지속가능발전을 위하여 자원순환형시스템 구축이 환경친화적으로 구축이 요구되고 있다. 이를 위하여 기업에서는 투입자원을 최소화하고 가능한 한 자원을 재사용, 재활용하여 폐자원의 배출을 최소화하여야 한다.본 연구의 목적은 조달분야에서 물류인식수준과 조달물류정보시스템 활용의 관계 및 기업규모와 환경경영시스템 인증여부에 따라 환경친화적 조달물류성과에 미치는 효과와 그 영향요인을 분석하여 그 방향을 제시하고자 하는 데 있다. 이 목적을 달성하기 위하여 제조기업을 대상으로 문헌연구와 실증연구를 병행하였다.본 연구는 기존의 물류연구들과 달리 조달분야에서의 환경친화적 물류인식과 조달물류정보시스템활용수준이 환경친화적 조달물류성과에 미치는 영향을 분석함으로서 환경친화적 조달물류에 대한 인식과 정보시스템활용의 방향을 제시하는데 의의가 있다.>Environment-Conscious Procurement Performance, Procurement Information System"
8,"물류서비스품질이 물류가치, 고객만족, 장기지향성에 미치는 영향 : 경인지역 편의점을 대상으로",김정희 /Kim Jung Hee,2008,한국물류학회,"본 연구는 편의점의 체계적인 물류서비스품질관리 능력을 향상하기 위해, 고객의 관점에서 물류서비스품질 구성요인을 규명하고, 이를 통해 물류가치 창출과 거래당사자간 장기적 교환관계 형성 방안을 모색하기 위해 시도되었다. 이를 위해 경로모형을 개발하고, 경인지역 편의점을 대상으로 실증분석하였다. 실증분석결과와 이에 따른 전략적 시사점은 다음과 같다. 첫째, 물류서비스품질은 대인접촉품질, 정보품질, 주문절차, 주문정확성, 적시성, 주문불일치처리, 거래후지원서비스로 구성되는 다차원의 특성을 지닌다. 둘째, 물류서비스품질 각 차원은 물류가치에 정(+)의 영향을 주며, 이중 적시성차원의 영향이 가장 크다. 셋째, 물류서비스품질 각 차원은 고객만족과 장기지향성에 정(+)의 영향을 주며, 특히 판매후지원서비스의 영향이 가장 크다. 넷째, 물류가치는 고객 만족에 정(+)의 영향을 주며, 이는 다시 장기지향성에 정(+)의 영향을 준다. 이와 같은 연구결과는 고객의 물류서비스 욕구를 이해하여 이를 물류서비스품질관리 체계에 반영함으로써 물류가치 창출을 극대화하고, 장기적인 호혜적 교환관계를 형성함을 시사한다.The objective of the study is to examine the extent to which logistics service quality management practices and tools are employed and adopted. To address the aim of the study, a survey instrument was developed and data were collected from a field research on the sample of convenience stores. 
The methodology of the structural equation model was used for the study and the pivotal findings are as follows; 1) The logistics service quality components comprise personnel contact quality, information quality, ordering procedures, ordering accuracy, on-time delivery, order discrepancy handling, and supported services after transaction; 2) The logistics service quality influenced on the perceived logistics value, customer satisfaction, and long-term orientation; 3) The results also show that the most important component that identifies quality in logistics is on-time delivery. 
This study demonstrates that to increase customers' perceptions of logistics service quality and satisfaction, managers must establish logistics service quality management system.The objective of the study is to examine the extent to which logistics service quality management practices and tools are employed and adopted. To address the aim of the study, a survey instrument was developed and data were collected from a field research on the sample of convenience stores. 
The methodology of the structural equation model was used for the study and the pivotal findings are as follows; 1) The logistics service quality components comprise personnel contact quality, information quality, ordering procedures, ordering accuracy, on-time delivery, order discrepancy handling, and supported services after transaction; 2) The logistics service quality influenced on the perceived logistics value, customer satisfaction, and long-term orientation; 3) The results also show that the most important component that identifies quality in logistics is on-time delivery. 
This study demonstrates that to increase customers' perceptions of logistics service quality and satisfaction, managers must establish logistics service quality management system.logistics service quality, logistics value, customer satisfaction, long-term orientation"
9,물류공동화 활성화를 위한 중요요인과 장애요인에 관한 연구 - 인천남동공단 물류공동화를 중심으로 -,"김광석 /Kim, Kwang-Seog",2009,한국물류학회,"본 논문에서는 인천남동공단 물류공동화 시범사업에 참여하는 기업과 비참여 기업을 대상으로 설문조사를 통해 물류공동화의 중요도와 만족도를 조사하였다. 물류공동화의 효과와 장애요인, 물류공동화 참여를 결정하게 하는 주요요인에 대해 연구하였다. 설문조사 결과를 근거로 물류공동화 참여변수의 관계를 회귀분석, 교차분석과 t검정을 통해 물류공동화 참여효과를 분석 하였다. 그리고 IPA분석을 통해 물류공동화의 상대적인 유지관리요소, 과잉투자요소, 개선대상요소, 중점개선요소를 제시하였다. 
특히 물류공동화 중요도 및 만족도를 분석한 결과 물류공동화는 인적, 물적 자원과 시간, 비용절감 및 고객서비스향상, 환경개선, 교통체증 해소, 공동 수배송을 통해 적재효율이 높아져 운송비 절감을 도모하고 있는 것으로 분석되었다. 물류공동화 시행으로 물류자원의 효율적 활용을 통한 물류비절감, 안정적인 서비스제공 등 기업경쟁력 강화측면에서 긍정적인 영향을 미치는 것으로 분석되었다,This study examined the importance of and satisfaction with integrated logistics center by surveying companies that are participating or not participating in the Incheon Namdong Industrial Complex’s integrated logistics center project. It particularly studied the effects and obstacles of integrated logistics and the major factors that encourage companies’ participation. Based on the results of the survey, the variables affecting companies’participation in integrated logistics were analyzed by regression analysis, crosstabulation analysis, and t-test. Then, IPA analysis was applied to derive integrated logistics center’s relative maintenance factors, excess investment factors, improvement factors, and focused improvement factors. 
In result of the analysis, it was found that integrated logistics saves freight cost by improving loading efficiency to save human and material resources, time, and cost, improve customer services and work environment, and solve traffic congestion problems. It was found that integrated logistics system has positive effects on companies by securing efficient use of logistics resources to save time and provide reliable services.This study examined the importance of and satisfaction with integrated logistics center by surveying companies that are participating or not participating in the Incheon Namdong Industrial Complex’s integrated logistics center project. It particularly studied the effects and obstacles of integrated logistics and the major factors that encourage companies’ participation. Based on the results of the survey, the variables affecting companies’participation in integrated logistics were analyzed by regression analysis, crosstabulation analysis, and t-test. Then, IPA analysis was applied to derive integrated logistics center’s relative maintenance factors, excess investment factors, improvement factors, and focused improvement factors. 
In result of the analysis, it was found that integrated logistics saves freight cost by improving loading efficiency to save human and material resources, time, and cost, improve customer services and work environment, and solve traffic congestion problems. It was found that integrated logistics system has positive effects on companies by securing efficient use of logistics resources to save time and provide reliable services.Main factor, Importance, Satisfaction, Obstacles"
