,제목,저자,출판일,기관,초록
0,게임-확장공간에서의 ‘게임적 신인류’의 형성 : 체감형 게임을 중심으로,김재영 /Kim Jae Young,2010,한국게임학회,"본 논문은 게임적 행위, 게임적 체험, 게임적 인간이라는 일련의 과정에 주목한다. 현대에서의 게임의 강력한 효과는 게임적 인간이라는 새로운 인간형을 생산하고 있다. 특히 체감형 게임의 형태는 그것의 매체적 특질에 의해 가장 강력한 효과를 발생시킬 수 있다는 점에서 논의의 주요한 대상으로 삼는다. 본 논문에서는 우선 체감형 게임에서의 체험을 분석하고, 체감형 게임이 담지하고 있는 게임-공간의 확장성을 탐구한다. 그리고 체감형 게임이 생성하고 있는 새로운 게임적 인간을 ‘게임적 신인류’로 개념화한다. 이러한 논의는 체감형 게임이 가속화시킨 다양한 사회적 현상에 대해 새로운 해석을 반영하여 그것의 사회적 의미를 도출해 보기 위한 시도이다.This paper focuses on the sequences between game performance, game experience,game generation. Present-day the game has powerful effects to form new human species as game generation. Especially, the experience game is important because it could have one of the most powerful effect by characteristics of own interface. First of all, this paper analyzes a experience of the experience game and researches the game-extended space. Secondly, We create concept of 'new game generation' in order to explain new human species on the experience game. So we can reveal the social meaning of accelerated present state by the experience game through this new analysis."
1,게임 캐릭터 커스터마이징 디자인요소의 중요도 연구: 모바일 게임과 비디오 게임 중심으로,남기덕 /KiTeok Nam,2020,한국게임학회,"본 연구는 미래의 게임 캐릭터 커스터마이징 시스템에 플레이어의 성격이 보다 깊이 반영될 수 있도록 게임 캐릭터 디자인요소를 정리하고, 모바일 게임과 비디오 게임에서 디자인요소의 중요도를 AHP를 통해 도출하여, 캐릭터 커스터마이징에서 플레이어가 중요하게 판단하는 디자인요소의 차이가 있음을 확인하고, 중요도의 차이를 통해 캐릭터 커스터마이징 개선 방향을 제시했다. 모바일 게임에서는 디자인요소의 외양이 압도적으로 중요하다고 평가된 만큼 외양에 집중하는 것이 좋으며, 비디오 게임에서는 외양이외에도 행동의 중요도가 높게 나타난 만큼 플레이어가 캐릭터의 동작을 선택할 수 있도록 캐릭터 커스터마이징에서 제공할 필요가 있다.This study was conducted as follows. First, the game character design elements have been arranged so that the player's personality can be reflected in the character customizing. Second, the importance of design elements in mobile games and video games was derived through AHP. Third, through the difference in importance, the direction of character customizing improvement was suggested. External appearance in mobile games and the action in video games is evaluated as overwhelmingly important. Therefore, it is necessary to diversify the appearance in mobile games and the action in video games.Game Character, Character Customizing, Design Elements, Importance"
2,"게임 선용과 과몰입의 관계 탐색 : 중학생의 게임이용집단 구분과 자기통제력, 또래 지지, 게임이용량의 차이를 중심으로","김형지 /Kim, Hyoung-Jee",2021,한국게임학회,"""이 연구는 중학생의 게임 선용과 게임 과몰입을 동시에 고려해 게임이용집단을 구분하고, 집단별로 자기통제력과 또래 지지, 게임이용량의 차이를 분석하였다. 이를 위해 한국콘텐츠진흥원의 게임이용자 패널조사(5차년도)의 중학생 데이터(287명)를 2차 분석하였으며, 그 결과는 다음과 같다. 첫째, 군집 분석을 통해 중학생의 게임이용집단을 ‘고병존’, ‘선용’, ‘일반’으로 구분하였다. 둘째, 집단별로 자기통제력, 또래 지지, 게임이용량의 차이를 보였다. 구체적으로, ‘고병존’ 집단은 ‘선용’ 집단과 ‘일반’ 집단보다 낮은 자기통제력을 보였고, 게임이용량도 가장 많았다. 또한, ‘일반’ 집단은 또래 지지 정도가 가장 높았다.This study distinguished game use groups by considering adaptive game use and maladaptive game use of middle school students at the same time, and analyzed the difference in lack of self-control, peer-support, and game usage by group. To this end, the data of 287 middle school students was analyzed in the Game User Panel Survey(5th year) of the KOCCA. As a result of the cluster analysis, the game use groups were divided into the high level coexist group, the adaptive use group, and the normal group. The three groups showed the gap of lack of self-control, peer-support, and game usage.adaptive game use, maladaptive game use, middle school student, cluster, self-control, peer-support, game usage"
3,온라인 게임에서 게임머니 판매모델을 위한 게임 디자인,최승범,2011,(사)한국컴퓨터게임학회,"게임머니 판매 모델은 기존의 유료 아이템 판매 모델에 이어 온라인 게임의 대표적인 소액 결재 기반 과금 방식으로 자리 잡고 있다. 본 논문에서는 게임머니 판매 모델을 사용하고 있는 게임과 유료 아이템 판매 모델의 비교 분석을 통해 게임머니 판매 모델의 특징을 도출하고 게임머니 판매 모델에서 효과적으로 경제시스템을 관리하고 안정적인 수익을 창출하기 위해 고려해야 할 요소들을 제시한다. 이 연구는 게임머니 판매 모델이 유료 아이템 판매 모델과 함께 대표적인 유료 콘텐츠 판매 모델로 대표되는 현재의 온라인 과금 시스템의 체계를 확립하는데 기여할 것으로 판단된다.The game money sales model has been a key revenue model with paid game item sales model in online games based on macro-transaction. The paper first provides a survey of online games which adopt game money sales model as their main payment model. Then, we compare and characterize the two micro-transaction based models of game money sales model and paid game item sales model. Finally, we proposes key design issues for an online game of game money sales model as its main payment model in order to design effective eco-system and produce a stable profits in the game. The research will be contributed to building an eco-system for online game based on micro-transaction including game money sales model and paid game item sales model.Online Game, Micro-transaction, Paid Contents, Game Money"
4,메타 게임의 정체성 연구- 게임에 대한 게임을 중심으로 -,김소연 /kimsoyeon,2018,한국게임학회,"게임 산업이 성숙기를 거치면서, 게임의 정체성 자체를 게임의 고유한 양식을 통해서 고찰하는 이른바 ‘게임에 대한 게임’이 나타나고 있다. 이에 본 연구는 인디 게임과 아트 게임으로 분류되는 게임 장르를 중심으로 ‘메타 게임’의 정의와 특징, 게임사적 의의를 도출했다. 먼저 메타 게임은 게임의 고유한 매직 서클의 경계를 해체하기 위해 게임의 인공성을 강화한다. 또한 게임의 고유한 특성인 절차성을 게임 플레이를 통해서 형식적으로 제시한다. 세부적으로 메타 게임은 매체를 둘러싼 외부 콘텍스트를 게임의 요소로 활용하며, 게임 공간의 근원적 성격을 규명하기 위해서 ‘미로’ 메타포를 적극적으로 활용한다. 나아가 메타 게임은 게임 특유의 상호텍스트성을 강조하면서 게임 세계 내에서 환상성과 현실성이 공존할 수 있음을 보여준다. 결과적으로 메타 게임을 통해 게임은 하나의 독립적인 표현 예술이자 실험적인 콘텐츠가 될 수 있는 동시에, 정형성과 관습성을 넘어서서 대안적 매체로서 기능할 수 있음을 메타적으로 제시한다.With the development of the game industry, ‘games about games,’ which examine the identity of game itself through a form of the game, emerged with a variety of shapes. Thus, this paper aims to suggest a definition, characteristics, and meaning of ‘meta game.’ Firstly, meta games strengthen the artificiality of the games and suggest procedurality through a form of the game play. Meta games also utilize the external context as a part of the games, and use the metaphor of ‘labyrinth’ to identify a feature of the game space. Furthermore, they emphasize intertextuality and prove that the fantasy and the reality can merge within the game world. In conclusion, meta games prove themselves to be independent expressional arts and experimental content, and suggest the potential for an alternative medium beyond formality."
5,HTML5 게임 엔진을 이용한 모바일 게임 제작 기법 연구-Construct2 엔진을 활용한 게임 제작 사례 중심으로-,이대희,2015,한국게임학회,"Construct2는 영국 게임 엔진 제작 회사 Scirra에서 개발한 Html5을 기반으로 한 2D 게임엔진이다. 전 세계적으로 사용하는 Construct2 게임 엔진은 2D 게임 엔진에서 가장 뛰어난 기술력과 인지도가 높은 엔진으로 성장했다. 이러한 엔진을 바탕으로 제작 된 ‘콩빈&도미노’는 물리기술을 활용한 도미노 방식의 캐쥬얼 게임으로 애플 앱스토어 및 구글 플레이 스토어에 출시하여 상용화 된 모바일 게임이다. ‘콩빈&도미노’의 제작 과정의 사례와 함께 게임 엔진 품질 평가를 진행하여 더 좋은 콘텐츠 생산에 기여할 수 있는 게임 엔진 활용 연구를 진행하였으며, 향후 본 연구를 통해 다양한 게임 콘텐츠 제작에 더 용이할 수 있는 게임 개발 프로세스를 지원하여 게임 산업 발전에 기여하고자 한다.Construct2 Game Engine is development by in United Kingdom production company Scirra. Construct 2 game engine to be used globally, the most excellent technical strength and visibility in the 2D game engine has grown to high engine. The game engine created by the ‘Kongbin&Domino’. ‘Kongbin&Domino’ game, it began commercialization in the Google store and Apple's App Store. It advances the quality evaluation of the case of the production process and the game engine. Researched that can contribute to a better production. In the future, throughout the Research, it is to be contributed to the development of the game industry is conducting research to support the game development process which can be facilitated by the game content creation."
6,"확률형 아이템 게임 이용이 청소년의 게임 과몰입 변화에 미치는 영향 : 자존감, 우울감, 자기통제, 물질가치 그리고 게임인식을 중심으로",이승제 /Lee Sung Je,2018,한국게임학회,"최근 청소년의 확률형 아이템 게임 이용이 게임 과몰입을 심화하거나 심리사회적 문제를 야기할 수 있다는 사회적 우려가 증가하고 있다. 이에 본고는 1년에 걸친 설문조사 데이터를 바탕으로 두 가지 연구 문제를 제시했다. 첫 번째, 확률형 아이템 게임 이용이 1년 후 청소년의심리사회적 변인(자존감, 우울감, 자기통제력, 물질가치 등)과 게임 과몰입에 미치는 효과를 검증하고자 하였다. 두 번째, 확률형 아이템 게임 이용 유무에 따라 청소년의 게임 과몰입에 미치는 심리사회적 변인의 영향력이 차이를 보이는지 확인해보았다. 분석 결과, 확률형 아이템 게임이용 집단은 비이용 집단보다 자존감이 낮았으나 게임 과몰입과 물질가치는 더 높은 것으로 확인되었다. 또한 확룰형 아이템 이용 집단은 비이용 집단과 달리 자존감과 물질가치가 게임 과몰입에 유효한 영향을 미치는 것으로 나타났다. 이후 그 결과를 분석하였다.Recently, there has been an increasing social concern over the use of random reward game items. In this paper, we try to understand the effect of using random reward game on adolescents based on the survey data over a year. In addition, regression analysis was conducted to examine how socio-psychological variables affect the game addiction of adolescents according to use of random reward games. As a result of analysis, it was found that the random reward game use group had lower self esteem and higher material value than the normal game use group. Also, self esteem and material value have a significant effect on game addiction. And finally, the results and implications were discussed."
7,게임 이용자의 특성 분류를 통한 게임 캐릭터 선호도에 관한 조형 연구,노경희,2007,한국게임학회,"본 연구는 게임 이용자의 성향에 대한 분석을 통해 게임 이용자를 유형화하고, 게임 캐릭터의 선호도를 중심으로 조형요소를 도출하여 이용자의 유형과 캐릭터 선호도 관계를 분석함으로서, 게임 이용자의 성향에 따른 게임 캐릭터 개발을 제안하는 것에 목적이 있다. 이를 위해 게임 이용자의 몰입도와 관련된 이용자 분류 방법을 조사하였으며, 이를 기초로 설문조사를 하였다. 설문조사 결과를 바탕으로 이용자 유형을 재정의 하였고, 게임 캐릭터 디자인 요소를 추출하여 이용자의 성향에 따른 캐릭터 선호도 차이를 규명하였다.The study is to explore the ways to design game characters according to the tendency of game users by classifying game users and analyzing the relation between user classes and their preferences towards game characters. The study examines various user classifications based on users' engagement levels, and designs a user questionnaire from them. Based on the result of questionnaire analysis, the study redefines user classes and applies the formal elements of character design to draw on the relationships between user classes and their preferences.game user classification, game character design"
8,게임제작과정을 고려한 게임서사의 특징연구,송현주,2007,한국게임학회,"이 논문에서는 게임 서사에 대한 정의를 게임의 제작부터 완성까지로 보고 제작의 각 단계를 나눠 단계별로 서사구조가 어떻게 변하는지 분석하였다. 이제까지의 게임 서사에 대한 연구는 완성된 게임을 대상으로 하여 사용자의 반응을 분석하는 것이 대부분이었다. 하지만 이 경우 제작단계에서 제작자가 의도해 놓은 서사를 제외하게 되고, 게임이 실행되어 디지털 형태가 되기 전의 텍스트가 서사 구조를 갖는다는 것을 설명할 수 없다. 제작 과정에서 서사는 초기단계, 스토리텔링단계, 표현 변형단계로 나눠진다. 게임 서사의 초기단계와 스토리텔링 단계에서는 기존의 서사물과 유사한 형태를 유지한다. 하지만 형태 변경단계에서는 기능적 문서의 역할을 하며 이 단계부터 디지털 결과물들이 서사표현을 대신하게 된다.In many game narrations, completed games have been used to analyze the users’ response. But in this case, one tends to exclude the narrations that producers intended at the production stage, and games tend to have a narrative structure in a text form before they turn into the digital form of a completed game. For these reasons, we broadened the existing definition of game narration to include from production to completion. We then divided the production into many stages and analyzed how narrative structure changes at each stage. We divided narration into three stagesinitial stage, storytelling stage, and form change stage. Game narrations maintain the form similar to the one in existing narrations at the initial and storytelling stages, but turn into functional document at the form change stage. And at this stage, digital results take the place of narrative expressions.Game narrative, MMOG, Game, Production System"
9,게임내 광고의 효과성: 게임내 배너 및 빌보드 광고 사례 연구,이강혁 /KangHyuk Lee,2008,(사)한국컴퓨터게임학회,"최근 게임 내 광고(In-Game Advertising)는 그 어느 때보다 더 게임개발사/퍼블리셔 및 광고업계의 관심을 끌고 있으며, 많은 이들이 게임내 광고가 게임 및 광고산업을 전혀 새로운 차원으로 발전시킬 것으로 전망하고 있다. 본 논문은 배너 및 빌보드 광고가 게시된 온라인 레이싱 게임에 대한 실험을 통해 게임내 광고에 대한 경험적 연구결과를 담고 있다. 실증적 연구를 위해 현재 유럽지역에서 서비스 중인 3D 온라인 레이싱게임 호보런을 연구조사 대상으로 삼았다. 본 연구의 실험결과는 이전의 연구결과와는 상이한 점을 보이기도 하지만, 게임내 광고의 잠재적 가능성을 예증한다. 또한 게임관람자의 게임내 광고에 대한 인식률 실험을 통해 E-Sports와 관련한 게임내 광고의 가능성을 논의한다.In-Game Advertisement (IGA) has very much interested game developers/publishers and advertisers alike for the past few years now. Many seem to believe that it could lead both the game and advertising industry to a commercial dimension no one ever imagined. This paper reports an empirical study of IGA by examining an online racing game in which various
banners and billboards are placed. In so doing, we have chosen as a test case Hovorun, a 3D online racing game which is currently being serviced in Europe. Our experimental results, though not completely compliant to the results of previous work, demonstrate that IGA has a great potential for online gaming industry. Some insights from spectators’ recall of brands/products and its implications to E-Sports are also presented.In-Game Advertisement (IGA) has very much interested game developers/publishers and advertisers alike for the past few years now. Many seem to believe that it could lead both the game and advertising industry to a commercial dimension no one ever imagined. This paper reports an empirical study of IGA by examining an online racing game in which various
banners and billboards are placed. In so doing, we have chosen as a test case Hovorun, a 3D online racing game which is currently being serviced in Europe. Our experimental results, though not completely compliant to the results of previous work, demonstrate that IGA has a great potential for online gaming industry. Some insights from spectators’ recall of brands/products and its implications to E-Sports are also presented.In-game advertising, video game, online game, billboard, banner"
