,제목,저자,출판일,기관,초록
0,조선영화주식회사의 영화 제작 과정과 제작 영화의 특징 연구,김남석 /Kim Namseok,2012,부산울산경남언론학회,"이 연구는 ‘조선영화주식회사’가 제작한 영화를 중심으로 작품 제작 과정을 재구하고 그 의의를 논구한 논문이다. 조선영화주식회사는 식민지 시대에 존립한 촬영소이자 영화 제작사였다. 일시적으로 흥망을 거듭하던 여타의 제작사와는 달리 상당히 오랫동안 작품을 제작하고 보급하는 역할을 했다. 더구나 조선영화주식회사가 제작한 영화들은 한국 영화에서 중요한 위치를 점유하고 있다. 그럼에도 조선영화주식회사에 대한 연구는 아직 본격적으로 시행되지 않았다. 그래서 이 논문은 조선영화주식회사가 제작한 영화에 대해 살펴보고, 그 제작 과정과 미학적 특징을 규명하고자 하였다.This dissertation has been written with a purpose to examine and to understand the formal characteristics and change process of Korean movies in 1930∼40s. For this purpose, this dissertation has been written with a purpose to examine and to understand the works, the works, the directors, the author and production process of Chosun(Korean) movie film production company(조선영화주식회사). Chosun movie film production company is Korean film production company in 1930s and the first half of 1940s. As yet, the study of Chosun movie film production company isn’t progressed. So Chosun movie film production company remains obscurity. This paper intend to examine Chosun movie film production company’s the works, the directors, the author and production process.Chosun movie film production company, Mujeong, Choonhyang’s story, A new start, Narcissus"
1,조선의 영화제작사 ‘조선영화주식회사’ 연구,김남석 /Kim Namseok,2012,우리어문학회,"이 연구는 1930~40년대 한국 영화의 특성과 변모 과정을 고찰할 목적으로 집필되었다. 이를 위해 조선영화주식회사의 의미와 역사를 집중적으로 검토하고자 했다. 조선영화주식회사는 1930년대 후반부터 1940년대에 걸쳐 존재한 촬영소이자 영화제작사로, 제작 편수가 상당하고 제작 작품마다 한국 영화사에서 중대한 의미와 가치를 갖는 작품으로 평가될 수 있기 때문이다. 하지만 조선영화주식회사에 대한 연구는 아직 본격적으로 시행되지 않았다. 그래서 이 논문은 조선영화주식회사의 역사와 활동 그리고 기능을 살펴보고, 그 활동 내역과 사적 의미를 규명하고자 하였다. 조선영화주식회사에 대한 자료는 1930~40년대 신문과 잡지, 그리고 최근에 발표된 영화 관련 서적과 논문들로부터 취득했다. 이 연구는 한국 영화 역사의 복원의 토대가 될 전망이다.This dissertation has been written with a purpose to examine and to understand the formal characteristics and change process of Korean movies in 1930~40s. For this purpose, this dissertation has been written with a purpose to examine and to understand the works, the meaning and the history of Chosun(Korean) movie film production company(조선영화주식회사). Chosun movie film production company is Korean film production company in 1930s and the first half of 1940s. As yet, the study of Chosun movie film production company isn't progressed. So Chosun movie film production company remains obscurity. This paper intend to examine Chosun movie film production company's history, activity, feature and works. I study Chosun movie film production company and making works contained in the magazines and the newspapers in 1930~40s, and film books and conference papers published recently. This study will be a groundwork of the restoration of Korean movie history.조선영화주식회사(Chosun movie film production company), 발성영화(talkies), 최남주(Choe Namju), 박기채(Bak Gichae), 의정부촬영소(Uijeongbu studio)"
2,영화의 콘텐츠(Contents) 차용 현황과 독창성(Originality)의 위기,허은희 /Eunhee Huh,2013,한양대학교 현대영화연구소,"Films have scenarized the concepts or ideas from literature, dramas, cartoons,web-toons, and even other movies, ever since it came to the world. However,in recent years, the stories and contents adapted from other arts and medias have oversupplied to the movies, and this causes the crisis of‘originality’through storytelling in cinema.
‘Storytelling’ contains‘story’ itself as well as ‘the arts of telling a story.’Therefore,losing the originality of the story means depleting the creativity of storytelling.
Plot, character, theme, diction, music, and spectacle, these six basic elements of drama could be creatively developed, as long as the author can interpretate adapted contents with cinematic languages and grammar for storytelling such as well-scenarized text, dramatic characters, camera works, sounds, and editing.
However, the recently refashioned movies don’t seem to have these kinds of cinematic esthetics, and they expose the crisis of loosing originality in Korean cinema by the imprudent process of dramatization.
This overheated trend of ‘appropriation’ has mainly come form the rise of the total production cost, as film equipments have gotten more expensive and the star system has caused unreasonable casting expenses. The burden of cost-rising makes show-business people disvalue degree of artistry and creativity,but only focus on the commercial viability and popularity of film. In other words, enterprises prefer those contents which are already approved by the public good sellers, to reduce the risk of exploring the new items, and to maximize possibilities of investment and marketability. This undesirable current of film-making has become worse after the decay of ‘Korean merchandising 59영화의 콘텐츠(Contents) 차용 현황과 독창성(Originality)의 위기 | 허은희movies’ in 1990s, based on the preparatory analysis of audiences’s tastes and the social trends.
The originality of arts depends on time. The deformed system in contemporary film industry does not enable film-makers to take time and effort for creating artistic works with both cinematic quality and popularity. Therefore the efficient producing system, which puts high value on exploring the stories in pre-production,and also guarantees the freedom and responsibilities for film-makers, needs to be set up first, for providing movies to lead the trend of society, not just to reflect the taste of the audience.‘originality’, ‘Contents’, ‘creativity’, ‘appropriation’, ‘web-toon’, ‘storytelling’, ‘merchandisingmovie’, ‘koren cinema’"
3,On Three Topographies of National/Transnational Cinema 내셔널/트렌스내셔널 영화의 세 가지 지형에 대하여,김선아,2010,한양대학교 현대영화연구소,"영화학은 여타 예술과 마찬가지로 정치, 경제, 이데올로기와 같은 사회 구성체의 끊임없는 변화와 운동과 더불어 제 담론을 역동적으로 형성해 왔다.
영화는 자본주의의 대표적인 산물이지만 동시에 자본주의 경제 및 자본주의국가의 작동방식에 저항(혹은 지양)하는 이중적이며 모순적인 움직임을 제 역사를 통해 드러내고 있다. 본 논문은 영화의 역사에서 포착되는 이러한 저항과 ‘지양’의 움직임에 주목하면서 이를 크게 내셔널/트랜스내셔널 시네마의 지형에서 파악하려는 기획이다. 또한 이는 오늘날 세계 영화의 지형을 다른 관점, 즉 영화가 드러낸 특정한 ‘지양’의 역사적 순간을 포착하려는 시도와 맞물려 있다.
이 기획에서는 할리우드 영화의 거대한 헤게모니에 맞서기 위해 형성된 60년대 제 삼영화 선언과 현재의 내셔널/트랜스내셔널 시네마 담론이 절합되어있다. 본 논문에서는 제 삼영화 및 담론이 제시된 60년대를 세계 영화사에서일어난 역사적 단절의 순간이자 영화의 지양의 운동이 폭발적으로 일어난 순간으로 파악하고 그 시점에서 역사 서술을 시작한다. 본 논문은 이러한 지양의 충동이 할리우드/반할리우드 영화의 이분법에서 반할리우드 영화의 선형적인 역사쓰기로만 환원되지 않는 채 가족유사성을 띤 여러 이름들, 즉 제 삼영화, 탈식민 영화, 디아스포라 영화, 경계 영화, 트랜스 아시아 영화, 소수자 영화, 액센티드 영화 등으로 반복회귀하고 있다는 점을 강조한다. 본 논문은 이러한 가족유사성을 띤 영화들이 현재의 트랜스내셔널 혹은 지구적 자본주의 시대에도 지속적으로 다시 출현하고 있다는 점에 주목하면서 이를 내셔널/트랜스내셔널 시네마 담론으로 재구획하고 있다.
지구적 자본주의 시대에 지양의 영화들은 크게 세 가지 지형, 즉 내셔널 시네마, 트랜스 내셔널 시네마, 경계 영화로 구획되어 있다. 본 논문은 표준이자규범으로 작동하는 할리우드 영화/반할리우드 영화사를 해체하고, 할리우드 영화의 지역화－미국영화－, 서구 모더니즘의 형식주의에 대한 비판, 특수한 내셔널 시네마의 보편성이 가능한 세계 영화사의 다른 지도 판본을 제시한다."
4,미 북감리교의 이중언어 교육논쟁 연구: 프랭클린 올링거의 복주 영화서원을 중심으로,설충수 /CHOONGSOO SEOL,2016,한국교회사학회,"프랭클린 올링거(Franklin Ohlinger，중국명:武林吉）는 미북감리교(Methodist Episcopal Mission, 여기서 M.E.M의 중국식 표현으로 미이미회(美以美會)라 지칭했다.) 소속 선교사로서 한국선교의 초기 북감리교 선교정책에 영향을 미칠 뿐 만 아니라 문서선교로도 평가되는 인물이다. 그의짧은 한국선교(1887-1893), 5년8개월의 시기에 비추어 그의 사역을 평가하는 면도 있겠지만 그의 생애 대부분을 차지했던 중국선교(1870-1887, 1895-1911)에 대한 연구는 한국기독교사연구에 올링거를 통전적으로 이해하는 기초라고 볼 수 있다. 이에 필자는 그가 한국선교를 시작하기 전 18 년동안 중국 복주(福州,Fuzhou)에서 활동한 사역에 초점을 맞추어 그를 다시 평가하고자 한다. 북감리교의 복주선교를 통해 직접적인 선교뿐만 아니라 출판과 교육에 중점을 두고자 한 선교정책을 이해해 보며, 올링거와 뗄수 없는 영화서원의 성립 등을 통해 그의 교육선교에 초점을 맞추어 논의를 풀어가고자 한다. 특히, 영화서원을 중심으로 펼쳐지는 중∙영문 이중언어교육 논쟁을 통해 당시 선교와 교육의 문제에 대한 북감리교 선교사들의목소리를 경청해 볼 수 있다. 이에 대해 선교사들은 전문적인 영어교육이 중국신도의 자존감을 고양시킬 뿐만 아니라 현지기독교인과 함께 만들어가는 선교이양의 문제에 대해서도 적극적으로 대처하는 길이라고 여겼다.
반면 이와 다르게 영어교육이 선교의 세속화를 촉진할 뿐만 아니라 물질주의적인 취향이 농후한 중국신도가 신앙문제보다 영어를 통한 직업적 성공에 더 몰두할 수 있다고 여겨 영어교육을 선교의 장애물로 보고 염려했다. 이점은 분명 올링거의 영화서원 이중언어교육에서 발단이 된 것으로 올링거 이해의 중요한 기초가 되는 것이라고 볼 수 있다.Franklin Ohlinger (Chinese name, 武林吉), a missionary from Methodist Episcopal Mission(美以美會), is not only involved in the literature mission, but also in the policy decision of Korean mission by Methodist Episcopal Mission of the U.S.A. This statement is a short assessment of his Korea mission from 1887 to 1893 for five years and eight months. Instead, he had mainly participated in China Mission much longer than Korea mission, for 1870-1887 and 1895-1911. It is impossible to grasp his Korean missionary work without the explanation of his China mission. In order to understand him properly, this research concentrates on his early mission work for China, Fuzhou(福州), for eighteen years before he started his Korea mission. This study delves into his educational and publishing works according to the mission policy of Methodist Episcopal Mission. In particular, this study focuses on the establishment of Fuzhou Anglo-Chinese College(英華書院), which is directly related to his educational mission. This place is an epicenter for the educational policy of China mission whether the Chinese-English bi-lingual education is critical or not. Some missionaries argued that bi-lingual education is the way to elevate the self-respect of Chinese Christians as well as to hand over the church mission from foreign missionaries to domestic Christians. On the other hand, others worried this as a barrier of mission in that English education might not only promote the secularization of the missions, but it might also make Chinese people be materialistic to pursue professional success.
Obviously, this debate was caused by the right existence of Fuzhou Anglo-Chinese College(英華書院), established by Ohlinger. Through this study, a balanced perspective about Ohlinger will be provided as such how he influenced into the mission of North-East Asia.Ohlinger, Methodist Episcopal Mission, Fuzhou Anglo-Chinese College, Chinese-English Bi-lingual Education, the Relation of Education and Mission"
5,영화관 지원제도를 중심으로 본프랑스의 영화예술 및 영화교육 프로그램,노철환 /ROH CHUL HWAN,2016,한국영화학회,"2010년대 한국 영화시장은 멀티플렉스로 대변된다해도 과언이 아니다. 멀티플렉스는 스크린수, 관객점유율, 수익률까지 영화상영시장의 90% 이상을 차지한다.
이들은 모두 대기업들과 연관되고, 관련사들은 투자와 배급을 겸하고 있다. 영화시장 수익의 대부분이 영화관에서 난다는 것을 고려할 때, CJ나 롯데 같은 대기업은 실효적으로 한국영화산업을 장악하고 있는 것이나 다름없다.
한국의 멀티플렉스는 시내 중심가에, 쇼핑몰, 백화점 등 같은 건물에 자리하고있다. 관객들은 영화 관람과 더불어 영화관 주변에 위치한 문화를 누린다. 멀티플렉스는 영화산업만이 아니라, 문화생활의 중심이다.
영화는 대자본이 오가는 산업이면서 대중 예술이기도 하다. 영화가 가지고 있는 문화, 예술적 영향력은 단순한 돈벌이라는 가치를 넘어선다. 영화시장의 질서유지를 경제 주체들에게 온전히 맡기기 어려운 것도 같은 이유다. 그런 측면에서프랑스는 예술교육과 시장의 질서 균형을 연결시킨 좋은 사례를 보여주고 있다.
본 연구는 현대 프랑스영화관의 활용에 관한 연구다. 영화의 탄생지이자 영화예술의 수호자로 간주되는 프랑스에서 영화관이 영화예술을 어떻게 지원하고 교육에 활용하고 있는지 들여다본다. 연구는 지원제도에 대한 이해를 바탕으로 영화 산업, 문화적 다양성 및 예술교육 측면에서 영화관의 역할을 살펴본다. 경제적가치 추구라는 한계를 넘어선 프랑스영화관의 활용을 통해 한국영화관의 미래와확장 그리고 영화관 관련 정책을 가늠해보는 것이 본 연구의 목표다.In the 2010s, Korean film market is represented by the multiplex.
Major multiplex chains such as CGV, Lotte cinema, Megabox capture over 90% of the overall Korean movie theater market in terms of number of screens, audience share, earning rates etc. These multiplexes are closely connected with conglomerates. Their affiliated companies also serve the film investment distribution firms. Given that the profit, over the eighty percent of the Korean film market, comes from movie theaters, it is not an exaggeration to say that the large companies dominate the film market.
In brief, Korea cinema industry is widely affected by the management of some large companies, like CJ, Lotte.
Multiplex in South Korea is not the place just to see movies. Almost all multiplexes are located downtown in buildings such as shopping malls and department stores. The audience can enjoy their urban life around the theaters. Multiplex means not only a center of the Korean film industry but also offers cultural activities to the audience. Cinema has two sides, as a big money industry and public art. Given its cultural, artistic influence, it is unreasonable that the capital takes the spear the maintenance of the film market order. In that regard, France is a good example that the government’s movie theater support policies regulate the market and encourage film art education.
This is the study on an application method of the current French movie theater. France as the birthplace of cinema and a guardian of film art, this study looks into how movie theaters are used for protection of art film and the education of film art.
This study researches into three parts of French cinema : Film industry, Artistic diversity and Art education. It is based on the understanding of French support system of the cinema and some support projects to understand its policy direction.
Movie theater is the core of film market in South Korea. The aim of this study is to estimate the future of Korean movie theater and policy support through the use of French cinema that overcomes a framework to pursue economic value.Movie theater support system, French movie theater infrastructure, Film d’art et Essai, Art film theater, Film art education, Admission fee discount, CNC"
6,영화제작 인력의 예술가로서의 정체성이 전문성과 업무자율성에 미치는 영향: 2014-5년도 주요 활동 영역(독립영화 Vs. 상업영화)의 조절효과 분석을 중심으로,이희진 /LEE HEE JIN,2018,한국영화학회,"본 연구는 영화산업에서 활동하는 영화제작 인력(402명)을 대상으로, 이들의 예술가로서의 정체성’, ‘업무자율성’ 그리고 ‘전문성’의 인과관계를 구조모형분석(SEM)에 기초하여 실증적으로 규명한 연구이다. 자료분석을 통해 밝혀진 주요 내용을 요약정리하면 다음과 같다. 첫째, 예술가로서의 정체성과 전문성은 척도의 중간수준(3점)을 약간 상회하였고, 업무자율성은 긍정적인 평가기준(4점)에는 다소 못미치는 수준이었다. 업무자율성에서는 두 집단(상업영화집단, 독립영화집단) 간에유의한 차이가 없었다. 그러나 예술가의 정체성은 상업영화 영역보다 독립영화 영역에서 주로 활동하는 응답자들이 유의하게 높았지만, 전문성은 이와 대조적으로독립영화 영역 보다는 상업영화 영역의 응답자들이 더 유의하게 높았다. 둘째, 전체응답자들을 대상으로 연구모형을 분석에서, 예술가의 정체성은 업무자율성에 긍적적인 영향을 주었고, 업무자율성은 전문성에 긍정적이 영향을 주었다. 하지만 예술가의 정체성과 전문성은 부적상관관계를 이루었다. 셋째, 독립영화 집단의 경우, 예술가의 정체성은 전문성에 유의한 영향을 주지 않았다. ‘예술가 정체성➝업무 자율성’ 경로와 ‘업무자율성➝전문성’ 경로’ 이 두 직접 경로는 유의하였다. 업무자율성의 매개효과는 유의하였다. 넷째, 상업영화 집단에서도 ‘예술가 정체성➝전문성’ 경로는 유의하지 않았고, ‘예술가 정체성➝업무 자율성’ 경로와 ‘업무자율성➝ 전문성’ 경로 이 두 직접 경로는 유의하였지만, ‘예술가 정체성➝업무 자율성➝ 전문성’ 경로의 업무자율성의 매개효과는 유의하지 않았다. 다섯째, 예술가의 정체성이 두 집단 모두에서 직접적으로 전문성에 유의한 영향을 미치지는 않았지만, 독립집단의 경우는 업무자율성의 매개효과가 입증되어, 업무자율성을 완전매개로하여예술가의 정체성이 이들의 전문성에 긍정적인 영향을 줄 수 있음이 밝혀졌다. 마지막으로, 예술가의 정체성이 업무 자율성에 미치는 직접효과는 상업영화집단에서보다 독립영화집단에서 훨씬 더 영향력이 유의하게 크다는 것이 입증되었다. 두 집단간의 상이한 양상이 발견되어 조절효과가 실증적으로 입증되었다. 영화제작 인력의예술가로서의 예술가의 정체성이 전문성 및 업무자율성에 미치는 직간접효과를 규명함에 있어서, 주요 활동영역의 조절효과를 함께 반영한 분석의 타당성을 확인하였다. 주요 발견점을 토대로 실천적 함의를 논의하였다.This study is based on the SEM model of Korean film crews’ artistic identity, job autonomy and professionalism. Key details identified in the data analysis are summarized as follows. First, the level of artistic identity and professionalism are slightly above the middle level of a scale, and the job autonomy is slightly below the positive assessment standard. In job autonomy, there are no significant differences between the two groups (feature film crews, independent film crews).
However, although the artistic identity is significantly higher among independent film crews than that of feature film crews, the professionalism is higher among feature film crews. Second, the artistic identity has a positive effect on the job autonomy, and job autonomy also has a positive effect on the professionalism.
However, The artistic identity and professionalism show a negative correlation.
Third, among independent film workers, the artistic identity has no significant effect on their professionalism. Both direct effect are significant(artistic identity➝ job autonomy; job autonomy➝professionalism). The mediating effect of job autonomy is significant(artistic identity➝job autonomy➝professionalism).
Fourth, among feature film workers, the artistic identity has no significant effect on their professionalism. Both direct effect are significant(artistic identity➝job autonomy; job autonomy➝professionalism), however, the mediating effect of job autonomy is not significant(artistic identity➝job autonomy➝professionalism) unlike that among independent film people. Fifth, although the artistic identity does not directly affect the professionalism in both groups, it shows that the perfect mediation effect of the job autonomy positively influences their professionalism. Lastly, it is proved that the direct effect of the artistic identity on job autonomy is far more influential in independent film crews than in feature film crews. The different aspect is found between the two groups and the moderating effect is proved empirically. In identifying the direct and indirect effects of the artistic identity on professionalism and work autonomy, it is confirmed that the validity of the analysis that reflects the moderating effects of major activity areas. Based on the main findings, practical implications are discussed.Film Industry, Film Crews, Artistic Identity, Jon Autonomy, Professionalism, Rank, Feature Film, Independent Film"
7,영화의 경계와 영화사 서술의 방법:앙드레 바쟁의 완전 영화의 신화와 푸코의 역사론을 경유하여,한상희 /sanghee Han,2019,한국영화학회,"본 논문은 영화가 기술적⋅형식적으로 근본적이라 여겨지는 변화를 겪고 있는작금의 상황에, 영화의 경계를 재정의 할 수 있는 방법과 필요성에 대한 의문들을 영화사 서술 방식을 새로이 탐색하는 과정을 통해 해소하고자 한다. 이를 위해 필자는 앙드레 바쟁의 완전 영화 개념과 미셸 푸코의 고고학⋅계보학적 역사론을 참조하여 대안적인 역사 서술의 필요성과 중요성을 역설하고자 한다.
영화사의 근본적인 동력으로 완전 영화를 향한 인간의 욕망을 제시하는 바쟁의 글 「완전 영화의 신화」 는, 영화를 둘러싼 새로운 현상들이 끊임없이 일어나고 있는 오늘 날의 상황을 설명하는 데에 있어 여전히 새로운 관점을 제공하며, 영화의 경계가 형성되고 해체되는 과정을 어떻게 바라볼 것인가 라는 질문에 답을 줄 수 있는 역사 서술의 방법을 구할 수 있게 해줄 것이라고 사료된다. 또한본 논문은 바쟁의 완전 영화를 사유함으로써 도출 가능한 역사 서술 방법의 가치를 푸코의 고고학적⋅계보학적 역사인식과 겹쳐놓는 시도를 통해 밝히고자 한다.
전통적 역사학과 여러 방면에서 대조를 이루는 푸코의 역사에 대한 사유는 완전영화를 동력으로 하여 구성되는 영화의 역사에 정당성과 의미를 부여해 줄 수 있을 것이다.
결론적으로 이 글은 영화의 경계가 필요한 것인가, 영화의 역사가 영화라는 매체에 자율적인 범주를 허용해왔는가 라는, 영화를 둘러싼 요즈막의 현상들을 고려했을 때 꽤나 시급한 질문에 대한 짧은 답변이다.This paper, amid the situation where the film is undergoing a change which is considered technological and structural these days, has an object to resolve the question of how to re-define the boundaries of the film through the process of recording film history. For this purpose, the study emphasizes the necessity and importance of an alternative history statement by referring to Andre Bazin’s concept of ‘total cinema’ and Michel Foucault’s theory of archaeological and genealogical history.
Bazin’s article, ‘The Myth of Total Cinema’, which suggests the human desire for total cinema as a basic driving force in film history, still provides a new perspective in explaining the current situation where new phenomena surrounding film are constantly manifesting. Moreover, it will enable us to find a method of historical narrative – although it may not be the ultimate answer - that can answer the question of how to view the process of formation and dissolution of the boundary of film. This paper also attempts to clarify the value of historical descriptive methods which can be derived from reflecting Bazin’s total cinema and Foucault’s archaeological and genealogical history perception. Foucault’s perception, contrasted in various ways with traditional historical studies, is expected to give justification and implications to the history of the film composed of the influence of total cinema.
In conclusion, this study is a short answer to the urgent question whether the boundary of film is inevitable or its history has allowed autonomy for the cinema as a medium, considering the current situation.André Bazin, Total cinema, Film history, Michel Foucault, Archaeology, Genealogy, Realism"
8,"사유하는 영화, 에세이영화-에세이영화의 이론적 접근을 위한 시론-","이도훈 /Lee, Do Hoon",2018,한양대학교 현대영화연구소,"이 논문은 에세이영화에 관한 이론적 지형을 그리기 위한 시도이다. 문학의 에세이가 그러하듯이 에세이영화의 주요 특징은 장르적 실험, 주관성의 표출, 공적인 영역에의 개입으로 정리될 수 있다. 본문에서는 총 세 단계로 나누어서 에세이영화의 주요 특징들을 살펴본다. 우선, 문학적 에세이의 전통과 관련해 게오르그 루카치, 막스 벤제, 테오도르 아도르노의 글을 검토한다. 이들은 에세이가 실증적인 학문의 전통에 반기를 들면서 저자의 사유를 형상화하는 작업으로 정리했다. 다음으로, 1940년대 에세이영화의 등장에 주목한 일부 비평가, 영화감독들의 논의를 살펴본다. 이들은 에세이영화가 지성의 보고이자 매개물이 될 것으로 기대했다. 끝으로 1990년대 이후 에세이영화의 정의를 둘러싼 논쟁을 검토한다. 이 시기를 중심으로 에세이영화의 형식적 층위와 내용적 층위 각각을 둘러싼 몇 가지 쟁점들이 불거졌다. 이처럼 이 논문은 에세이영화의 전통, 출현, 발전과 관련된 논의들을 단계적으로 검토해나가면서 에세이영화에 대한 이해의 틀을 마련하고자 한다.This paper is an attempt to draw a theoretical ground for essay films. As with literary essays, the main features of essay films can be organized into genre experiments, presentation of subjectivity, and involvement in public domain. The body of this text divided into three steps to explore the main features of the essay films. First, consider Georg Lukacs, Max Bense, and T. W. Adorno’s writings on the tradition of literary essays. They explained the essays that configured author’s thought as they rebelled against the empirical academic tradition. Next, take a look at some of the critics and film directors who drew attention to the appearance of the 1940s essay films. They expected the essay film to be the source and medium of intelligence. Finally, consider the arguments surrounding the definition of an essay film after the 1990s. Around this time, the issues surrounding the formal and content layers of the essay film were raised. As a result, this paper aims to form a framework for understanding the essay movies as it examines the traditions, appearance, and development of essay films in stages.essay film, essay, nonfiction, thought, subjectivity"
9,한국영화시장의 대형영화 배급 상영 방식 연구: 2010년대 천만관객 한국영화의 흥행을 중심으로,노철환 /ROH CHUL HWAN,2019,부산대학교 영화연구소,"한국영화사상 첫 번째 천만관객 영화는 <실미도>(2003)였다. 그로부터 15년, 한국영화 수천편 중 18편만이 천만관객의 선택을 받았다. 그러나 천만관객 영화를 바라보는 시선은 크게 엇갈린다. 지지하는 측은 천만관객 영화를 관객 선택의 결실로 본다. 비판하는 쪽에서는 자본의 힘으로 천만관객 영화가 만들어진다고 주장한다. 감독, 배우, 등급부터 주제, 소재, 이야기구조, 장르, 제작규모, 상영시간 등은 천만관객 영화를 파악하는 열쇠가 될 수 있다. 
본 연구는 크게 3단계로 진행한다. 먼저 천만관객 영화들이 가지고 있는 개별 영화로서 필르믹(filmic)한 특성을 알아본다. 이어 천만관객 영화의 상영시기, 배급 규모, 흥행 추이를 살펴본 다음, 천만관객 영화와 뗄 수 없는 스크린 독과점이라는 현상과 이에 대한 정책적 보완물로서 스크린 상한제에 대해 알아본다. 영화를 배급 상영하는 환경까지 아우르는 시네마틱(cinematic)한 측면에 관한 연구다. 이는 대형영화의 흥행에 치중되어 있는 한국영화산업의 편향성 문제를 파악하고, 한국영화가 다양성에 기반 한 문화융성과 지속 성장을 이루기 위한 방법 모색의 일환이다.Ten million audiences(TMA) refer to the movie as a 'big hit' in Korean film market. The first TMA movie is Silmido(2003). Since then, only eighteen films of the thousands of Korean movies have been chosen by Korean audiences. However, the opinions of TMA movie are mixed with positive and negative. The supporting side sees TMA movies as a result of the audiences’ choice. On the other hand, the critics argue that TMA movies are made by the power of capital. 
This study analyzes TMA movies in various aspects: genre, screening time, theme, subject matter, narrative, opening date and distribution scale, etc. It largely proceeds to three stages. First of all, it examines the filmic characteristics of TMA movies. Next, we consider their cinematic side: the opening date, distribution scale, and the box-office. At last, we point out the issue of Screen monopoly phenomenon and introduce Screen scale ceiling system as an alternative. This is a part of the research to figure out Korean film industry’s the biased structure problem and to pursue Korean films’ prosperity and sustainable growth based on cultural diversity.Ten million audiences movie, Box-office, Film distribution & screening, Screen monopoly phenomenon, Screen scale ceiling system, aggregate deals, sliding scale deals"
