,제목,저자,출판일,기관,초록
0,무역보험과 무역기업의 회계기준에 관한 법적 연구 — 무역거래기업의 재무정보의 법적 규율을 중심으로 —,권효상,2012,한국무역보험학회,"무역기업 중 회사의 형태를 가지는 무역거래의 법률상의 주체는 거래에 필요한 자금을 조달하거나 지출하는 데에 여러 가지 제약을 받게 되는데, 특히, 유망한 기업에 투자를 하려는 사람은 물론 그로 인해 관계를 맺는 채권자나 주주 등의 이해관계자는 각각의 무역거래 기업의 재무구조에 대하여 많은 관심을 갖게 되므로 이해당사자들에게 투명하고 설득력 있는 재무정보를 제공하는 것이 반드시 필요하게 된다. 더욱이 FTA 등으로 향후 무역거래가 증가할 것이 예상되므로 이에 대한 법적 기준의 마련이 필요하다. 무역보험도 이러한 법적 기준에 대응하여 우리 수출기업의 투명한 회계처리기준과 재무정보의 활용을 통하여 보다 더 합리적이고 시의성 있는 무역위험의 부보가 가능하게 되도록 하여 그 역할수행이 더욱 합리적으로 이행할 필요가 있다.Most trading companies have difficulty in getting financing. In particular, investors and creditors, shareholders have a lot of interest in the financial structure.
Financial statements of trading companies are a useful source of financial information to interested parties of trade relations. In particular, with FTA, and WTO, trade deals are expected to increase and should be equipped with a legal basis in the future. Trade insurance must respond to these legal accounting standards. Most trading companies shall comply with the criteria of a transparent accounting process.
Therefore, the application of strong rules of the business accounting standard is essential in controlling the risk of trading companies.Trade Insurance, Trade Insurance Corporation, Corporate Governance, Risk Management, Trade Balance"
1,무역보험법에서 발생하는 법적 문제 - 철회권과 무역보험기금을 중심으로 -,"유주선 /Yoo, JuSeon",2011,한국무역보험학회,"본 논문은 무역보험법과 관련하여 보험계약자로서 수출업자의 철회권이 인정될 수 있는가의 문제와 무역보험기금의 건전성에 관한 내용을 다루고 있다. 2008년 이후 무역보험기금을 통한 수출지원이 급격하게 증가함으로써, 정부재정 일부를 출연금으로 활용하는 데에 따른 재정지출 부담의 한계가 발생하고 있어, 이에 대한 방안이 마련되어야 한다. 무역보험제도의 활성화 및 지원실적의 증가와는 달리, 수출지원을 위하여 필요로 하는 무역보험기금에 대한 불충분의 문제가 발생되고 있다, 특히 2008년 글로벌 금융위기는 국내 수출기업의 부실화, 해외 대형 수입자의 파산 등으로 인하여 보험금의 지급규모가 증가하게 되었다. 그 결과 보험기금의 규모는 크게 감소하는 결과가 나타났다. 무역보험은 수출을 장려하기 위한 목적을 위하여 무역보험기금의 건전성이 확보되어야 하고, 확보조건으로 안정적인 기금운영이 선행되어야 한다. 그러나 국내 수출업체에 대한 공적 지원을 제공하는 공공기금으로서의 역할을 충실히 수행하기 위해서는 기금 건전성 확보라는 매우 중요한 의미를 갖는다. 그러나 특별기금으로서 정부에서 마련한 무역보험기금을 한계가 있을 수밖에 없다. 무역보험기금의 지원범위가 현재보다 더 확대되어야 한다. 현재 가지고 있는 기금규모가 줄어들어 기금안정성이 문제가 되는바, 민간 차원의 재원, 즉 금융기관 출연금의 지원을 받을 수 있도록 하여 무역보험기금의 안정성을 회복하여야 한다.Bei dieser Abhandlung geht es um das Widerrufsrecht des Versicherungsnehmers(VN) und das Sondervermögen des Außenhandels in Korea Export Versicherung. Gem. § 638-3 Abs. 2 Koreanisches Handelsgesetzbuch(KHGB) hat der Versicherer(VR) eine Pflicht, dem VN die Allgemeine Versicherungsbedingungen(AVB) zu aushändigen und die wichtige Inhalt der AVB zu erklären. Hat der VR diese Pflichten verletzt, kann der VN diesen Versicherungsvertrag anfechten. Wird ein anfechtbares Rechtsgeschäft angefochten, so ist es als von Anfang an nichtig anzusehen. Anders als Widerrufsrecht des VN gem. § 8 VVG in Deutschland wird die Anfechtungsrecht in koreanischen Handelsrecht. Das ist ein großer Unterschide zwischen in Korea und in Deutschland. Es ist jedoch schwierig, das Widerrufsrecht im Außenhandelsversicherung einzunehmen.
Der koreanische Unternehmer export die verschiedenen Sachen, Auto, Maschiene und usw. Für die Entschädigung der Produktion schließ der Unternehmer mit dem Versicherer eien Versicherungsvertrag ab. Die Proportion des Exports in Korea nimmt weiter ab. Wenn der Versicherungsfall passiert, kann der Unternehmer vom VR(Korea Export Insurance Corporatio: KEIC) ersicherer die Versicherungssumme erhalten. Die Versicherungssumme besteht aus dem Sondervermögen. Das Sondervermögen von KEIC wird nicht nur vom Staat sondern auch vom privaten Finanzinstitut. Dafür schlage Ich vor, die Vorschrift von § 31 Korea Export Versicherung Gesetz rividiert zu werden.Export Versicherung, Widerrufsrecht des Versicherungsnehmers, Sondervermögen, Ersicherungsvertrag, Revision von Export Versicherungs Gesetz"
2,무역금융상 적정융자의 원칙 : 한국은행 무역금융규정과 수출신용보증 제도를 중심으로,박근서,2011,한국무역보험학회,"본 연구는 선적전 무역금융제도의 기본원칙이라 할 수 있는 적정융자의 원칙을 한국은행 무역금융규정과 한국무역보험공사 수출신용보증(선적전)제도상의 내용을 중심으로 살펴보고자 한다. 한국은행 무역금융상 명시적으로 규정된 적정융자의 원칙에 따라 은행은 무역금융 취급시 적정하고 공평하게 자금지원이 되도록 하여야 할 의무를 부담한다. 한편, 융자금의 구분, 융자한도, 수출실적 인정기준 등 여러 내용이 직, 간접적으로 적정융자를 구현하기 위한 제도적 장치로 기능하고 있다. 한편, 보완장치로 무역금융 대출에 대해 충분한 물적, 인적담보를 제공할 수 없는 수출중소기업들이 수출신용보증서를 활용하고 있는데, 동 보증서의 보증한도나 신용보증조건이 결과적으로 적정융자의 원칙을 구현하는 장치로도 활용되고 있다.Pre-shipment trade financing (refers to “trade finance”) in Korea refers to working capital financing where banks extend loans to exporters to procure raw materials, to manufacture, or to purchase finished goods for exports. Given the on-going needs for promoting Korean export, trade finance has played an important role. To trading companies, it means they can have direct access to affordable working capital loans with low interest rates.
To maximize its benefit for the entire small businesses, Bank of Korea trade established finance rules (refers to “BOK rules”) stimulating that banks extending trade finance should maintain optimal credit limits (so called, Principle of Optimal Loan). Various provisions in BOK rules are to enforce this principle in various ways, such as loan tied with special purpose, loan period, limits by previous-year export amounts.
The K-sure (Korea Trade Insurance Corp) pre-shipment credit guarantee program can also facilitate principle of optimal credit limits. By attaching special terms and conditions and penalizing violating banks can make the principle work. Since K-sure has a better position in evaluating foreign risks associated with specific export transactions, the adequacy of loan to each exporter can be achieved better. In practice, the examples derived from cases where the banks violated the terms and conditions of the guarantee can deliver strong signals to banks about what should be done by bank to make the loan be optimal under the BOK rules and K-sure guarantee.BOK Trade Finance, Principle of Optimal Credit Limits, K-sure Pre-Shipment Credit Guarantee"
3,무역보험 활성화 전략에 대한 연구 - 무역보험을 악용한 사기 예방방안 중심으로 -,김용재 /yongjaekim,2011,한국무역보험학회,"70-80년대 우리나라 중소기업은 수출대금의 결제방식, 대금결제 회수 및 동구권수출시 회수 불안 문제 등으로 수출을 아예 포기하거나 주저하였다. 그래서 정부(지식경제부)는 이와 같은 불안을 해소시키고 신시장 개척 지원, 수출 지원 및 수출 진흥을 위하여 1992년 7월 한국무역보험공사(전 한국수출보험공사)를 설립하여 정부기금으로 수출보험제도를 운용하고 있다. 그런데 중소 조선업체들이 수출보증보험을 부보하고 선적을 건조하여 수입자에게 수출을 하였어야 했는데 2-3년전부터 조선경기가 불황기에 접어들자 보험금만 사취하고 선박을 건조하지 않고 페업하거나 도주하여 올해 4월 한국무역보험공사의 선수금 환급보증 무역(수출)보험금 약 9,000억원을 횡령한 혐의로 구속 수사하고 있다고 한다. 즉, 특정경제범죄가중처벌 등에 관한 법률 위반(사기), 허위 유가증권 작성, 허위 작성된 유가증권행사 등의 혐의라고 한다.
본 논문은 무역(수출)보험의 경우 2009년을 기준으로 과거 10년간 보험사기로 인해 총 57건에 530억원의 보험금을 편취당한 것으로 나타났다. 단, 2011년 4월에 발생한 선수금 환급보증 무역(수출)보험금 약 9,000억원을 제외한 횡령보험사기 유형과 발생건수, 편취금액을 살펴보고 무역보험 사기 예방방안을 살펴보고 개선방안을 살펴보고자한다.As the amount of electronic commerce increases very fast, electronic data exchange rate in the electronic commerce increase.
This paper deals with “ How to prevent fraud by trade insurance"".
In korea, Korea trade Insurance for trade insurance(Ministry of knowledge of economics)as a competent organization to support to promote export and import.
As the development of electronic commerce is difficult without IT investment.
Government agency trade insurance related association etc must promote increase e-trade and trade insurance rate every year.
This paper airms to prevent fraud by trade insurance and translate offline business into electronic commerce and to promote e-trade Single Window and using global Standards of electronic Documents such as UNeDocs.
For example, trade insurance system must change to prevent fraud by trade insurance.
Korea trade insurance must support to promote electronic trade & trade insurance and to increase trade every year.
We must promote and support that experts of international trade insurance standardization how to participate international trade insurance standardization meeting. and then they contribute to make international trade insurance standardization and to make domestic trade insurance standardization in korea.
Also this papers request to change the prevent system of the fraud by trade insurance into the new prevent system of the fraud by trade insurance.Trade Insurance, Fraud, Prevent of Fraud, Prevent System of the Fraud"
4,무역 e-Marketplace의 무역정보와 신뢰성에 관한 실증연구,정재승 /Jason Chung,2012,중앙대학교 한국전자무역연구소,"세계무역은 전통적인 방식에서 전자적인 방식으로 빠르게 전환중이다. 이미 각국의 바이어들은 거래선 발굴방법으로 무역 e-Marketplace 등 온라인 검색을 우선적으로 활용하고 있다. 또한 무역업자들을 서로 연결해 주는 무역 e-Marketplace의 매개기능은 전자무역 정보서비스의 전문적인 영역과 더불어 다양한 무역정보(거래정보, 상품정보, 기업정보)를 실시간으로 제공하고 있다. 본 연구의 목적은 무역 e-Marketplace인 Alibaba.com의 판매자의 무역정보인 신규상품등록과 기존상품수정이 구매자의 신뢰성을 나타내는 인콰이어리(견적요청서)와의 관계를 한국 판매자를 대상으로 실증 분석하고자 한다.
분석결과, 판매자가 무역정보인 기존의 상품을 수정할 경우 구매자로 부터 더 많은 인콰이어리를 받는 것으로 분석되었으나, 판매자가 상품을 신규로 등록하는 경우에는 구매자로부터 인콰이어리를 받는 것에 영향을 주지 않는 것으로 나타났다.World trade is fast going through a conversion from the traditional format into an electronic one. Buyers all around the world have already used online search service such as e-Marketplace to find new clients first. Connecting traders, trade e-Marketplace through its broker functions provides real-time trade information of diverse kinds(trading, product and company information) as well as the professional area of electronic trade information service. This study sets out to empirically analyze relations between the seller's new product registration and old product revision and the buyer's inquiry(order sheet) at Alibaba.com as trade e-Marketplace.
The analysis results show that the seller received more inquiries from buyers in case of revising old products and the seller's new product registration did not affect inquiries from purchasers.World trade is fast going through a conversion from the traditional format into an electronic one. Buyers all around the world have already used online search service such as e-Marketplace to find new clients first. Connecting traders, trade e-Marketplace through its broker functions provides real-time trade information of diverse kinds(trading, product and company information) as well as the professional area of electronic trade information service. This study sets out to empirically analyze relations between the seller's new product registration and old product revision and the buyer's inquiry(order sheet) at Alibaba.com as trade e-Marketplace.
The analysis results show that the seller received more inquiries from buyers in case of revising old products and the seller's new product registration did not affect inquiries from purchasers.e-Trade, e-Marketplace, e-Trade Marketing, Alibaba"
5,무역원활화가 상품의 특성별 무역에 미치는 차별적인 영향에 관한 연구- APEC 국가에의 적용 -,정문현 /Moonhyun Jung,2014,한국무역학회,"본 연구에서 무역원활화가 APEC 국가의 수출에 유의한 영향을 미치고 동질상품군과 차별상품군 간에 차별적인 효과를 갖는 실증적 결과가 발견되었다. 무역원활화 관련 요소로서 수출국의 통관시간, 물류운송 인프라 및 정보통신기술 인프라는 차별상품군의 수출에, 수입국의 통관시간은 동질상품군의 수출에 더 강하게 영향을 미치는 것으로 나타났다. 시뮬레이션 결과는 수출국의 무역원활화가 개선될 때 APEC 국가의 수출이득이 크게 증가하게 되고 칠레와 페루를 제외한 나머지 모든 국가에서 동질상품군에 비해 차별상품군의 수출이득에 상당히 더 큰 효과를 갖는다는 것을 보여주었다.This paper analyzed the impact of trade facilitation dimensions including border transport efficiency, logistics and transport infrastructure, customs environment, and information and communication technology infrastructure on the APEC's exports of three product groups such as all products, homogeneous products and differentiated products, of which the attributes are qualitatively different. Estimations were made by using the cross­sectional data of bilateral trade between APEC and its partner countries and applying the gravity model. The empirical results show that all of the trade facilitation variables have a significant impact on the three product groups, of which the estimated coefficients have the expected sign except the effects of exporting clearance time on homogeneous products. The effects of those variables on exports are found to be differential between homogeneous and differentiated products. That is, among the variables of trade facilitation exporting clearance time, logistics and transport infrastructure, and information and communication technology infrastructure have stronger effects on the exports of differentiated products, while importing clearance time has stronger effects on the export of homogeneous products.
The simulation analysis illustrates that export gain would be remarkable if all of the trade facilitation factors are improved except the importing clearance time. In APEC countries except Chile and Peru those factors have the effects to bring in larger export gain on differentiated products than homogeneous products. Chile and Peru have the highest export gain from homogeneous products.APEC, Trade Facilitation, Homogeneous Products, Differentiated Products, Differential Effects, Gravity Model"
6,무역지원 확대를 위한 국내 무역보험 교육의 탐색적 연구,"곽수영 /Kwak, Su-Young",2014,한국무역보험학회,"본 연구는 국내 대학교 무역보험 교육현황을 살펴본 후 무역지원을 담당하는 무역유관기관과의 협업과 지원확대를 위한 정책적 과제를 탐색하고 있다. 이를 위해 4년제 대학교와 2년제 대학교를 포함한 국내 대학교 무역관련 학과의 무역보험 교과목에 대한 커리큘럼을 홈페이지를 통해 전수조사 하였으며, 각 지역별 무역업체 수를 파악함으로써 무역지원의 지역적 분포특성을 파악하였다.
무역지원확대를 위해서는 먼저 대학교 무역보험관련 교과목의 개설이 요구되며, 무역유관기관과의 연계성을 확보할 수 있는 무역지원관련 교과목의 추가 개설이 필요하였다. 또한 무역기업의 지역적 분포와 해당 지역의 대학교의 유기적 연결을 통한 실무적 무역교육이 진행되는 것이 잠재적 측면에서 요구되고 있음을 제언하였다. 향후 과제로는 국내 무역유관기관에서 행하고 있는 다양한 지원사업을 탐색할 수 있는 대학교의 교과목의 부재는 잠재적인 무역인의 역량을 저해하는 것으로서 향후 각 기관의 무역지원 성과를 실증분석하는 것이 필요함을 제시하였다.This paper explores a political task for collaboration with related international trade organization that takes charge in trade support and enlargement of support after searching education status of international trade insurance in local university.
For those researcher carried out a complete enumeration survey through university homepage about curriculum of senior college and junior college in local department of related international trade. Figuring out the number of each areal international trade companies and found areal distribution characteristics about trade support.
To enlarge international support it required to establish a related subject of international insurance and needed additionally to open related trade support subject which secures the link with related international trade organization.
Besides, the researcher suggested that it needed practical trade education potentially through areal distribution of international trade companies and organic link of university in the area. Further work should include empirical study about performance of trade support for each organization as lacking of university subjects which is able to explore a various support projects from local related trade organizations impede competence of trader potentially.For those researcher carried out a complete enumeration survey through university homepage about curriculum of senior college and junior college in local department of related international trade. Figuring out the number of each areal international trade companies and found areal distribution characteristics about trade support.
To enlarge international support it required to establish a related subject of international insurance and needed additionally to open related trade support subject which secures the link with related international trade organization.
Besides, the researcher suggested that it needed practical trade education potentially through areal distribution of international trade companies and organic link of university in the area. Further work should include empirical study about performance of trade support for each organization as lacking of university subjects which is able to explore a various support projects from local related trade organizations impede competence of trader potentially.Trade Insurance, Trade Organization, International Support, Trade Education"
7,무역보험계약상 무역보험공사의 면책에 관한 연구,"유주선 /Yoo, JuSeon",2016,한국무역보험학회,"본 논문은 무역보험자의 급부에 대한 부책과 면책의 내용을 다루고 있다. 무역보험은 일반적인 보험과는 차이가 있다. 국가 간 무역거래에서 발생하는 여러 가지 위험들로부터 수출업자를 보호하고, 그가 무역거래에 대한 불안감을 덜어주며 안정적으로 수출에 전념할 수 있도록 한 제도가 무역보험제도이다. 무역거래에서 발생하는 사고를 담보한다는 특수성 때문에, 일반보험에서 지켜지는 위험의 측정이나 보험료의 결정 등의 대수의 법칙이 무역보험에서는 엄격하게 적용되는 것은 아니다. 무역보험은 국가가 수출을 장려하기 위하여 수출이나 수입 등 대외거래를 지원하기 위한 정책적인 면이 중요시된다.
일반적인 보험의 경우 보험계약자 등의 고의 또는 중과실이 있는 경우에 보험자는 급부에 대한 책임이 면제된다. 무역보험 역시 보험계약자 등이 고의로 보험사고를 야기한 경우에는 무역보험공사는 보험금을 지급하지 않는다. 그러나 일반적인 보험과 달리, 무역보험의 경우 과실이 있는 경우에 무역보험공사의 면책가능성이 발생한다. 이 점 일반보험과 차이점이 있다. 무역보험에서 발생하는 보험자의 면책의 다양한 사례 등을 검토함으로써, 면책과 부책의 구분을 명확하게 제시하고자 한다.This study analyzes exemption from responsibility and liability of insurance proceeds for the trade insurer. Trade insurance is the area of insurance, but the general insurance and there are differences. The trade insurance protects exporters from various risks arising from cross-border trade, and this gives they relieve the anxiety about trade and allows them to concentrate on the steady exports. Because of the specificity of collateral accidents occurring in trade, trade insurance is not applied strictly to the law of large numbers about the decision of premium and measurement of risk observed in the general insurance. Also, the trade insurance is important for policy aspects supporting foreign trade in order to encourage a country to export.
In the general insurance case if there is indemnity of intent or gross negligence of a policyholder, the insurer is exempt from liability of insurance proceeds. The trade insurance also does not pay insurance if a policyholder cause insurance incidents on purpose. However, unlike a general insurance the trade insurance occurs exemption-possibility of insurance proceeds payment even if a policyholder is negligence. This point is different from general insurance. By reviewing various practices of the insurer's exemption from responsibility and liabilities arising from trade, it will present clearly the distinction between exemption from responsibility and liabilities.trade insurance, immunity or liability, Korea Trade Insurance Corporation, insurance contract, intention or negligence"
8,무역 결제방식 변화와 무역지원제도가 수출성과에 미치는 영향,최창열 /ChoiChangYoul,2016,한국무역보험학회,"전통적무역결제방식이변화되고있다.신용장에의한결제방식은지속적으로감소하고있으며,송금방식의비중은증가하고있다.시중은행은무역지원을위해다양한무역금융을제공하고있다.본연구는무역기업이직면하고있는기업적요인과환경요인,무역지원제도가결제방식에영향을미치고,결정된결제방식은수출성과에영향을미칠것이라고보고그관계를살펴보았다.
분석방법은설문조사와회귀분석을사용하였으며,분석결과기업요인과환경요인,무역지원제도는결제방식에유의한것으로나타났으며,무역결제방식에따라수출성과가달라지는것으로분석되었다.Trade paymentmethod is changing. Traditional L/Cpayment has decreased continuously while transfer payment increasing. Commercial banks are providing various trade finance services in order to support trade. This study establishes a hypothesis that corporate factors, company environment and trade support legislations for trading companies exercise influence to payment methods and choice of settlement plan informs trade results investigating the relationship of the elements. Survey and regression analysis are used. The result shows corporate factors, company environment and trade support systemare significant in payment method selection and export performance is varied by methods of payment.payment, trade supports system, trade performance, trade Factor"
9,무역사기의 유형별 고찰 및 개선방안에 관한 연구 - 나이지리아 무역사기의 원형을 포함하여 -,김재우 /Kim Jae-Woo,2020,한국무역보험학회,"본 논문은 기존의 사례 중심의 무역사기 현황을 분석하여 우리기업들이 무역사기에 대한 피해를 입지 않도록 개선 방안을 연구하였다. 또한 KOTRA에 접수된 무역사기 사례 및 기존 문헌등을 토대로 무역사기의 유형을 5가지로 재정리 하였다. 무역사기는 1990년대 나이지리아의금융사기 수법에서 진화하여 영어권 국가 및 아프리카 국가 에서도 많이 조사되고 있다. 무역사기의 유형별로는 이메일 해킹, 선적 및 결제, 전자 상거래, 금품 사취, 서류 위조 순으로 사례가 높은 것으로 확인 되었다. 과거 나이지리아식 수법인 금품 사취, 서류 위조 대신에 해킹, 송금 및 결제의 빈도가 높다는 사실은 인터넷의 발달이 무역 사기를 진화시키고 있음을 시사한다. 따라서 기업은 무역 전 과정에서 내부 통제 시스템을 갖추고, 신중한 접근이 필요하며, 유관기관에서는 무역 사기 예방에 관한 지속적인 계도 및 피해 구제 등의 정책을 효과적으로 개발해야 한다.Purpose : This study analyzes and reclassifies the cases of trade frauds with suggesting improvement measures to protect from being damaged by trade frauds.
Research design, data, methodology : The paper uses previous dataset from Kotra overseas offices and reports from law enforcement organizations, related organizations based on trade fraud cases.
Five types of trade fraud were regrouped through case analysis using various published data. In addition, Nigerian 419 scam was introduced to the form of origin and the evolvement of trade fraud.
Results : The result suggests the frequency of trade fraud, high in the order of email hacking, shipping and settlement, e-commerce, money fraud, and forgery of documents. The fact that the frequency of fraud in hacking, remittance, and settlement is higher than in the past Nigerian method of fraud and forgery, implicates that the development of the Internet and finance is evolving the types of trade fraud.
Conclusions : This result shows that companies need to reconfirm and carefully approach in the whole process of trade. Government agencies and organizations are recommended they should effectively develop policies such as continuous guidance and remedy for the prevention of trade fraud.Trade fraud, Nigerian 419, email hacking, payment, settlement, forgery"
