,제목,가격,리뷰수,리뷰평점,평점비율
0,"*ll-New Toshiba 50-inch 50C350KU C350 Series LED 4K UHD Smart Fire TV, Released 2021",$399.99,19,3.5,"['42%', '14%', '20%', '0%', '25%']"
1,"*nsignia NS-43DF710NA21 43-inch Smart 4K UHD - Fire TV, Released 2020",$279.99,"5,821",4.6,"['80%', '11%', '3%', '1%', '4%']"
2,"*CL 50-inch Class 4-Series 4K UHD HDR Smart Android TV - 50S434, 2021 Model",Out of Stock,424,4.6,"['75%', '16%', '3%', '1%', '5%']"
3,"*AMSUNG 82-inch Class Crystal UHD TU-6950 Series - 4K UHD HDR Smart TV (UN82TU6950FXZA, 2020 Model)",Out of Stock,21,4.6,"['72%', '21%', '7%', '0%', '0%']"
4,"*AMSUNG 50-Inch Class Crystal UHD AU8000 Series - 4K UHD HDR Smart TV with Alexa Built-in (UN50AU8000FXZA, 2021 Model)",Out of Stock,109,4.3,"['69%', '13%', '8%', '3%', '7%']"
5,"*CL 32-inch 1080p Roku Smart LED TV - 32S327, 2019 Model",$179.99,"55,681",4.6,"['78%', '12%', '4%', '2%', '4%']"
6,"*oshiba 43LF421U21 43-inch Smart HD 1080p TV - Fire TV, Released 2020",$269.99,"17,172",4.7,"['79%', '13%', '4%', '1%', '3%']"
7,*ony A8H 65-inch TV: BRAVIA OLED 4K Ultra HD Smart TV with HDR and Alexa Compatibility - 2020 Model,Out of Stock,"1,127",4.8,"['87%', '7%', '2%', '2%', '2%']"
8,"*CL 43-inch 4K UHD Smart LED TV - 43S435, 2021 Model",Out of Stock,"9,585",4.7,"['81%', '12%', '3%', '1%', '3%']"
9,"*G 65UP8000PUA Alexa Built-in 65"" 4K Smart UHD TV (2021)",Out of Stock,102,4.3,"['66%', '16%', '6%', '2%', '9%']"
10,"*AMSUNG 55-Inch Class Frame Series - 4K Quantum HDR Smart TV with Alexa Built-in (QN55LS03AAFXZA, 2021 Model)",Out of Stock,110,4.3,"['70%', '13%', '5%', '2%', '9%']"
