,제목,가격,리뷰수,리뷰평점,평점비율
0,"*luetooth Speaker,MusiBaby Speaker,Outdoor, Portable,Waterproof,Wireless Speakers,Dual Pairing, Bluetooth 5.0,Loud Stereo,Booming Bass,1500 Mins Playtime for Home&Party Black",$31.69,"11,230",4.4,"['66%', '17%', '9%', '4%', '5%']"
1,"*aterproof Bluetooth Speaker, ZoeeTree S1Pro Speaker Bluetooth Wireless with Strong Bass & 20W HD Sound, Bluetooth Speakers with 36Hours, 100Ft Wireless Range, Portable Speakers for Outdoors, Travel",$35.99,"2,504",4.6,"['74%', '17%', '5%', '2%', '2%']"
2,"*luetooth Speakers, DOSS SoundBox Touch Portable Wireless Bluetooth Speakers with 12W HD Sound and Bass, IPX5 Waterproof, 20H Playtime,Touch Control, Handsfree, Speakers for Home,Outdoor,Travel-Black",$27.99,"57,624",4.6,"['76%', '14%', '5%', '2%', '3%']"
3,"*BL Xtreme 2, Waterproof Portable Bluetooth Speaker, Black",Out of Stock,"7,463",4.7,"['86%', '8%', '2%', '1%', '3%']"
4,"*onster Bluetooth Speaker, Adventurer Force IPX7 Waterproof Bluetooth Speaker 5.0 with Microphone Input, 40W Portable Bluetooth Speakers with 40H Playtime for Indoor and Outdoor Party.",$149.99,425,4.6,"['77%', '15%', '3%', '1%', '4%']"
5,*mazon Basics USB-Powered PC Computer Speakers with Dynamic Sound | Black,Out of Stock,"28,626",4.5,"['71%', '16%', '6%', '2%', '4%']"
6,*mazon Basics AC Powered PC Multimedia External Speakers,Out of Stock,"1,651",4.3,"['63%', '19%', '9%', '4%', '5%']"
7,"*ortable Bluetooth Speaker Waterproof，IPX7 Shower Speaker with Deep Bass,Loud Sound,12 Hours Playtime TWS Small Speaker for Bicycle Hiking Outdoor Camping",$13.99,415,4.5,"['72%', '14%', '8%', '2%', '5%']"
8,"*IODIO Portable Bluetooth Speakers, Outdoor Wireless Mini IPX6 Waterproof Shower Travel Speaker with 5W Driver, Built-in Microphone, 360 HD Surround Sound Wireless Speaker for Sports, Beach, Camping",Out of Stock,332,4.4,"['66%', '17%', '8%', '3%', '5%']"
9,"*IODIO Mini Sound Bar, USB Battery Powered Speakers for Desktop, Aux-in Wired and Wireless Bluetooth Stereo Projector Speaker with Strong Bass for PC, Gaming, Tablets and Cellphone",$29.99,136,4.2,"['56%', '24%', '8%', '5%', '8%']"
10,"*IODIO Portable 5.0 Bluetooth Speaker Stereo, Waterproof Louder Volume Wireless Range Outdoor Speakers for Home Party Music Black",Out of Stock,270,4.4,"['69%', '17%', '6%', '3%', '5%']"
11,"*PX7 Waterproof Bluetooth Speaker, DuoTen Portable Wireless Speaker with RGB Light Show 360° Surround Sound TWS with Mic AUX Micro SD 24 Hours Playtime for Travel, Home, Party, Shower & Outdoors",$38.89,199,4.5,"['70%', '22%', '3%', '1%', '4%']"
