,제목,가격,리뷰수,리뷰평점,평점비율
0,*elkin SoundForm Elite Hi-Fi Smart Speaker + Wireless Charger (Alexa Voice-Controlled Bluetooth Speaker) Sound Technology by Devialet (Black),Out of Stock,59,4.1,"['49%', '29%', '10%', '8%', '3%']"
1,"[Latest Version ] Bluetooth Headset CVC8.0 Dual Mic Noise Cancelling, HonShoop V5.0 Bluetooth Earpiece Earbud16 Hrs HD Talktime Hands-Free Earphones for Driver Trucker Business Office",$49.99,383,4,"['56%', '16%', '8%', '8%', '10%']"
2,"*OZO T5 Bluetooth Headphones True Wireless Earbuds Sport Earphones Touch Control Headset with Wireless Charging,Bass Stereo,Sweatproof for Running, Gym, Workout",Out of Stock,"2,311",4.4,"['73%', '14%', '4%', '3%', '6%']"
3,*ew bee Bluetooth Earpiece V5.0 Wireless Handsfree Headset with Microphone 24 Hrs Driving Headset 60 Days Standby Time for iPhone Android Samsung Laptop Trucker Driver (Black),$17.99,"27,766",4.1,"['59%', '17%', '11%', '5%', '8%']"
4,*luetooth Headset Eumspo V5.0 Dual Mic Noise Cancelling Bluetooth Earpiece 50 Hrs Playtime Wireless Earpiece with 400mAh LED Charging Case Touch Control Wireless Headset for Drivers/Office/Business,$35.99,33,4.4,"['64%', '28%', '0%', '0%', '7%']"
5,"[2021 Upgraded] COMSOON Bluetooth 5.0 Receiver for Car, Noise Cancelling Bluetooth AUX Adapter, Bluetooth Music Receiver for Home Stereo, Wired Headphones, Hands-Free Calls(16H Battery Life/Dual Link)",$16.99,"4,200",4.4,"['71%', '14%', '6%', '3%', '6%']"
6,*lantronics Explorer 110 Bluetooth Wireless Headset - Retail Packaging,$38.48,748,4.3,"['68%', '14%', '8%', '4%', '7%']"
7,*G TONE Ultra Α Bluetooth Wireless Stereo Neckband Earbuds (Hbs-830) - Black,$65.84,"2,455",4.3,"['67%', '14%', '7%', '4%', '8%']"
8,"*OKFORM G-ROK – Golf Speaker, Magnetic Portable Wireless Speaker, IPX7 Waterproof, Shockproof and Dustproof, Instantly mounts to Golf cart, Loud and Clear Sound, 24 Hour Battery (Black)",$99.99,643,4.8,"['86%', '9%', '3%', '1%', '1%']"
9,"*rue Wireless Earbuds, Hadisala Bluetooth 5.0 Headphones with 30H Playtime Touch Control, IPX7 Waterproof Bluetooth TWS Stereo Earphones with Deep Bass Built-in HD Mic, in-Ear Headset for Sports Work",$29.89,872,4.3,"['66%', '15%', '9%', '4%', '6%']"
