,제목,가격,리뷰수,리뷰평점,평점비율
0,*amo Babe Portable Lightweight Playard with Mattress (Blue),$58.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
1,"*ABYBJÖRN Baby Carrier One Air, Mesh, Anthracite",Out of Stock,513,4.6,"['80%', '10%', '5%', '2%', '3%']"
2,*WANZY BABY Floral Baby Girl Milestone Blanket | Includes Wreath & Headband | Photography Backdrop for Newborn to 12 Months | Baby Growth Tracker | 60x40 inches | Super Soft Premium Fleece Quality,$23.95,4,5,"['100%', '0%', '0%', '0%', '0%']"
3,*ipette Baby Essentials Baby Wash and Moisturize Kit with Renewable Plant-Derived Squalane (6-Piece Set),$44.00,217,4.5,"['80%', '8%', '4%', '1%', '7%']"
4,*imple Joys by Carter's Baby 8-Pack Short-Sleeve Bodysuit,$17.90 - $20.00,"8,558",4.9,"['90%', '7%', '2%', '0%', '1%']"
5,"*wlet Duo Smart Baby Monitor with HD Video, Oxygen, and Heart Rate",$399.00,824,4.5,"['78%', '9%', '4%', '3%', '6%']"
6,*lige SMTF Cute Animal Soft Baby Socks Toys Wrist Rattles and Foot Finders for Fun Butterflies and Lady bugs Set 4 pcs,$12.68,"34,582",4.6,"['76%', '12%', '7%', '2%', '2%']"
7,"*udson Baby Unisex Baby Plush Animal Face Robe, Blue Elephant, One Size, 0-9 Months",$9.83,"20,146",4.8,"['89%', '8%', '2%', '0%', '1%']"
8,*ouched by Nature Unisex Baby Organic Cotton Socks,$6.75 - $18.99,"14,670",4.8,"['85%', '10%', '4%', '1%', '1%']"
9,"*udson Baby Unisex-Baby Cozy Fleece Booties Slipper Sock, gray, 0-6 Months Infant",$9.55,"1,417",4.9,"['90%', '7%', '1%', '1%', '0%']"
10,*udson Baby Unisex Baby Cotton Flannel Burp Cloths,$9.83,"1,962",4.8,"['85%', '10%', '3%', '1%', '1%']"
11,*imple Joys by Carter's Girls' 4-Pack Pant,$17.80,"20,434",4.8,"['84%', '11%', '3%', '1%', '1%']"
12,*imple Joys by Carter's Baby Fleece Footed Jumpsuit Pram,$15.30 - $20.90,"5,554",4.8,"['85%', '9%', '4%', '1%', '1%']"
13,*imple Joys by Carter's Baby Girls' Infant 4-Piece Playwear Set,$23.00,"3,355",4.8,"['85%', '10%', '3%', '1%', '1%']"
14,*imple Joys by Carter's Baby 2-Pack Cotton Footed Sleep and Play,$13.55 - $17.30,"6,983",4.8,"['89%', '7%', '2%', '1%', '1%']"
15,*imple Joys by Carter's Girls' 6-Piece Bodysuits (Short and Long Sleeve) and Pants Set,$24.10,"12,423",4.8,"['88%', '9%', '2%', '0%', '1%']"
16,*lige SMTF Cute Animal Soft Baby Socks Toys Wrist Rattles and Foot Finders for Fun Butterflies and Lady bugs Set 4 pcs,$12.68,"34,582",4.6,"['76%', '12%', '7%', '2%', '2%']"
