,제목,가격,리뷰수,리뷰평점,평점비율
0,"*inhank Super Console X PRO,Retro Video Game Console Built in 50,000+ Games,TV&Game Systems in 1,Game Consoles for 4K TV 1080P HD Output,Support 5 Players,LAN/WiFi,Men Gifts(PRO-256GB)",$113.99,15,3.4,"['47%', '16%', '0%', '10%', '28%']"
1,"*adist Retro Game Console,4K HDMI HD Output Video Game Console，Built in 10000+ Classic Video Games，with 2 Wireless Controller,Plug and Play Games Console ，Ideal Gift for Kids, Adult, Friend, Lover",$79.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
2,"*20 Retro Game Console Mini Classic Game System with 2 NES Classic Controller and Built-in 620 Games, AV Output Plug & Play Childhood Mini Classic Console, Old Video Game Console for Kids & Adults",$26.99,315,3.6,"['47%', '13%', '11%', '10%', '19%']"
3,"*RULU 3800 Arcade Game Machine,Family Pandora's Box Multiplayer Joystick Buttons Arcade Video Game for Home with 50 3D Classic Video Game, Newest System,Advanced CPU,Compatible HDMI,VGA 2020 New (7)",$199.99,7,4.4,"['58%', '21%', '21%', '0%', '0%']"
4,*ega Genesis Mini - Genesis,$79.99,"11,305",4.7,"['82%', '12%', '4%', '1%', '2%']"
5,"*etro Handheld Game Console With Protector Case, 400 Free Classical FC Games Support for Connecting TV & Two Players, Portable Video Game Gifts for Adults & Kids 8-12 90s Retro Toys",$21.99,388,4.1,"['61%', '14%', '11%', '7%', '7%']"
6,*rcade1Up MS. Pac-Man Counter-Cade - 4 Games in 1,Out of Stock,751,4.7,"['83%', '8%', '3%', '1%', '4%']"
7,"*ourPlusOne Retro Game Consoles, AV Output 8-bit Video Games Console Built-in 620 Games, 2 Pack Classic Handheld USB Controller for NES Games, is an Ideal Gift for Kids and Family",Out of Stock,77,3.7,"['47%', '15%', '16%', '5%', '17%']"
8,"*ICYSTORE Retro Game Console with 818 Retro Video Games, HDMI HD Output NES Retro Game Console Wireless, Old Arcade Plug and Play Video Games Console is an Ideal Gift Choice for Children and Adults",Out of Stock,15,3.7,"['52%', '15%', '9%', '3%', '21%']"
9,"*eeKool Pandora 11 Arcade Video Game Console, 2255 in 1 Retro Video Games Colorful LED Double Stick Arcade Console, HDMI VGA USB Newest System Arcade Machine, Built-in Speaker",Out of Stock,25,4.1,"['60%', '15%', '6%', '13%', '6%']"
10,*eijue 16 Bit Handheld Games for Kids Adults 3.0'' Large Screen Preloaded 100 HD Classic Retro Video Games no Need WiFi USB Rechargeable Seniors Electronic Game Player Birthday Xmas Present (Red),Out of Stock,"7,999",4.1,"['59%', '17%', '12%', '5%', '7%']"
11,"*topoo USB Wireless Handheld Video Game Console, HD Classic Game Console Built-in 3500 Game in TF Card ,and 2 2.4G Dual Wireless Controller HDMI Output TV Video Game Console (Black)",$65.99,25,3.1,"['35%', '0%', '22%', '19%', '23%']"
12,"*ademax RS-1 Handheld Game Console, 400 Classic FC Retro Game Player with 2.5"" 8-Bit LCD Portable Video Games, Built-in 400 Old School Games Entertainment, Birthday Presents for Kids and Adult",$15.98,850,4,"['54%', '17%', '13%', '6%', '10%']"
13,"*he Kids Room by Stupell Video Game Controller Blue Print on Planks Stretched Canvas Wall Art, 24 x 30, Multi-Colored",Out of Stock,18,4.8,"['80%', '20%', '0%', '0%', '0%']"
14,"*unJey Classic Handheld Game Console, HD Classic Game Console Built-in 821 Game in TF Card,and 2 NES Classic Controller HDMI Output Video Games(White)",Out of Stock,274,3.5,"['46%', '13%', '10%', '6%', '25%']"
