,제목,가격,리뷰수,리뷰평점,평점비율
0,"*mazon Brand – Rivet Revolve Modern Upholstered Sofa Couch, 80""W, Heritage Green",Out of Stock,"1,383",4.5,"['70%', '17%', '6%', '3%', '3%']"
1,"*omestyles 6800-30 3-Seat Sofa, Brown",Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
2,"*asa Andrea Milano llc Classic and Traditional Ultra Comfortable Linen Living Room Fabric Chaise Couch Chair, Sofa, Grey",Out of Stock,9,3.8,"['41%', '31%', '14%', '0%', '14%']"
3,"*denbrook Lynnwood Upholstered Sofa with Square Arms and Tufting-Bolster Throw Pillows Included, Light Grey",Out of Stock,292,4.2,"['61%', '20%', '6%', '4%', '8%']"
4,"*mazon Brand – Rivet Revolve Modern Upholstered Sofa Couch, 80""W, Denim Blue",Out of Stock,"1,383",4.5,"['70%', '17%', '6%', '3%', '3%']"
5,"*ureFit Stretch Loveseat Sofa Slipcover – Spandex Jacquard Non Slip Soft Couch Sofa Cover, Washable Furniture Protector with Non Skid Foam and Elastic Bottom for Kids (Loveseat, Dark Gray)",$33.99,"1,317",4.3,"['63%', '18%', '10%', '5%', '5%']"
6,"*ureFit Reversible Quilted Recliner Sofa Cover, Spill, and Water Resistant Slipcover Furniture Protector, Washable Couch Cover with Adjustable Strap for Kids, Pets (Recliner, Gray/Light Gray)",$24.99,746,4.3,"['65%', '15%', '11%', '4%', '5%']"
7,"*ureFit Reversible Quilted Sofa Cover, Spill, Water Resistant Slipcover Furniture Protector, Washable Couch Cover with Non-Slip Foam and Adjustable Strap for Kids, Pets (Chair, Gray/Light Gray)",Out of Stock,425,4.2,"['59%', '17%', '14%', '4%', '5%']"
8,"*ureFit Stretch Sofa Slipcover – Spandex Jacquard Non Slip Soft Couch Sofa Cover, Washable Furniture Protector with Non Skid Foam and Elastic Bottom for Kids (Sofa, Camel)",$39.99,"4,174",4.3,"['62%', '18%', '10%', '4%', '6%']"
9,"*amberia Printed Sofa Cover Stretch Couch Cover Sofa Slipcovers for Couches and Loveseats with Two Pillow Cases (Gray Mark, Sofa-4 Seater)",$28.99,260,4,"['53%', '18%', '17%', '4%', '8%']"
10,"*amberia Printed Sofa Cover Stretch Couch Cover Sofa Slipcovers for 3 Cushion Couch with Two Free Pillow Case (New Feather, Sofa-4 Seater)",$34.99,225,4,"['46%', '24%', '16%', '11%', '4%']"
11,"*amberia Printed Sofa Cover Stretch Couch Cover Sofa Slipcovers for Couches and Loveseats with Two Pillow Cases (Coffee Leaves, Sofa-4 Seater)",$28.99,158,4,"['56%', '12%', '13%', '9%', '9%']"
12,"*amberia Printed Sofa Cover Stretch Couch Cover Sofa Slipcovers for Couches and Loveseats with Two Pillow Cases (Silver, Sofa-3 Seater)",Out of Stock,29,4.2,"['47%', '26%', '25%', '0%', '2%']"
13,"*NIROI Modern Microfiber Sectional, L-Shaped Couch Sofa with Reversible Chaise Lounge Storage Ottoman and Cup Holders Furniture Set-Elegant Grey, Gray",Out of Stock,9,3.3,"['33%', '34%', '0%', '0%', '33%']"
14,*oly and Bark Essex Sofa in Full-Grain Pure-Aniline Italian Tanned Leather in Cognac Tan,Out of Stock,38,4.4,"['74%', '7%', '10%', '0%', '9%']"
15,*ovogratz Brittany Sofa Futon - Premium Upholstery and Wooden Legs - Dark Gray,Out of Stock,"6,263",4.1,"['53%', '21%', '11%', '6%', '8%']"
16,"*ignature Design by Ashley - Almanza Sofa, Wheat",Out of Stock,6,3.5,"['43%', '0%', '23%', '34%', '0%']"
17,"*exicon Winona Living Room Sofa, Gray",Out of Stock,19,4.5,"['76%', '17%', '0%', '0%', '8%']"
18,"*mazon Brand – Rivet Canton Deep Mid-Century Modern Sofa Couch, 88.6""W, White",Out of Stock,44,4.7,"['79%', '11%', '10%', '0%', '0%']"
19,"*erta Palisades Upholstered Sofas for Living Room Modern Design Couch, Straight Arms, Soft Fabric Upholstery, Tool-Free Assembly - 78"" Sofa - Brown",Out of Stock,"1,873",3.4,"['35%', '19%', '17%', '11%', '18%']"
20,"*erta Copenhagen Storage Sofas 2 Two or Three Person Living Room Couch with Soft Foam-Filled Cushions, Easy-to-Clean Microfiber Upholstery, 77"", Light Gray",Out of Stock,35,3.2,"['20%', '23%', '24%', '26%', '8%']"
21,"*INUS Josh Sofa Couch / Easy, Tool-Free Assembly, Beige",Out of Stock,"1,318",4.2,"['56%', '22%', '11%', '4%', '7%']"
22,"*mazon Brand – Rivet Aiden Mid-Century Modern Tufted Loveseat Sofa (74"") - Hunter Green",Out of Stock,990,4.5,"['72%', '15%', '5%', '3%', '5%']"
23,"*iduck High Stretch Couch Cover Form Fit Super Soft Sofa Slipcover for 3 Cushion Couch Non-Slip Sofa Cover Furniture Protector with Elastic Bottom for Kids Pets (Large,Grey)",$22.99,158,4.1,"['56%', '19%', '13%', '6%', '5%']"
24,"*ASAGLE Comfortable Sofa, Couch with Solid Wood Frame and Breathable Linen Fabric, for Guest Room, Teenager's Room, and Small Apartment, 70.1 x 33.3 x 32.7 Inches, Gray",Out of Stock,124,3.9,"['49%', '26%', '7%', '4%', '13%']"
25,"*denbrook Willow Upholstered Loveseat with Rolled Arms – Contemporary, Casual, Cozy, and Comfortable, Sofa, Stormy Gray",Out of Stock,19,3.7,"['43%', '23%', '17%', '0%', '17%']"
26,"*INUS Benton Sofa Couch / Grid Tufted Cushions / Easy, Tool-Free Assembly, Stone Grey",Out of Stock,976,4.2,"['60%', '21%', '8%', '4%', '7%']"
27,"*ifestyle Solutions Austin Sofas, 80.7"" W x 31.1"" D x 32.3"" H, Dark Grey",Out of Stock,348,3.6,"['41%', '19%', '17%', '8%', '14%']"
28,"*ASAGLE Sofa Bed, Convertible Couch with 2 Cup Holders and Removable Armrests, for Compact Living Space Apartment Dorm Office, 72 x 33.9 x 30.7 Inches, Gray",Out of Stock,13,3.7,"['41%', '23%', '9%', '17%', '10%']"
29,"*dloe Finch Modern Sectional Sofa Facing Chaise Cruelty-free Synthetic Feather Cushions, Grey",Out of Stock,61,4,"['51%', '25%', '8%', '4%', '12%']"
30,"*ffetto Loveseat Sofa in Mid-Century,Small Couch for Small Spaces,Bedroom,Living Room,Office(Modern Gray)",Out of Stock,15,3.7,"['52%', '13%', '0%', '21%', '14%']"
31,"*ellow ADAIR Mid-Century Modern Loveseat/Sofa/Couch with Armrest Pockets, Light Grey",Out of Stock,126,4.3,"['61%', '21%', '9%', '5%', '4%']"
32,"*mazon Brand – Rivet Goodwin Modern Sofa Couch, 88.6""W, Navy Blue",Out of Stock,220,4.5,"['72%', '18%', '5%', '2%', '3%']"
33,"*asa Andrea Milano llc Mid Century Modern Tufted Upholstered Fabric Sofa Couch, Purple",Out of Stock,134,3.6,"['44%', '17%', '12%', '9%', '17%']"
34,"*hristopher Knight Home Constance Contemporary 3 Seater Fabric Sofa, Navy Blue + Dark Brown",Out of Stock,2,4,"['50%', '0%', '50%', '0%', '0%']"
35,"*lackjack Furniture Marsden Collection Modern Leather Air Living Room Reclining, Sofa, Sleek Gray",Out of Stock,30,4.2,"['59%', '18%', '15%', '0%', '9%']"
36,"*oft Luxury Cosy Flannel Throw Blanket for Sofa Couch Chair and Bed, The Micro Plush Lightweight Breathable Warm Blanket for Spring Summer Autumn Winter All Season (30""X40"", Navy)",$13.89,0,0,"['0%', '0%', '0%', '0%', '0%']"
37,"*ubrtex Stretch Cushion Cover Couch Cushion Slipcover RV Seat Covers Chair Loveseat Sofa Cushion Protector Spandex Elastic Furniture Protector for Seat (Small,Steel Blue)",$8.98,"3,657",4.5,"['73%', '14%', '7%', '2%', '4%']"
38,"*ANABEST Super Stretch Jacquard Couch Cover 1-Piece Soft Sofa Cover Non Slip Furniture Protector with Elastic Bottom for Kids,Pets (Navy, Sofa)",$29.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
39,"*inkRomat Convertible Sectional Sofa, Modern Velvet Fabric Classic L-Shape Sofa 4-Seat Sofas with Two Pillows Extra Wide Chaise Lounge, for Living Room-Navy Blue",Out of Stock,14,3.3,"['28%', '23%', '9%', '29%', '10%']"
40,"*ignature Design by Ashley - Jesolo Casual Faux Leather Reclining Sofa - Pull Tab Reclining, Dark Gray",Out of Stock,144,4.1,"['61%', '17%', '8%', '3%', '11%']"
41,"*odway Valour Performance Velvet Upholstered Tufted Sofa, Mint",Out of Stock,31,4.5,"['74%', '17%', '0%', '5%', '5%']"
42,"*exicon Dawson Living Room Sofa, Gray",Out of Stock,26,4.4,"['65%', '20%', '9%', '0%', '6%']"
43,"*mazon Brand – Rivet Aiden Mid-Century Modern Reversible Sectional Sofa (86"") - Dark Gray",Out of Stock,990,4.5,"['72%', '15%', '5%', '3%', '5%']"
44,*ivano Roma Furniture Classic Large Sofa | Dark Grey,Out of Stock,223,3.2,"['36%', '12%', '10%', '14%', '28%']"
45,"*INUS Jackie Sofa Couch / Easy, Tool-Free Assembly, Green Stone",Out of Stock,954,4.3,"['60%', '22%', '8%', '5%', '5%']"
46,"*est Choice Products Convertible Linen Fabric Tufted Split-Back Plush Futon Sofa Furniture for Living Room, Apartment, Bonus Room, Overnight Guests w/ 2 Pillows, Wood Frame, Metal Legs - Black",Out of Stock,"1,079",3.8,"['48%', '17%', '14%', '9%', '12%']"
47,"*asa Andrea Milano llc Modern Large Velvet Sectional Sofa, L-Shape Couch with Extra Wide Chaise Lounge, Navy",Out of Stock,43,3.6,"['35%', '21%', '21%', '10%', '12%']"
48,"*INUS Ricardo Sofa Couch / Tufted Cushions / Easy, Tool-Free Assembly, Dark Grey",Out of Stock,"1,320",4.1,"['55%', '23%', '10%', '5%', '7%']"
49,"*lackjack Furniture Portico Collection Leather Air Mid Century Modern Living Room Reclining, Sofa, Chocolate",Out of Stock,1,5,"['100%', '0%', '0%', '0%', '0%']"
50,"*mazon Brand – Stone & Beam Hillman Mid-Century Sofa Couch with Wood Base and Legs, 78""W, Ivory",Out of Stock,176,4.7,"['82%', '12%', '3%', '1%', '2%']"
51,"*mazon Brand – Rivet Brooke Contemporary Mid-Century Modern Tufted Leather Sofa Couch, 82""W, Cognac",Out of Stock,168,4.6,"['76%', '14%', '4%', '3%', '3%']"
52,"*erta Copenhagen 78"" Sofa - Pillowed Back Cushions and Rounded Arms, Durable Modern Upholstered Fabric - Gray",Out of Stock,"1,910",3.5,"['39%', '18%', '15%', '8%', '19%']"
53,"*oaster Home Furnishings Living Room Sectional Sofa, Grey",Out of Stock,86,3.7,"['41%', '26%', '10%', '6%', '17%']"
54,"*mazon Brand - Stone & Beam Westview Extra-Deep Down-Filled Sofa Couch, 89""W, Cream",Out of Stock,179,4.4,"['69%', '18%', '5%', '3%', '5%']"
55,"*erta Rane Collection Sofabed, Full, Red",Out of Stock,52,4.3,"['65%', '14%', '6%', '10%', '5%']"
