,제목,가격,리뷰수,리뷰평점,평점비율
0,"*mall Pet Select- Pine Shavings Chicken Bedding, 141L, Brown (Chikpine-141l)",$33.49,429,4.8,"['83%', '13%', '2%', '1%', '1%']"
1,*ndura Flap Pet Door Double Flap Wall Mount Best Extra Insulated All Weather Energy Efficient Aluminum Dog Door Small Medium Large XL Black Tan White Doggy Frame Well Built Doggie Locking Cover,$629.99,483,4.6,"['79%', '12%', '4%', '2%', '3%']"
2,"*RDORA Pet Hair Remover for Furniture/Bed, Reusable Dog Hair Remover Roller for Dog & Cat, Self-Cleaning, No Adhesive or Sticky Tape Needed, Perfect Fur Remover for Couch",$29.95,"1,074",4.4,"['70%', '14%', '9%', '3%', '4%']"
3,"*issell Pet Hair Eraser Turbo Rewind Upright Vacuum Cleaner, 27909, Blue",Out of Stock,"2,333",4.6,"['75%', '14%', '5%', '2%', '3%']"
4,"*homChom Roller Dog Hair Remover, Cat Hair Remover, Pet Hair Remover",$24.95,"72,462",4.6,"['78%', '12%', '5%', '2%', '2%']"
5,"*urbo Dog Camera: Treat Tossing, Full HD Wifi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)",$167.00,"23,293",4.6,"['79%', '11%', '4%', '2%', '4%']"
6,"*arth Rated Dog Wipes, Plant-Based and Compostable Wipes for Dogs, USDA-Certified 99 Percent Biobased, Hypoallergenic, 8x8 Deodorizing Grooming Pet Wipes for Paws, Body and Butt",$29.99,"21,978",4.7,"['78%', '14%', '5%', '1%', '1%']"
7,*ractive LTE GPS Dog Tracker,$49.99,"2,229",4,"['58%', '17%', '9%', '4%', '12%']"
8,*et Grooming Tool - 2 Sided Undercoat Rake for Cats & Dogs - Safe Dematting Comb for Easy Mats & Tangles Removing - No More Nasty Shedding and Flying Hair,$17.90,"20,854",4.5,"['72%', '14%', '7%', '3%', '4%']"
9,"*et Hair Remover for Laundry -4 pcs Laundry Hair Catcher-Washing Machine Lint Remover- Reusable Pet Fur Laundry Catcher Hair Remover-NonToxic Dogs Hair Remover for Laundry,Bedding,Clothes",$17.99,32,4.8,"['85%', '9%', '6%', '0%', '0%']"
10,*ADYPET Automatic Cat Feeder 3L Programmable Timer Memory Setting Pet Feeder Portion Control Dog Food Dispenser Automatic 1-4 Meals per Day for Small & Medium Pets (Plug or Battery Powered),$37.99,124,3.8,"['50%', '18%', '8%', '6%', '18%']"
11,*asfuy Dog Nail Grinder Upgraded - Professional 2-Speed Electric Rechargeable Pet Nail Trimmer Painless Paws Grooming & Smoothing for Small Medium Large Dogs & Cats,$29.99,"55,144",4.5,"['74%', '15%', '7%', '2%', '2%']"
12,"*OJOR Dog Nail Grinder, Powerful 2-Speed Nail Trimmers Quick Electric Rechargeable Pet Nail Grinder, Anti-Vibration Painless Paws Grooming & Smoothing Dog Nail Grinder for Large Medium Small Dog Cat",$19.99,8,4.6,"['61%', '39%', '0%', '0%', '0%']"
13,"*esure Dog Car Seat Cover for Back Seat for Dogs - Waterproof Pet Car Seat Covers with Anti Slip Dog Car Hammock with Storage Pocket & Dog Safety Belt, Dog Backseat Protector Trucks and SUVs, 54Wx58L",$37.99,8,4.1,"['64%', '18%', '0%', '0%', '18%']"
14,"*etSafe Wireless Fence Pet Containment System, Covers up to 1/2 Acre, for Dogs over 8 lb, Waterproof Receiver with Tone / Static Correction - From The Parent Company of INVISIBLE FENCE Brand",$249.00,"8,780",4.4,"['72%', '12%', '6%', '3%', '8%']"
15,"*UDWUD Silicone Waterproof Dog Cat Pet Feeding Mats,Anti-Slip Pet Bowl Mats,Pet Feeding Mat",Out of Stock,"6,153",4.6,"['74%', '15%', '7%', '2%', '2%']"
16,"*og Bed, Cat Calming Bed, Orthopedic Pet Donut Cuddler Round Plush Bed for Large Medium Small Dogs and Cats",$41.98,539,4.2,"['66%', '13%', '8%', '5%', '8%']"
17,"*arxBuddy Anti Bark Dog Training Antibarking Device Ultrasonic to Stop Dog Barking with Dual LED Light and Strap, Safe for Pets Indoors and Outdoors",$28.95,"4,307",3.5,"['43%', '13%', '13%', '9%', '22%']"
18,"*esotc Pet Water Bottle for Dogs, Dog Water Bottle Foldable, Dog Travel Water Bottle, Dog Water Dispenser, Lightweight & Convenient for Travel BPA Free",$15.97,"14,298",4.6,"['76%', '15%', '6%', '2%', '2%']"
19,*et,Out of Stock,581,4.7,"['77%', '15%', '5%', '2%', '1%']"
20,"*et Hair Remover - 1 Double-Sided Standard-Size, 1 Travel Pet Hair Removal Brush, Self-Cleaning Base - Remove Cat and Dog Fur, Lint, Fluff from Carpet, Car Seat, Couch, Clothing, Bedding, Fabric",$21.99,"7,902",4.4,"['66%', '16%', '10%', '4%', '5%']"
21,"*recknell MS-15 Pediatric/Medical/Veterinary Scale, 44 lb. Capacity, Removable Easy to Clean Platform, Large Bright Display",Out of Stock,27,4,"['61%', '10%', '12%', '7%', '11%']"
22,*CEVEN Wireless Dog Fence System-Wireless Pet Fence-Wireless Containment System for Dogs for Outdoor Rechargeable Waterproof Collar 850YD Remote for 15lbs-120lbs Dogs,$109.99,2,3.1,"['54%', '0%', '0%', '0%', '46%']"
23,"*ytely Upgraded Dog Car Seat Cover Pet Seat Covers for Back Seat, Scratch Proof & Nonslip Backing & Hammock, 600D Heavy Duty Dog Seat Cover for Cars, Trucks and Suvs",$29.99,"2,271",4.7,"['79%', '13%', '4%', '2%', '2%']"
