,제목,가격,리뷰수,리뷰평점,평점비율
0,"*ude Perfect 101 Tricks, Tips, and Cool Stuff",$14.29,258,4.7,"['89%', '4%', '2%', '2%', '4%']"
1,*he Last Thing He Told Me: A Novel,$13.19,"13,998",4.3,"['53%', '33%', '11%', '2%', '1%']"
2,*merican Marxism,Out of Stock,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
3,*alibu Rising: A Novel,$15.39,"3,486",4.3,"['52%', '33%', '11%', '2%', '1%']"
4,*he Midnight Library: A Novel,$13.89,"87,910",4.4,"['56%', '29%', '11%', '3%', '1%']"
5,"*he Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",$10.99,"31,470",4.8,"['87%', '8%', '3%', '1%', '1%']"
6,*tomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,$12.52,"46,058",4.8,"['85%', '10%', '3%', '1%', '1%']"
7,*he President's Daughter: A Thriller,$14.99,"2,830",4.7,"['78%', '15%', '4%', '1%', '1%']"
8,*t Ends with Us: A Novel,$13.19,"18,499",4.7,"['82%', '13%', '4%', '1%', '1%']"
9,*oshua Weissman: An Unapologetic Cookbook,Out of Stock,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
10,"*h, the Places You'll Go!  ",$8.13,"27,316",4.9,"['94%', '4%', '1%', '0%', '1%']"
11,*roject Hail Mary,$15.14,"16,045",4.7,"['77%', '18%', '4%', '1%', '0%']"
12,"*agic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",$16.49,"13,455",4.8,"['88%', '8%', '2%', '1%', '1%']"
13,"*he Boy, the Mole, the Fox and the Horse",$11.99,"79,109",4.9,"['92%', '5%', '2%', '1%', '1%']"
14,*he Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),$6.35,"58,903",4.7,"['85%', '9%', '3%', '1%', '2%']"
15,*olden Girl,$14.99,"4,735",4.6,"['72%', '20%', '5%', '1%', '2%']"
16,*illing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series),$16.49,"4,158",4.5,"['71%', '19%', '6%', '2%', '2%']"
17,*here the Crawdads Sing,$2.04,"136,307",4.8,"['85%', '9%', '3%', '1%', '1%']"
18,*eople We Meet on Vacation,$10.45,"4,594",4.4,"['59%', '29%', '10%', '2%', '1%']"
19,*he 48 Laws of Power,$15.66,"26,160",4.7,"['85%', '9%', '3%', '1%', '2%']"
20,*he Four Winds: A Novel,$14.62,"58,936",4.5,"['70%', '20%', '6%', '2%', '2%']"
21,*ich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,$0.00,"54,644",4.7,"['84%', '9%', '4%', '1%', '2%']"
22,"*y First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",$5.51,"54,884",4.8,"['85%', '11%', '3%', '1%', '1%']"
23,*elish Loves Disney: An Insider's Guide to the World's Most Magical Treats,$13.63,4,3.4,"['45%', '0%', '27%', '0%', '27%']"
24,*and McNally 2022 Large Scale Road Atlas,$15.05,512,4.7,"['84%', '10%', '2%', '1%', '2%']"
25,*ill,Out of Stock,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
26,*he Seven Husbands of Evelyn Hugo: A Novel,$9.84,"19,081",4.6,"['74%', '19%', '5%', '1%', '1%']"
27,*ntamed,$14.61,"50,800",4.6,"['80%', '10%', '5%', '2%', '3%']"
28,*kinnytaste Meal Prep: Healthy Make-Ahead Meals and Freezer Recipes to Simplify Your Life: A Cookbook,Out of Stock,"6,175",4.8,"['84%', '10%', '4%', '1%', '1%']"
29,*he Song of Achilles: A Novel,$10.82,"22,703",4.7,"['81%', '13%', '4%', '1%', '2%']"
30,*reenlights,$16.49,"40,318",4.7,"['82%', '11%', '4%', '1%', '1%']"
31,*y First Library : Boxset of 10 Board Books for Kids,$15.60,"28,043",4.6,"['79%', '11%', '6%', '2%', '2%']"
32,*he Maidens,$13.85,"1,021",4.0,"['38%', '35%', '17%', '6%', '5%']"
33,*f Animals Kissed Good Night,$4.44,"49,825",4.8,"['87%', '8%', '3%', '1%', '1%']"
34,*ooley: A Novel,$16.49,"16,056",4.5,"['68%', '20%', '7%', '3%', '2%']"
35,*aste (Oprah's Book Club): The Origins of Our Discontents,$6.85,"30,686",4.8,"['86%', '9%', '3%', '1%', '1%']"
36,"*he Alchemist, 25th Anniversary: A Fable About Following Your Dream",$9.29,"60,748",4.7,"['85%', '9%', '4%', '1%', '2%']"
37,*ault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,$14.29,"3,390",4.9,"['95%', '3%', '1%', '0%', '1%']"
38,*each Read,$7.69,"12,292",4.4,"['57%', '27%', '11%', '3%', '2%']"
39,*ercy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),29.95,"23,193",4.9,"['90%', '7%', '2%', '0%', '1%']"
40,*ow the Word Is Passed: A Reckoning with the History of Slavery Across America,$14.99,213,4.8,"['90%', '7%', '1%', '1%', '1%']"
41,*he Invisible Life of Addie LaRue,$15.39,"29,482",4.5,"['69%', '21%', '7%', '2%', '1%']"
42,*hey Both Die at the End,$8.75,"13,741",4.7,"['82%', '11%', '5%', '1%', '1%']"
43,*he Unhoneymooners,$8.83,"7,981",4.5,"['67%', '22%', '8%', '2%', '1%']"
44,*ive Your Life: My Story of Loving and Losing Nick Cordero,$16.49,367,4.8,"['89%', '6%', '2%', '1%', '1%']"
45,*he Bench,$12.33,975,4.8,"['94%', '2%', '1%', '1%', '2%']"
46,* Love You to the Moon and Back,$1.25,"36,208",4.9,"['91%', '6%', '2%', '0%', '0%']"
47,*layer's Handbook (Dungeons & Dragons),$30.11,"33,887",4.9,"['91%', '6%', '2%', '1%', '1%']"
48,"*elf-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",$0.00,"4,437",4.7,"['81%', '12%', '5%', '1%', '1%']"
49,*hat Is God Like?,$9.89,250,4.9,"['96%', '1%', '1%', '1%', '1%']"
50,*aint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,$5.01,"15,469",4.8,"['86%', '10%', '3%', '1%', '1%']"
51,*he 5 Love Languages: The Secret to Love that Lasts,$7.93,"51,937",4.8,"['86%', '9%', '3%', '1%', '1%']"
52,*et Out of Your Head: Stopping the Spiral of Toxic Thoughts,$6.85,"15,626",4.7,"['83%', '9%', '4%', '2%', '2%']"
53,*he Premonition: A Pandemic Story,$10.10,"5,456",4.7,"['78%', '15%', '4%', '1%', '2%']"
54,*he Other Black Girl: A Novel,$14.11,649,3.9,"['38%', '29%', '18%', '9%', '6%']"
55,"*ow to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",$16.49,"4,434",4.8,"['90%', '6%', '2%', '1%', '1%']"
56,"*he Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",$14.99,"2,050",4.4,"['60%', '25%', '10%', '3%', '2%']"
57,*hile Justice Sleeps: A Novel,$15.39,"4,050",4.5,"['69%', '21%', '7%', '2%', '2%']"
58,"*ummer Bridge Activities Workbook―Bridging Grades 1 to 2 in Just 15 Minutes a Day, Reading, Writing, Math, Science, Social Studies, Summer Learning Activity Book With Flash Cards (160 pgs)",$8.62,"3,355",4.7,"['82%', '12%', '3%', '1%', '1%']"
59,*he Plant-Based Athlete: A Game-Changing Approach to Peak Performance,$16.49,91,4.7,"['87%', '4%', '6%', '2%', '2%']"
60,"*ummer Bridge Activities Workbook―Bridging Grades 4 to 5 in Just 15 Minutes a Day, Reading, Writing, Math, Science, Social Studies, Summer Learning Activity Book With Flash Cards (160 pgs)",$9.68,"4,063",4.7,"['79%', '15%', '4%', '1%', '2%']"
61,"*he Official ACT Prep Guide 2021-2022, (Book + 6 Practice Tests + Bonus Online Content)",$32.00,107,4.7,"['81%', '14%', '2%', '1%', '1%']"
62,"*ummer Bridge Activities Workbook―Bridging Grades 2 to 3 in Just 15 Minutes a Day, Reading, Writing, Math, Science, Social Studies, Summer Learning Activity Book With Flash Cards (160 pgs)",$9.20,"3,678",4.7,"['82%', '12%', '4%', '1%', '1%']"
63,*og Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),$7.69,"10,713",4.9,"['93%', '5%', '1%', '0%', '1%']"
64,*hink Again: The Power of Knowing What You Don't Know,$17.50,"4,897",4.6,"['75%', '18%', '5%', '1%', '1%']"
65,*he Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,$12.06,"52,798",4.6,"['79%', '11%', '5%', '2%', '2%']"
66,*an Richten's Guide to Ravenloft (Dungeons & Dragons),$29.97,"1,197",4.7,"['84%', '9%', '3%', '2%', '2%']"
67,"*alf Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",$5.49,"7,530",4.8,"['88%', '8%', '2%', '1%', '1%']"
68,*oise: A Flaw in Human Judgment,$15.99,324,4.3,"['63%', '20%', '9%', '4%', '3%']"
69,*rystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,$0.00,"19,616",4.8,"['86%', '10%', '3%', '1%', '0%']"
70,"*rown Bear, Brown Bear, What Do You See?",Out of Stock,"31,055",4.9,"['93%', '5%', '1%', '0%', '0%']"
71,*he Anthropocene Reviewed (Signed Edition): Essays on a Human-Centered Planet,$16.49,"1,132",4.9,"['91%', '7%', '1%', '1%', '0%']"
72,"*ummer Bridge Activities Workbook—Bridging Grades 5 to 6 in Just 15 Minutes a Day, Reading, Writing, Math, Science, Social Studies, Summer Learning Activity Book With Flash Cards (160 pgs)",$9.98,"3,271",4.6,"['78%', '14%', '5%', '1%', '2%']"
73,*asha's Cauldron of Everything (D&D Rules Expansion) (Dungeons & Dragons),$27.52,"14,755",4.8,"['89%', '8%', '2%', '1%', '1%']"
74,"*ummer Bridge Activities Workbook—Bridging Grades 3 to 4 in Just 15 Minutes a Day, Reading, Writing, Math, Science, Social Studies, Summer Learning Activity Book With Flash Cards (160 pgs)",$9.69,"3,518",4.7,"['79%', '13%', '5%', '1%', '2%']"
75,"*edical Medium Cleanse to Heal: Healing Plans for Sufferers of Anxiety, Depression, Acne, Eczema, Lyme, Gut Problems, Brain Fog, Weight Issues, Migraines, Bloating, Vertigo, Psoriasis, Cys",$7.38,"12,413",4.7,"['85%', '8%', '4%', '1%', '2%']"
76,"*peechless: Controlling Words, Controlling Minds",$16.49,43,5.0,"['100%', '0%', '0%', '0%', '0%']"
77,*2 Rules for Life: An Antidote to Chaos,$15.39,"39,498",4.7,"['86%', '7%', '3%', '1%', '2%']"
78,*ero Fail: The Rise and Fall of the Secret Service,$15.39,"1,825",4.6,"['76%', '15%', '5%', '1%', '3%']"
79,*tto's Tales: The National Anthem and Pledge of Allegiance,$10.99,92,4.8,"['92%', '2%', '2%', '2%', '3%']"
80,"*ummer Bridge Activities Workbook―Bridging Grades 6 to 7 in Just 15 Minutes a Day, Reading, Writing, Math, Science, Social Studies, Summer Learning Activity Book With Flash Cards (160 pgs)",$11.69,"3,415",4.6,"['75%', '16%', '6%', '1%', '2%']"
81,*orld Travel: An Irreverent Guide,$21.94,"1,621",4.5,"['76%', '11%', '6%', '3%', '5%']"
82,*erity,$0.00,"23,851",4.6,"['76%', '15%', '5%', '2%', '2%']"
83,*ummer Brain Quest: Between Grades 2 & 3,$2.51,"4,664",4.8,"['83%', '12%', '3%', '1%', '1%']"
84,"*ublication Manual of the American Psychological Association: 7th Edition, 2020 Copyright",Out of Stock,"19,511",4.8,"['87%', '9%', '3%', '1%', '1%']"
85,*irst Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,$8.99,"20,449",4.7,"['82%', '11%', '4%', '1%', '1%']"
86,"*osmic Queries: StarTalk's Guide to Who We Are, How We Got Here, and Where We're Going",$14.99,"1,003",4.8,"['85%', '10%', '3%', '1%', '1%']"
