,제목,가격,리뷰수,리뷰평점,평점비율
0,"*aturin2 Herbal Tonic Health Drink (1 Box, 6 Vials)",Out of Stock,27,4.4,"['59%', '25%', '9%', '7%', '0%']"
1,"*ature's Bounty Brain HP Jelly Beans, Supplements, Watermelon, 0.5 Oz Pouches, 38 Count",$56.97,15,4.6,"['75%', '9%', '16%', '0%', '0%']"
2,"*cales for Body Weight, Bveiugn Digital Bathroom Wireless Fat Smart BMI Body Composition Analyzer Health Monitor Sync 13 Data with Other Fitness Apps",$27.99,"19,279",4.7,"['80%', '12%', '4%', '1%', '2%']"
3,"*remier Protein Shake 30g 1g Sugar 24 Vitamins Minerals Nutrients to Support Immune Health 11.5 Pack, Chocolate, 138 Fl Oz, (Pack of 12)",$21.06,"105,040",4.6,"['79%', '11%', '5%', '2%', '3%']"
4,"*ulturelle Daily Probiotic, Digestive Health Capsules | Works Naturally with Your Body to Keep Digestive System in Balance | With the Proven Effective Probiotic | Packaging May Vary (30 Count)",Out of Stock,"18,377",4.7,"['82%', '11%', '5%', '1%', '1%']"
5,"*itbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Rose, One Size (S & L Bands Included)",Out of Stock,"25,726",4.5,"['76%', '13%', '5%', '2%', '4%']"
6,*iome Health Intelligence,$249.00,11,3.8,"['60%', '12%', '0%', '0%', '28%']"
7,"*eami Gut Love Prebiotics and Probiotics for Women - Unflavored Fiber Powder Assists Leaky Gut, Bloating Relief and Gut Health - Vegan Inulin Soluble Fiber Supplement - 30 Day Supply (7.4oz)",Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
8,"*ook for Your Gut Health: Quiet Your Gut, Boost Fiber, and Reduce Inflammation",$12.35,134,4.5,"['72%', '17%', '6%', '2%', '3%']"
9,*ntestinal Fortitude AI-5 - Herbal Anti-Inflammatory Supplement with CurcuWIN - Turmeric - Curcumin - Boswellia Serrata - Ginger Root - EGCG Green Tea - Gut Health - IBD - IBS,$29.95,101,4.4,"['71%', '13%', '7%', '3%', '6%']"
10,"*osamin DS For Joint Health Comfort & Mobility, 108 Capsules",$24.99,"1,286",4.7,"['81%', '12%', '4%', '1%', '2%']"
