,제목,가격,리뷰수,리뷰평점,평점비율
0,"*um by Colgate Smart Electric Toothbrush Kit, Rechargeable Sonic Toothbrush with Travel Case & Bonus Replacement Brush Head, Teal",$78.56,"3,692",4.6,"['78%', '13%', '5%', '2%', '3%']"
1,"*ilicone Travel Bottles Set,Leak Proof Travel Size container For Toiletries,Leak Proof Silicone Travel Accessories And Conditioner Bottles ,Perfect For Personal Travel (Green)",Out of Stock,81,4.5,"['71%', '15%', '7%', '3%', '3%']"
2,"*AGSMART Toiletry Bag Travel Bag with Hanging Hook, Water-resistant Makeup Cosmetic Bag Travel Organizer for Accessories, Shampoo, Full Sized Container, Toiletries, Large",$27.99,"1,712",4.8,"['87%', '10%', '3%', '0%', '0%']"
3,"*ISHEL Large Hanging Travel Toiletry Bag, Portable Makeup Organizer, Water Resistant Cosmetic Holder for Brushes Set, Full-Sized Shampoo, Conditioner, Accessories, Pink",$25.99,524,4.8,"['85%', '10%', '3%', '1%', '2%']"
4,"*AGSMART Travel Jewelry Organizer Roll Foldable Jewelry Case for Journey-Rings, Necklaces, Bracelets, Earrings, Soft Pink",$19.99,"5,172",4.8,"['84%', '11%', '4%', '1%', '1%']"
5,"*AGSMART Toiletry Bag Travel Bag with Hanging Hook, Water-resistant Makeup Cosmetic Bag Travel Organizer for Accessories, Shampoo, Full Sized Container, Toiletries",$22.99 - $27.99,"12,098",4.8,"['86%', '10%', '3%', '1%', '1%']"
6,"*wist Memory Foam Travel Pillow for Neck, Chin, Lumbar and Leg Support - for Traveling on Airplane, Bus, Train or at Home - Best for Side, Stomach and Back Sleepers - Adjustable, Bendable Roll Pillow",$24.99,"7,305",4.3,"['64%', '17%', '9%', '5%', '5%']"
7,"*Dgro Electronics Travel Organizer, Waterproof Tech Accessories Pouch Bag for Keeping Certificates/Charger/Power Bank/Cables/Mouse/Earphone/Students’ stationeries Organized (Light Gray)",Out of Stock,53,4.2,"['58%', '25%', '8%', '3%', '6%']"
8,"*anway 65L Travel Duffel Bag, Foldable Weekender Bag with Shoes Compartment for Men Women Water-proof & Tear Resistant",$27.99,"8,330",4.7,"['82%', '12%', '3%', '1%', '2%']"
9,"*niversal Airplane in Flight Phone Mount. Handsfree Phone Holder for Desk with Multi-Directional Dual 360 Degree Rotation. Pocket Size Travel Essential Accessory for Flying. US Patent: US10,272,847 B1",$12.97,"1,718",4.6,"['77%', '14%', '5%', '2%', '2%']"
