,제목,가격,리뷰수,리뷰평점,평점비율
0,*oleman 8-Person Tent for Camping | Elite Montana Tent with Easy Setup,$157.99,"7,220",4.6,"['76%', '13%', '5%', '2%', '4%']"
1,"*ise Owl Outfitters Camping Hammocks - Portable Hammock for Outdoor, Indoor, Single & Double Use w/ Tree Straps - Backpacking, Travel, and Camping Accessories",$29.95,"30,592",4.8,"['86%', '10%', '3%', '1%', '1%']"
2,"*lectric Lighter, Locsee USB Rechargeable Lighter Arc Long Grill Lighter Flameless Lighter with LED Battery Display Windproof Lighter with Safe Button for BBQ Camping Kitchen Stove",$10.99,67,4.4,"['71%', '11%', '7%', '3%', '8%']"
3,*amping Pillow by Mountain Designs - Comfortable Inflatable Pillow and Camping Pillows - Camp Pillow is Lightweight and Comfortable. Camping Gear and Camping Accessories by Mountain Designs,$12.99,20,4.7,"['77%', '15%', '9%', '0%', '0%']"
4,"*ollapsible Cutting Board with Colander, HI NINGER 3 in1 Foldable Chopping Board No Scissors, Space Saving Kitchen Vegetable Washing Basket Silicone Dish Tub for Camping/Picnic/BBQ/Kitchen",$17.99,"1,759",4.4,"['67%', '18%', '8%', '3%', '4%']"
5,"*OVTOTOP Sleeping Pad for Camping,【2021 Newest】 Foam Self-Inflating Ultralight Thicken Sleeping Mat with Attached Pillow, Perfect Gear for Hiking, Traveling and Backpacking (Self-Inflating)",$67.99,4,4.1,"['43%', '28%', '29%', '0%', '0%']"
6,"*loudi USB Rechargeable Portable Fan , 10000MAH Battery Operated Camping Fan with LED Lantern and Hanging Hook ,3 Speed Adjustable Personal Small Desk Fan for Sleeping,Tent,Office,Home,Travel",$19.99,215,4.7,"['87%', '6%', '2%', '1%', '3%']"
7,*doland Portable LED Camping Lantern with Ceiling Fan - Hurricane Emergency Survival Kit,$20.84,"24,475",4.3,"['64%', '18%', '10%', '4%', '4%']"
8,"*odoer Camping Hammock - Travel Hammock with 2 Tree Straps, Double Hammock, Durable Nylon Parachute Portable Hammock for Outdoor, Hiking, Backpacking, Yard ( Grey & Blue )",$19.99,133,4.7,"['81%', '13%', '4%', '2%', '0%']"
9,"*ifeStraw Personal Water Filter for Hiking, Camping, Travel, and Emergency Preparedness",$17.47,"73,304",4.8,"['84%', '12%', '3%', '0%', '1%']"
10,*oleman Sundome Tent,$69.99,"31,496",4.7,"['80%', '13%', '4%', '1%', '2%']"
11,"*ont 2 Pack LED Camping Lantern, Super Bright Portable Survival Lanterns, Must Have During Hurricane, Emergency, Storms, Outages, Original Collapsible Camping Lights/Lamp (Batteries Included)",$17.97,"41,594",4.7,"['81%', '12%', '4%', '1%', '1%']"
12,"*andcrafted Mexican Blankets, Artisanal Handwoven Serape Blanket, Authentic Falsa Blanket, Great As Beach Blanket, Camping Blanket, Picnic Blanket, Outdoor Blanket, Boho Throw Blankets, Flag",$22.99,"2,041",4.7,"['82%', '10%', '5%', '1%', '1%']"
13,"*andcrafted Mexican Blankets, Artisanal Handwoven Serape Blanket, Authentic Falsa Blanket, Great As Beach Blanket, Camping Blanket, Picnic Blanket, Outdoor Blanket, Boho Throw Blankets, Fluore Green",$22.99,"2,041",4.7,"['82%', '10%', '5%', '1%', '1%']"
14,"*andcrafted Mexican Blankets, Artisanal Handwoven Serape Blanket, Authentic Falsa Blanket, Great As Beach Blanket, Camping Blanket, Picnic Blanket, Outdoor Blanket, Boho Throw Blankets, Emerald Coral",$22.99,"2,041",4.7,"['82%', '10%', '5%', '1%', '1%']"
15,"*andcrafted Mexican Blankets, Artisanal Handwoven Serape Blanket, Authentic Falsa Blanket, Great As Beach Blanket, Camping Blanket, Picnic Blanket, Outdoor Blanket, Boho Throw Blankets, Bottle",$22.99,"2,041",4.7,"['82%', '10%', '5%', '1%', '1%']"
16,"*andcrafted Mexican Blankets, Artisanal Handwoven Serape Blanket, Authentic Falsa Blanket, Great As Beach Blanket, Camping Blanket, Picnic Blanket, Outdoor Blanket, Boho Throw Blankets, Oxford",$22.99,"2,041",4.7,"['82%', '10%', '5%', '1%', '1%']"
17,*doland Portable LED Camping Lantern with Ceiling Fan - Hurricane Emergency Survival Kit,$20.84,"24,475",4.3,"['64%', '18%', '10%', '4%', '4%']"
18,"*olar Power Bank 26,800mAh Wireless Solar Charger USB C 3.1A Fast Charge 4 Outputs & Dual Inputs Portable Charger IP66 Waterproof with 18 LED Flashlight External Battery Pack for Camping Outdoor",Out of Stock,58,4.4,"['65%', '16%', '8%', '11%', '0%']"
19,*ALEAF Women's Hiking Cargo Pants Outdoor Lightweight Capris Water Resistant UPF 50 Zipper Pockets,$33.99,"3,203",4.5,"['70%', '16%', '7%', '3%', '4%']"
20,"*leeping Pad for Camping, LUXEAR Inflatable Camping Pad for 2 Person Foot Press Lightweight Backpacking Mat for Hiking Travel Camping Durable Waterproof Air Mattress Compact Hiking Pad",$59.99,135,4.0,"['57%', '16%', '10%', '5%', '13%']"
21,"*8Wh Portable Power Station, 24000mAh Camping Solar Generators Lithium Battery Power Supply with 110V/80W(Peak 120W) AC Outlet, USB QC3.0, LED Flashlights for CPAP Home Camping Emergency Backup",Out of Stock,501,4.5,"['74%', '12%', '6%', '2%', '5%']"
22,"*olar Powered Bug Zapper, 3-in-1 Electric Mosquito Killer and Camp Lantern, Portable Mosquito Zapper for Outdoor & Indoor, Waterproof Rechargeable Insect Fly Trap Attractant for Camping Patio Bedroom",$36.99,60,3.7,"['47%', '21%', '7%', '7%', '19%']"
23,"*xtremus Portable Camp Stove, Compact Wind Resistant Camping Stove for Backpacking, Hiking, Camping, and Tailgating, Ultralight",$12.99,25,4.6,"['70%', '21%', '10%', '0%', '0%']"
24,*IGLT Portable Shower Bag 5 Gallons Camping Shower Bag 20L with Removable Hose and Shower Head for Camping Outdoor Traveling Hiking Summer Shower,Out of Stock,174,4.1,"['54%', '20%', '14%', '4%', '9%']"
