,제목,가격,리뷰수,리뷰평점,평점비율
0,"*eewer 43 Inch/110 Centimeter Light Reflector 5-in-1 Collapsible Multi-Disc with Bag - Translucent, Silver, Gold, White and Black for Studio Photography Lighting and Outdoor Lighting",$33.99,"8,326",4.8,"['84%', '12%', '3%', '1%', '1%']"
1,*didas Alliance II Sackpack,$17.20,"17,185",4.8,"['85%', '10%', '3%', '1%', '1%']"
2,*UMA Evercat Contender Duffel Bag,$24.97 - $48.30,245,4.7,"['82%', '11%', '4%', '1%', '2%']"
3,*ockland Duffel Bag,$30.00,"10,237",4.7,"['83%', '11%', '4%', '1%', '2%']"
4,*GBE Canvas Tote Bags with Inner Pocket Reusable Grocery Bags Bulk Reusable Shopping Bags Large Capacity Machine Washable,Out of Stock,70,4.6,"['82%', '6%', '8%', '0%', '4%']"
5,"*each Bag, Extral Large Beach Tote Bag - Beach bag waterproof sandproof, Canvas Tote Travel for Women, Grocery Weekender Travel Tote Bag For Women",$29.99,36,4.5,"['78%', '5%', '10%', '7%', '0%']"
6,"*hitewrap Cotton Mesh String Reusable Bag Long Handle Net Tote Bag| 5-Pack | Natural | Reusable Grocery Bags, Vegetable Bag, Shopping bag, Hand bag",$18.99,30,4.4,"['53%', '38%', '9%', '0%', '0%']"
7,*mall Crossbody Bags for Women Travel Shoulder Bag Waterproof Messenger Bag Casual Nylon purses and handbags Pocketbook,Out of Stock,10,4.3,"['48%', '36%', '16%', '0%', '0%']"
8,"*GBE Canvas Tote Bag For Women Reusable Grocery Shopping Cloth Bags with Inner Pocket For School, Office, Picnic And Travel ( Lemon Bag)",Out of Stock,0,0,"['0%', '0%', '0%', '0%', '0%']"
9,*OLYLUCK Drawstring Backpack Bag Sport Gym Sackpack,Out of Stock,"6,036",4.7,"['81%', '13%', '4%', '1%', '1%']"
10,"*atein Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey",$25.99,"40,406",4.8,"['85%', '10%', '3%', '1%', '1%']"
11,"*ens Messenger Bag 15.6 Inch Waterproof Vintage Genuine Leather Waxed Canvas Briefcase Large Satchel Shoulder Bag Rugged Leather Computer Laptop Bag, Brown",$49.99,"6,784",4.6,"['79%', '13%', '4%', '2%', '2%']"
12,"*argus Classic Slim Briefcase with Crossbody Shoulder Bag Design for the Business Professional Travel Commuter and Laptop Protection fits up to 16-Inch Laptops, Black (TCT027US)",$20.00,"3,620",4.7,"['80%', '14%', '4%', '1%', '1%']"
13,"*ravel Duffel Bag,Sports Tote Gym Bag,Shoulder Weekender Overnight Bag for Women with Wet Pocket and Trolley Sleeve",$26.99,"3,488",4.8,"['87%', '9%', '2%', '1%', '1%']"
14,*OLYLUCK Drawstring Backpack Bag Sport Gym Sackpack,Out of Stock,"6,036",4.7,"['81%', '13%', '4%', '1%', '1%']"
15,*UMA Evercat Cambridge Tote,$20.00,"2,631",4.5,"['77%', '11%', '6%', '3%', '4%']"
16,"*mazon Brand - Solimo Tall Kitchen Drawstring Trash Bags, 13 Gallon, 200 Count",$19.09,"81,525",4.7,"['83%', '11%', '4%', '1%', '1%']"
17,"*ICOGENA Wash Me Laundry Bag 2 packs, 28x40 inches Rips & Tears Resistant Large Dirty Clothes Storage Bag, Machine Washable, Heavy Duty Laundry Hamper Liner for College Students, Gray, Sky Blue",$8.99,157,4.7,"['85%', '10%', '2%', '2%', '2%']"
18,"*omens travel bags, weekender carry on for women, sports Gym Bag, workout duffel bag, overnight shoulder Bag fit 15.6 inch Laptop (light green) large",$28.99,"3,816",4.8,"['87%', '9%', '2%', '1%', '1%']"
19,"*iaper Bag Backpack, RUVALINO Multifunction Travel Back Pack Maternity Baby Changing Bags, Large Capacity, Waterproof and Stylish, Gray",$39.99,"18,209",4.8,"['88%', '8%', '2%', '0%', '1%']"
20,*didas Diablo Small Duffel Bag,$18.00 - $49.99,"10,079",4.7,"['84%', '10%', '4%', '1%', '1%']"
21,*KPCW makeup bag Double-layer cosmetic bag with brush bag and divider (White marble),Out of Stock,2,5,"['100%', '0%', '0%', '0%', '0%']"
22,"*mazon Basics Rolling Travel Duffel Bag Luggage with Wheels, Small, Green",$101.92,"1,252",4.7,"['81%', '12%', '4%', '2%', '1%']"
23,*amsonite Andante 2 Wheeled Rolling Duffel Bag,$40.99 - $159.00,"2,235",4.4,"['71%', '14%', '5%', '3%', '7%']"
24,*didas Santiago Insulated Lunch Bag,Out of Stock,"4,711",4.8,"['86%', '9%', '3%', '1%', '1%']"
25,"*peedo Unisex-Adult Deluxe Ventilator Mesh Equipment Bag , Insignia Blue",Out of Stock,"4,872",4.7,"['83%', '11%', '3%', '1%', '2%']"
26,*nder Armour Adult Undeniable Duffle 4.0 Gym Bag,$28.68 - $73.99,"16,824",4.8,"['84%', '10%', '3%', '1%', '1%']"
27,"*tephen Joseph Kids Medium Recycled Gift Bag, UNICORN",$6.20,"3,986",4.5,"['75%', '11%', '7%', '3%', '3%']"
28,*didas Defender 4 Medium Duffel Bag,$33.11 - $67.00,128,4.9,"['88%', '12%', '0%', '0%', '0%']"
29,"*hank You Bags Shopping Bags, 50 Pack Extra Thick Bulk Merchandise Bags Plastic Boutique Bags for Small Business Plastic Retail Gift Bags with Loop Handle for Customers Parties Favors Goodies (Dot, M(12x14Inch))",$18.97,19,4.6,"['85%', '0%', '8%', '8%', '0%']"
30,*orspack Duffel Bag 20-24-28 Inches Foldable Gym Bag for Men Women Duffle Bag Lightweight with Inner Pocket for Travel Sports,$13.95,"2,183",4.5,"['71%', '17%', '7%', '2%', '3%']"
31,"*UMA Evercat Sidewall 2.0 Crossbody Bag, Black/Silver, One Size",$22.15,261,4.6,"['82%', '7%', '5%', '3%', '4%']"
32,"*ETORO Plant-based Compostable Doggy Poop Pet Waste Bags, Green, Unscented, Leak-proof, ASTM D6400 D6866 BPI EN13432 Certified, 60 count expandable 11"" x 13.4""",$9.99,10,5,"['100%', '0%', '0%', '0%', '0%']"
33,"*lad Small Kitchen Drawstring Trash Bags – 4 Gallon Green Trash Bag Febreze , Sweet Citron & Lime, 80 Count (Package May Vary)",$11.16,"16,502",4.8,"['87%', '9%', '3%', '1%', '1%']"
34,*3 Gallon,$15.01 - $95.65,0,0,"['0%', '0%', '0%', '0%', '0%']"
35,*XY Buffalo Plaid Weekender Bag Travel Bags With Shoulder Overnight Traveling Bag for Weekend Trip or Vacation (White),$28.99,18,4,"['53%', '24%', '9%', '0%', '13%']"
