,제목,가격,리뷰수,리뷰평점,평점비율
0,"*mazon Brand – Rivet Blue European Doorway Print on Canvas, 20"" x 30""",Out of Stock,10,4.3,"['67%', '22%', '0%', '0%', '11%']"
1,"*orberg & Linden 9x12 Mixed Media Painting Watercolor Pad (2 Count) - Strong Cover and Binding - Double-Sided Paper, Ideal Texture for Painting, Coloring, Sketching - Cold Pressed, 300g, 32 Sheets",$18.99,22,4.8,"['78%', '22%', '0%', '0%', '0%']"
2,"*crylic Paint Pens For Rock Painting, Art Supplies 24 Colors Paint Pens Set For Ceramic, Glass, Fabric, DIY Craft Art Pens , Wood, Mugs, Canvas and Scrapbooking Supplies Painting Supplies",$10.99,168,4.6,"['74%', '17%', '4%', '3%', '2%']"
3,"*ucky Crown Art Supplies, 148 Piece Deluxe Art Set for Adults and Kids, Drawing & Painting Kit in Wooden Box with Sketching Book and 4 Canvas Panels",$32.99,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
4,"*rt Supplies, BYWOKY 50 PCS Sketching & Drawing Pencils Art Kit, Each Artists Drawing Supplies Set for Adults/Kids Including Graphite/Charcoal Pencils & Sticks, Pastels, Erasers and Bonus Sketch Pad",$21.99,61,4.8,"['89%', '8%', '0%', '3%', '0%']"
5,"*lowers Artwork Painting Prints Pictures: Abstract Lily Pad Prints Canvas Wall Art for Bathroom (12"" W x 12"" H, Multi-Sized)",$19.99,222,4.6,"['81%', '9%', '6%', '1%', '3%']"
6,"*bstract Artwork Landscape Wall Art: Blooming Tree Painting Print on Canvas for Bedroom (Overall 36""W x 16""H,Multi-Sized)",$39.99,426,4.6,"['80%', '11%', '5%', '3%', '2%']"
7,*bstract Wall Art Canvas Picture: Blue and Gray Artwork Modern Painting for Bathroom,$49.90,151,4.7,"['81%', '11%', '3%', '2%', '3%']"
8,"*lack Horse Canvas Picture Prints: Wild Animal Painting Art Artwork on Canvas for Office (24""W x 18""H,Multi-Sized)",$39.99,94,4.8,"['85%', '11%', '2%', '0%', '2%']"
9,*ihui Arts Canvas Wall Art for Bathroom Funny Dog Painting Pictures Artwork with Framed for Decor,Out of Stock,54,4.8,"['86%', '7%', '3%', '3%', '0%']"
10,"*5 Piece Art Set with 3 x 50 Page Drawing Pad, Professional Art Set in Portable Wooden Case, Painting & Drawing Set Art Kit for Kids, Teens and Adults",$47.99,"2,132",4.7,"['79%', '14%', '4%', '2%', '2%']"
11,"*ecboss LCD Writing Tablet Toys for Girls Boys, Colorful Screen Erasable Electronic Digital Drawing Pad Doodle Board (10in, Pink)",$14.99,"2,366",4.4,"['70%', '14%', '8%', '4%', '5%']"
12,*igipigi Rainbow Scratch Paper Art - 109 Pcs Magic Scratch Off Craft Kit for Kids Color Drawing Note Pad Supply for Children Girls Boys DIY Party Favor Game Activity Birthday Christmas Toy Gift Set,$15.95,17,4.6,"['72%', '19%', '8%', '0%', '0%']"
13,"*cratch Paper Art Set, 100 Sheets Rainbow Magic Scratch Art Black Scratch it Off Paper Crafts Notes Drawing Boards Sheet with 10 Wooden Stylus and 4 Stencils for Kids DIY Christmas Birthday Gift Card",$15.98,"1,183",4.7,"['84%', '10%', '4%', '1%', '1%']"
14,*he Arts: A Visual Encyclopedia,$21.00,800,4.8,"['87%', '8%', '3%', '0%', '2%']"
15,"*OYJULY 20pcs Nail Art Design Tools, 15pcs Painting Brushes Set with 5pcs Dotting Pens, BLACK …",$6.59,"2,491",4.6,"['73%', '15%', '7%', '2%', '2%']"
16,"*OYIN Create Your Own Sand Art, DIY Art and Craft Kits Includes 5 Sand Bottles, 4 Pendent Bottles, 3 Sticky Art Sheets, 10 Rainbow Colored Sand and Related Tools, Crafts Activity Kit for Kids",Out of Stock,32,4.0,"['63%', '11%', '8%', '5%', '14%']"
17,"*ade By Me Ultimate Sand Art Kit by Horizon Group Usa, Includes 13 Colors Of Sand, 1 Glow In The Dark Sand, 8 Sand Bottles, 3 Pack of Glitter, Sticker Sheet & More (Amazon Exclusive), Multicolor",$19.91,"5,662",4.6,"['77%', '14%', '6%', '2%', '2%']"
18,"*NGENIL 5pcs Nail Art Liner Brushes, Double Ended Nail Art Point Drill Drawing Brush Pen Manicure Care Tool, Acrylic UV Gel 3D Glitter Nail Dotting Painting Tools Set for DIY Nail Designs",$6.99,"2,012",4.3,"['69%', '12%', '9%', '4%', '6%']"
19,"*earington Mobile Classrooms, Art Studio, 25 Shelves, White Drying Rack",$99.79,5,5.0,"['100%', '0%', '0%', '0%', '0%']"
20,"*eluxe Art Supplies 27 Pieces Art Set with Tabletop Easel, 12 Colors Acrylic Paint, 10 Paint Brushes, 3 Canvas Panels, Palettes",$39.99,754,4.5,"['73%', '16%', '7%', '2%', '3%']"
21,"*mazon Brand – Stone & Beam Modern Botanical Print Wall Art of Green Artichoke, Brown Frame, 22.5"" x 22.5""",Out of Stock,8,4.3,"['31%', '69%', '0%', '0%', '0%']"
22,"*raft Cutting Tools, 360-Degree Rotating Blade 2021 Stainless Steel Craft Knives with Weeding Tools Set, Gyro-Cut Craft Cutting Tool Precision Art Knife Cutter, Art Cutting Tool for Craft Scrapbooking",Out of Stock,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
23,"*iamond Art Kits for Adults, DIY Diamond Painting 5D Movie Animation Artwork, Diamond Painting Kit for Home Decoration Gift(12x16inch)",Out of Stock,30,4.7,"['79%', '16%', '5%', '0%', '0%']"
24,"*5 Piece Art Set with 3 x 50 Page Drawing Pad, Professional Art Set in Portable Wooden Case, Painting & Drawing Set Art Kit for Kids, Teens and Adults",$47.99,"2,132",4.7,"['79%', '14%', '4%', '2%', '2%']"
25,"*bstract Mountain Canvas Wall Art for Bedroom Boho Minimalist Forest Bathroom Decor 7x10"" Navy Blue Modern Nature Landscape Prints Painting Botanical Framed Pictures Poster Home Decorations 3 Pieces",Out of Stock,2,5.0,"['100%', '0%', '0%', '0%', '0%']"
26,"*ail Art Brushes, Nail Dotting Tools, Nail Dust Brush, Teenitor Nail Art Kit for beginners, Butterfly Nail Art Stickers, Nail Art Rhinestones, Nail Art Foil, Nail Art Striping Tapes, Nail Design Kit",$11.99,268,4.6,"['77%', '15%', '5%', '3%', '1%']"
27,"*ULINJOY 5PCS Dotting Pens with 3 PCS Nail Painting Brushes, Nail Art Design Tools",$5.48,36,4.9,"['90%', '10%', '0%', '0%', '0%']"
28,"*adisi Painting Canvas Panels Multi Pack, 4x4, 6x6, 8x8, 10x10(12 of Each), 48 Pack",Out of Stock,"2,142",4.8,"['84%', '10%', '4%', '1%', '1%']"
29,"*anshiga Detachable Multifunctional Pen Holder with Drawer, DIY Wood Desk Supply Organizer, Art Supply Storage Organizer Desktop, Size:11.1x5.55x11.81""(LWH) -Black-B18",$21.99,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
30,"*Fwevs Nail Art Brushes,5pcs Double Ended Brush & Dotting Tool Kit,Including Nail Liner Brush and Nail Dotting Pens for Nail Art Nail Salon",$5.99,216,4.7,"['81%', '12%', '3%', '1%', '2%']"
31,"*IY 5D Diamond Painting Kits for Adults & Kids, Diamond Art Dots Butterfly Flowers Painting Cross Stitch Full Drill Crystal Rhinestone Embroidery Pictures Arts Craft for Home Wall Decor (11.8x15.7 in)",Out of Stock,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
32,"*arbrasse Wooden Pen Organizer, Multi-Functional DIY Pen Holder Box, Desktop Stationary, Easy Assembly, Home Office Art Supplies Organizer Storage with Drawer (B11-Cherry Color)",$16.99,"5,113",4.1,"['55%', '18%', '14%', '6%', '8%']"
33,*rt Money Success: Finally Make Money Doing What You Love: A Complete and Easy-to-Follow System for the Artist Who Wasn't Born with a Business Mind,$10.99,417,4.7,"['83%', '11%', '4%', '1%', '2%']"
34,"*2 Watercolor Pencils Set, FLOWood Art Supplies, Soft Core Professional Water Colored Pencils for Adult Coloring, Color Pencils Ideal for Drawing, Coloring in Iron Box",Out of Stock,271,4.6,"['80%', '9%', '6%', '3%', '2%']"
35,"*ainting Canvas Panel Boards, Heart-Shaped Artist Canvas Boards, 6Pcs/Set Cotton Stretched Primed Blank Canvas Panels for Students Artist Hobby Painters Beginners",$25.99,154,4.6,"['78%', '10%', '6%', '2%', '4%']"
36,"*rteza Watercolor Paint, Set of 60 Colors/Tubes (12 ml/0.4 US fl oz) with Storage Box, Rich Pigments, Vibrant, Non Toxic Paints for The Artist, Hobby Painters, Ideal for Watercolor Techniques",$44.98,"2,378",4.8,"['86%', '9%', '3%', '1%', '1%']"
37,"*rench Smile Line Cutter, Manicure Staniless Steel C Shape Edge Trimmer Templates, Diy Plate Module Gel Cutter Tool, Nail Art Acrylic Tool Kit 2 Pcs",$8.99,55,4.2,"['62%', '16%', '12%', '3%', '6%']"
38,*rt of Star Wars: The Mandalorian (Season One),$27.98,"2,230",4.9,"['92%', '6%', '1%', '0%', '1%']"
39,"*urple Acrylic Paint Brushes Set, 20Pcs Round Pointed Tip Artist Paintbrushes for Acrylic Painting Oil Watercolor Canvas Boards Body Face Rock Easter Eggs, Adult Kids Drawing Arts Crafts",$6.99,"17,688",4.7,"['78%', '14%', '6%', '1%', '1%']"
40,*oltMemori 57 Pcs Gem Diamond Painting Stickers Kits for Kids Adult Beginners- Fun DIY Arts and Crafts Animal & Sea World Paint by Number Kits,Out of Stock,47,4.7,"['83%', '8%', '6%', '0%', '4%']"
41,"*olorful Puppy Diamond Art Kits for Adults, Cute Dog 5D Diamond Painting Kit for Living Room Home Wall Stickers Decor Gift (12x16Inch)",Out of Stock,30,4.6,"['80%', '11%', '5%', '0%', '4%']"
42,*larks Women's Alexis Art Flat Sandal,$27.70 - $125.57,431,4.4,"['70%', '14%', '8%', '4%', '4%']"
43,"*2 in 1 Acrylic Nail Set Acrylic Powder and Professional Liquid Monomer Set, Acrylic Nail Brush, Nail File, Glitter Powder, Used for Nail Extension and Decoration 3D Nail Art DIY Acrylic Nail Art",Out of Stock,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
44,"*-Tier Rolling Utility Cart with Hanging Cups & Hooks & Movable Grid&Handle Multifunction Organizer Storage Trolley Service Cart with Wheels,Easy Assembly for Kitchen,Bathroom,Office,Bedroom(White)",$33.99,127,4.7,"['83%', '13%', '1%', '0%', '3%']"
45,"*rt Supplies, Norberg & Linden XXL144 Art Set in Deluxe Wooden Box with Drawer Includes Crayons, Oil Pastels, Watercolor Paints, Colored Pencils, Sharpener and Sketch Pad for Adults and Kids",Out of Stock,13,4.6,"['72%', '18%', '10%', '0%', '0%']"
46,*ail Art Stickers Decals Water Transfer DIY Nail Stickers for Nail Art Supplies Sunflower Butterfly Flower Leaf Abstract Face Curve Graffiti Fun Nail Sticker for Women Girls Kids (11 Large Sheets),$8.99,0,0.0,"['0%', '0%', '0%', '0%', '0%']"
47,*elissa & Doug Scratch Art Rainbow Mini Notes (125 ct) With Wooden Stylus,$7.34,"26,664",4.7,"['82%', '12%', '5%', '1%', '1%']"
48,"*upmod DIY 5D Diamond Painting Kits for Adults,Round Full Drill-Crystal Rhinestone Embroidery Cross Stitch,Mosaic Making Colorful Succulents Diamond Art,Home Decor 15.7""X15.7""",Out of Stock,370,4.7,"['82%', '9%', '6%', '1%', '2%']"
49,*rt Coat 2 Gallon Epoxy Kit (Stone Coat Countertops) – Colorable DIY Art Resin Epoxy with Added UV Inhibitors and Heat Resistance for Coating Surfaces with Unique Designs!,Out of Stock,2,5.0,"['100%', '0%', '0%', '0%', '0%']"
50,*rtResin - Epoxy Resin - Clear - Non-Toxic - 2 gal (1 gal Resin + 1 gal Hardener) (7.57 L),Out of Stock,564,4.7,"['86%', '7%', '3%', '1%', '3%']"
51,"*otating Art Supply Organizer for Kids - 360 Rotating Lazy Susan 12"" Caddy for Desk, Table, Home School, Classroom, Teacher. 9 Removable Bins of Durable ABS. Includes Color Learning Card",$21.99,23,5.0,"['100%', '0%', '0%', '0%', '0%']"
52,"* otters Sand Art Kit, Kids' Sand Art Kits Colored Sand Art Kit for Children, with 20 Sheets Sand Art Painting Cards Set Children Art Toy, 26 Colors",$19.99,262,4.6,"['77%', '12%', '6%', '2%', '3%']"
53,"*OCOLES Nail Art Brushes, 9PCS Nail Brushes for Nail Art with Nail Liner Brush and Nail Dotting Pens for Home Use and Professional Nail Salon",$9.99,172,4.6,"['75%', '16%', '4%', '2%', '3%']"
54,*rt: A World History,$13.05 - $19.69,277,4.6,"['74%', '15%', '5%', '3%', '3%']"
55,*oges 49.2 in Adjustable Drafting Desk Draft Table Drawing Table Painting Table Art Craft Station with Tiltable Tabletop & Stool CZKLD-026,$149.99,1,4.0,"['0%', '100%', '0%', '0%', '0%']"
56,"*D Diamond Painting Kits for Adults Kids,Bright Moon Full Drill Diamond Art Painting by Number Kits,Perfect for Relaxation and Home Wall Decor(Size, 12x16inch)",Out of Stock,64,4.7,"['80%', '13%', '4%', '0%', '3%']"
57,*aikuArt Green Plant Leaf Wall Art: 8x10in Botanical Prints Decor Canvas Print Poster for Bedroom Living Room - Set of 4pcs Unframed Cute Simple Leaves Paintings Posters -Minimalist Green Nature Plant,Out of Stock,3,5.0,"['100%', '0%', '0%', '0%', '0%']"
58,*izoackle Nail Art Brushes - Double-Ended Brush and Dotting Tool Kit - Elegant Nail Pen Set with Shiny Handles - Easy To Use Professional Liner Tools 5 Pcs,$6.57,"1,515",4.3,"['65%', '17%', '8%', '3%', '7%']"
59,"*mazon Brand – Rivet Turquoise Blue Mandala Canvas Print, 24"" x 24""",Out of Stock,7,4.5,"['49%', '51%', '0%', '0%', '0%']"
