,제목,가격,리뷰수,리뷰평점,평점비율
0,"*mazon Brand - Solimo Mint Dental Flossers, 90 Count",$3.99,"2,527",4.7,"['78%', '13%', '5%', '1%', '2%']"
1,*emi At-Home Custom Night Guard Kit - Create The Best Fitting Dental Grade Top And Bottom (2) Mouth Guards for Grinding Teeth (Bruxism) & TMJ Relief Night Guard,$94.00,506,4.3,"['72%', '11%', '5%', '3%', '9%']"
2,"*ordless Water Flosser Teeth Cleaner, Nicefeel 300ML USB Rechargable Portable Oral Irrigator for Travel,Home 3-Modes IPX7 Waterproof Water Dental Flosser with 4 Jet Tips for Braces and Teeth Whitening",$36.95,"2,704",4.2,"['62%', '18%', '8%', '5%', '7%']"
3,"*etHonesty Oral Hygiene Fresh Sticks - Dental Sticks for Dogs - Natural Dental Dog Chews - Freshen Dog Breath, Reduce Plaque + Tartar - 16 Sticks",$14.99,19,4.3,"['59%', '31%', '0%', '0%', '10%']"
4,"*ental Tools, Plaque Remover for Teeth, Professional Dental Hygiene Cleaning Kit, Stainless Steel Tooth Scraper Plaque Tartar Remover Cleaner, Dental Pick Scaler Oral Care Tools Set - With Case",Out of Stock,"28,066",4.6,"['72%', '17%', '7%', '2%', '2%']"
5,*eeteasy Electric Sonic Dental Calculus Plaque Remover Tool Kit - Tooth Scraper Tartar Removal Cleaner - Teeth Stain Eraser Polisher - Remove Tarter for Kids Adult - 100% Proven Safe (Blue),Out of Stock,"1,427",4.3,"['69%', '12%', '7%', '5%', '7%']"
6,"*aterpik WP-663 Water Flosser Electric Dental Countertop Professional Oral Irrigator For Teeth, Aquarius, Blue",Out of Stock,"72,789",4.7,"['79%', '14%', '4%', '1%', '2%']"
7,"*ater Flosser Cordless for Teeth - Nicwell 4 Modes Dental Oral Irrigator, Portable and Rechargeable IPX7 Waterproof Powerful Battery Life Water Pick Teeth Cleaner for Home Travel(White)",$34.99,144,4.7,"['88%', '4%', '0%', '3%', '4%']"
8,"*ental Tools, 10 Pack Professional Plaque Remover Teeth Cleaning Tools Set, Stainless Steel Oral Care Hygiene Kit with Metal Plaque Cleaner, Tartar Scraper, Tooth Scaler, Tongue Scraper - with Case",Out of Stock,"5,617",4.6,"['73%', '16%', '6%', '2%', '3%']"
9,*reenies Original Regular Natural Dental Dog Treats (25-50lb. Dogs),Out of Stock,"19,537",4.8,"['88%', '9%', '2%', '1%', '1%']"
10,"*ornwell Water Flosser Cordless Teeth Cleaner, 3 Modes Water Dental Flosser Rechargable Portable Oral Irrigator with 5 Jet Tips for Travel, Braces & Bridges Care",$22.99,727,4.3,"['65%', '16%', '11%', '3%', '6%']"
11,"*ental Tools To Remove Plaque and Tartar, Professional Teeth Cleaning Tools, Stainless Steel Dental Hygiene Oral Care Kit with Plaque Remover, Tartar Scraper, Tooth Scaler, Dental Pick - with Case",Out of Stock,"7,627",4.5,"['71%', '18%', '8%', '2%', '2%']"
12,"*lide Oral-B Dental Floss, Scope Flavor, 40m (Pack of 6)",Out of Stock,"1,769",4.8,"['84%', '10%', '3%', '1%', '2%']"
13,*raVet Dental Hygiene Chews for Small Dogs 10-24 Lbs,Out of Stock,"6,342",4.6,"['79%', '11%', '5%', '2%', '3%']"
14,"*laque Remover for Teeth,Ultrasonic Tooth Cleaner Tartar Remover for Teeth POLAMD Dental Calculus Remover,Rechargeable Teeth Cleaning kit for Adult and Kids (Black)",Out of Stock,52,4.8,"['90%', '3%', '3%', '0%', '3%']"
15,"*laque Remover for Teeth, Sonic Tooth Cleaner Tartar Remover, Electric Teeth Cleaning Kit with 2 Replacement Heads and 1 Tongue Scraper, 5 Adjustable Modes, Safe for Adult and Kids",$39.99,486,4.4,"['69%', '16%', '5%', '3%', '7%']"
16,"*mazon Brand - Solimo Extra Comfort Mint Dental Floss, 40 M",$3.99,719,4.3,"['65%', '16%', '10%', '4%', '5%']"
17,*PMP Premium Pet Dental Toy Dog Aggressive Chewers,$5.99,0,0,"['0%', '0%', '0%', '0%', '0%']"
18,*quaSonic Black Series Ultra Whitening Toothbrush – ADA Accepted Rechargeable Toothbrush - 8 Brush Heads & Travel Case - Ultra Sonic Motor & Wireless Charging - 4 Modes w Smart Timer - Sonic Electric,$36.95,"42,617",4.7,"['79%', '13%', '4%', '2%', '2%']"
19,"*laque Remover For Teeth - Sonic Electric Tooth Cleaner, Tartar Calculus Tooth Stain Remover Cleaning Tool Kit, Safe for Adult Kids",$39.99,"1,108",4.4,"['71%', '14%', '6%', '3%', '6%']"
20,"*laque Remover for Teeth, YaFex Sonic Teeth Cleaning Kit, Dental Tartar Tooth Stains Remover with Professional Dental Tools for Dentist Home Use",Out of Stock,73,4.4,"['75%', '10%', '6%', '0%', '8%']"
21,"*ental Duty Hygiene Kit, Calculus and Plaque Remover Set, Stainless Steel Tarter Scraper, Tooth Pick, Dental Scaler and Mouth Mirror, Dentist Home Use Tools, Blue",Out of Stock,"18,261",4.6,"['73%', '17%', '7%', '2%', '2%']"
22,"*laque Remover For Teeth Cleaning Kit - Gum Stimulator - Dental Calculus Remover - Removes Tartar, Calculus, Stain, Plaque - Teeth Cleaning Tool",Out of Stock,"4,514",4.1,"['61%', '13%', '10%', '5%', '11%']"
23,"*ater Flosser Professional Cordless Dental Oral Irrigator, 300ML Portable Water Tank and Rechargeable(No adapter)IPX7 Waterproof, 3 Modes and 8 Jet Tips, Water Flosser for Braces & Bridges Care, Home",$34.99,"12,325",4.4,"['68%', '17%', '7%', '3%', '6%']"
24,"*00 Pack LEVEL 1 PP Disposable Isolation Gowns with Elastic Cuff, Latex-Free, Non-Woven, Fluid Resistant, Dental, Medical, Hospital, Industries, ONE SIZE FITS ALL (100 PCS=10 Bags)",$67.00,47,4.3,"['75%', '7%', '5%', '3%', '10%']"
25,"*inties VetIQ Dog Dental Bone Treats, Dental Chews for Dogs, (Perfect for Medium/Large Dogs Over 40 Lbs)",Out of Stock,"5,035",4.7,"['83%', '11%', '4%', '1%', '2%']"
26,"*2ofloss Cordless Water Dental Flosser, Portable Oral Irrigator for Teeth, Braces, Rechargeable & IPX7 Waterproof Teeth Cleaner for Home Travel",$35.99,925,4.6,"['75%', '16%', '4%', '1%', '4%']"
27,*edigree DENTASTIX Adult & Puppy Toy/Small Treats for Dogs 5-20lbs.,Out of Stock,"10,328",4.7,"['84%', '10%', '4%', '1%', '2%']"
28,"*laque Remover for Teeth, Yoobao Ultrasonic Electric Tooth Cleaner with 4 Replaceable Heads and 1 Oral Mirror, Dental Tools Calculus Tartar Remover, 4 Modes, USB Charge, Safe for Adult Kids-Dark Blue",Out of Stock,2,5,"['100%', '0%', '0%', '0%', '0%']"
29,"*lackers TwinLine Dental Floss Picks, Green, Mint, 75 Count",$3.19,"16,581",4.7,"['84%', '10%', '4%', '1%', '1%']"
30,"*ater Flosser and Toothbrush Combo, ATMOKO 600ml Oral Irrigator & Electric Toothbrush with 7 Multifunctional Jet Tips, 2 Brush Heads Whitening Toothbrushes, Dental Water Flosser for Braces Care, Black",$79.99,"2,316",4.5,"['73%', '14%', '6%', '3%', '5%']"
31,"*outh Guard for Grinding Teeth 2 Size Upgraded Dental Guard for Teeth Grinding, Eliminates Teeth Clenching, Anti Grinding Dental Night Guard, Stops Bruxism, Case Include Pack of 10 pcs",$14.99,3,4.6,"['62%', '38%', '0%', '0%', '0%']"
32,"*omgeek Upgrade Water Flosser,Oral Irrigator,Dental Water Flosser,Anti Leakage Water Flosser for Braces Teeth Cleaner Dental Water Teeth 10 Adjustable Pressure with 7 Multifunctional Tips",$35.99,"6,577",4.4,"['67%', '19%', '8%', '3%', '4%']"
33,"*ental Probiotic - 11 Probiotic Strains, Digestive Enzymes - Protective Oral Health Formula for Support Against Bad Breath & for Oral Health - Includes Tongue Scraper - 60 Day Supply",Out of Stock,"1,162",4.5,"['75%', '12%', '6%', '2%', '4%']"
34,"*UM - 6324A Soft-Picks Original Dental Picks, 320 Count",$15.99,"4,797",4.7,"['84%', '10%', '4%', '1%', '1%']"
35,*astermedi Zinc Oxide Eugenol Cement Dental Care Kit Glue For Crowns & Bridges Filling,$39.99,"5,039",4.3,"['66%', '13%', '8%', '4%', '8%']"
36,*ravet Dental Hygiene Chews for Large Dogs 50+ lbs,Out of Stock,"2,427",4.7,"['81%', '10%', '4%', '1%', '3%']"
37,"*palescence PF - Teeth Whitening Gel Syringes 35% Mint - Teeth Whitening, Oral Health - 4 Syringes",Out of Stock,"4,157",4.5,"['75%', '12%', '6%', '2%', '5%']"
38,"*ater Flosser Cordless, ATMOKO Portable Dental Oral Irrigator for Teeth, 3 Modes and 8 Jet Tips, IPX7 Waterproof, USB Charged 4 Hrs for 30-Days Use, Home, Travel, Braces, Bridges Care",$39.99,"2,264",4.5,"['72%', '16%', '6%', '2%', '4%']"
39,*3 Naturals Retainer and Denture Cleaner 120 Tablets Removes Bacteria Bad Odors Discoloration Stains Plaque for Cleaning Invisalign Mouth Guard Night Guard and Removable Dental Appliances,$21.99,"8,874",4.7,"['82%', '11%', '4%', '1%', '2%']"
