,제목,가격,리뷰수,리뷰평점,평점비율
0,"*omputer Camera with Microphone,LarmTek 1080P Webcam with Webcam Cover Compatible with Mac OS Windows Laptop PC Desktop,HD Webcam for Live Streaming Gaming Calling Video Conferencing,W5,US",$16.71,708,4.3,"['64%', '17%', '10%', '4%', '5%']"
1,"*iTi Full Color Night Vision TVI Camera, Floodlight Smart Security Camera FHD 1080P, 2.8mm Wide View Angle Bullet IP66 Waterproof",$29.90,7,4.3,"['65%', '17%', '0%', '18%', '0%']"
2,"*link Outdoor - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera kit",Out of Stock,"54,086",4.4,"['71%', '15%', '6%', '3%', '6%']"
3,"*link Mini – Compact indoor plug-in smart security camera, 1080 HD video, night vision, motion detection, two-way audio, Works with Alexa – 2 cameras",Out of Stock,"111,642",4.5,"['73%', '15%', '6%', '2%', '4%']"
4,*igital Camera Vlogging Camera 30MP Full HD 1080P Digital Camera with Retractable Flash Light Camera 3 Inch Flip Screen Vlog Camera for YouTube with Two Batteries(32GB Micro SD Card Included),$99.92,33,4.6,"['87%', '0%', '4%', '0%', '9%']"
5,*OQOTOMO E-600 5.8G Wireless Color Video Transmitter and Receiver Kit for Safety Backup Camera System/Rear View Camera System,$20.99,395,4.1,"['60%', '15%', '11%', '4%', '10%']"
6,*mazon Basics Camera Mini Tripod,$18.49,741,4.4,"['65%', '19%', '10%', '2%', '3%']"
7,"*nolkee 4K WiFi Action Camera, 100 Feet Waterproof Camera with 170 Ultra Wide Angle Lens, 2"" IPS Screen Underwater Camera with Accessories Kit for Go pro PC Webcam YouTube/Vlogging Video",$52.99,183,4.1,"['55%', '20%', '10%', '9%', '6%']"
8,"*oLuke WiFi PTZ HD 5MP Wireless Waterproof Security Surveillance IP Dome Camera with 4X Optical Zoom IR Night Vision,Support Motion Detection Protocol and SD Card Slot",$134.99,279,4.1,"['62%', '15%', '8%', '5%', '11%']"
9,"*oLuke 5MP ptz Camera Outdoor 4X Optical Zoom WiFi IP auto-Tracking Camera Built-in Two Way Audio for Video Security Surveillance,Support 355°pan 90°tilt/Motion & Human-Shape Detection",$139.99,323,4.1,"['56%', '21%', '9%', '5%', '8%']"
10,"*nolkee 4K WiFi Action Camera 16GB TF Card,16MP Underwater Video Camera 170 Wide Angle Sports Cam with Remote, 2 Batteries, 24 Accessories Mounting Kit - 20 Pack",$52.99,51,4.0,"['55%', '17%', '12%', '5%', '12%']"
11,*anon PowerShot ELPH 180 Digital Camera w/Image Stabilization and Smart AUTO Mode (Red),Out of Stock,"2,689",4.4,"['67%', '17%', '7%', '3%', '6%']"
12,*ujifilm instax Mini 9 Instant Camera (Flamingo Pink) and instax Film Twin Pack (20 Exposures) Bundle Pink,Out of Stock,"12,022",4.7,"['84%', '9%', '3%', '1%', '3%']"
13,"*ony a7 III ILCE7M3/B Full-Frame Mirrorless Interchangeable-Lens Camera with 3-Inch LCD, Black",Out of Stock,"1,392",4.8,"['89%', '5%', '2%', '1%', '3%']"
14,*ikon D850 FX-Format Digital SLR Camera Body,"$2,996.95",487,4.8,"['91%', '5%', '1%', '0%', '3%']"
15,"*inolta 20 Mega Pixels High Wi-Fi Digital Camera with 35x Optical Zoom, 1080p HD Video & 3\"" LCD, Black (MN35Z-BK)",Out of Stock,264,4.2,"['61%', '19%', '9%', '3%', '8%']"
16,*ideo Camera 4K 30FPS 48.0MP Camcorder 18X Digital Camera 3.0 in Touch Screen WiFi Vlogging Camera IR Night Vision Video Camera with External Microphone and Remote Control…,$129.99,3,5.0,"['100%', '0%', '0%', '0%', '0%']"
17,*ideo Camera Camcorder Full HD 1080P 30FPS 24.0 MP IR Night Vision Vlogging Camera Recorder 3.0 Inch IPS Screen 16X Zoom Camcorders Camera Remote Control with 2 Batteries,$69.99,"4,028",4.3,"['64%', '17%', '8%', '4%', '7%']"
18,"*asa Indoor Pan/Tilt Smart Home Camera, 1080p HD Security Camera wireless 2.4GHz with Night Vision, Motion Detection for Baby Monitor, Cloud & SD Card Storage, Works with Alexa & Google Home (EC70)",$31.99,"3,151",4.5,"['71%', '16%', '7%', '2%', '4%']"
