,제목,가격,리뷰수,리뷰평점,평점비율
0,"*oisz by ILIFE S5 Pro 2-in-1 Mopping, Robot Vacuum Cleaner, Ideal for Pet Care, Hard Floor and Low Pile Carpet",$189.99,"2,181",4.1,"['57%', '20%', '10%', '6%', '7%']"
1,"*ISSELL Cleanview Swivel Rewind Pet Upright Bagless Vacuum Cleaner, Teal",$149.99,"13,845",4.6,"['79%', '14%', '4%', '1%', '3%']"
2,"*hark NV358 Navigator Lift-Away Professional Bagless Upright Vacuum Cleaner, HEPA Filter, Powerful & Lightweight, Clean Carpet, Hard Floor & Above Floor, Crevice Tool, Dusting & Pet Power Brush, White",Out of Stock,169,4.4,"['65%', '20%', '7%', '3%', '5%']"
3,"*hark Rotator Lift-Away TruePet Upright Vacuum with HEPA Filter, Crevice, Pet Multi-Tool and Power Brush.88 Dry Quarts, with a Bordeaux Finish",Out of Stock,"8,740",4.6,"['78%', '12%', '3%', '2%', '4%']"
4,"*oover WindTunnel 3 Max Performance Pet, Bagless Upright Vacuum Cleaner, HEPA Media Filtration, For Carpet and Hard Floor, UH72625, Red",$169.00,"3,500",4.4,"['69%', '17%', '6%', '3%', '5%']"
5,"*issell Featherweight Stick Lightweight Bagless Vacuum With Crevice Tool, 2033, One Size Fits All, Blue",Out of Stock,"49,903",4.4,"['67%', '17%', '8%', '4%', '5%']"
6,"*ureka PowerSpeed Bagless Upright Vacuum Cleaner, Pet Turbo, Black",$90.35,"10,090",4.5,"['70%', '17%', '6%', '3%', '4%']"
7,"*oover MAXLife Pro Pet Swivel Bagless Upright Vacuum Cleaner, HEPA Media Filtration, For Carpet and Hard Floor, UH74220PC, Black",$199.99,"5,822",4.4,"['70%', '15%', '5%', '2%', '7%']"
8,"*hark NV356E S2 Navigator Lift-Away Professional Upright Vacuum with Pet Power Brush and Crevice Tool, White/Silver",$164.95,"21,284",4.5,"['75%', '15%', '5%', '2%', '4%']"
9,"*irt Devil Endura Reach Upright Bagless Vacuum Cleaner for Carpet and Hard Floor, Lightweight, Corded, UD20124, Red",$49.00,"10,396",4.4,"['69%', '15%', '7%', '3%', '6%']"
10,"*ISSELL Cleanview Swivel Pet Upright Bagless Vacuum Cleaner, Green, 2252",$109.99,"44,999",4.7,"['80%', '14%', '3%', '1%', '2%']"
11,"*ureka PowerSpeed Bagless Upright Vacuum Cleaner, Pet Turbo, Black",$90.35,"10,090",4.5,"['70%', '17%', '6%', '3%', '4%']"
12,"*oover MAXLife Pro Pet Swivel Bagless Upright Vacuum Cleaner, HEPA Media Filtration, For Carpet and Hard Floor, UH74220PC, Black",$199.99,"5,822",4.4,"['70%', '15%', '5%', '2%', '7%']"
13,"*hark NV356E S2 Navigator Lift-Away Professional Upright Vacuum with Pet Power Brush and Crevice Tool, White/Silver",$164.95,"21,284",4.5,"['75%', '15%', '5%', '2%', '4%']"
14,"*eedi k600 Robot Vacuum Cleaner 2600 mAh, Anti-Scratch Tempered Glass Cover with Powerful Suction, Self-Charging, Deep Cleaning for Pet Hair, Hard Floors and Carpet",$89.99,"7,940",4.2,"['60%', '19%', '9%', '4%', '7%']"
15,"*ISSELL, 2998 MultiClean Allergen Lift-Off Pet Vacuum with HEPA Sealed System",$219.99,"1,496",4.5,"['73%', '15%', '5%', '2%', '4%']"
16,"*ureka NEU182B PowerSpeed Bagless Upright Vacuum Cleaner, Lite, Purple",$79.99,"8,109",4.5,"['73%', '17%', '5%', '2%', '3%']"
17,"*ureka Blaze Stick Vacuum Cleaner, Powerful Suction 3-in-1 Small Handheld Vac with Filter for Hard Floor Lightweight Upright Home Pet Hair, Dark Black",$31.06,"36,740",4.1,"['58%', '17%', '11%', '5%', '8%']"
18,"*UREKA Airspeed Ultra-Lightweight Compact Bagless Upright Vacuum Cleaner, Replacement Filter, green",$69.99,"8,897",4.5,"['70%', '16%', '7%', '3%', '4%']"
19,"*ISSELL, 2999 MultiClean Allergen Pet Upright Vacuum with HEPA Seal System",$157.29,"1,349",4.6,"['76%', '14%', '5%', '2%', '3%']"
20,"*ureka NEU182B PowerSpeed Bagless Upright Vacuum Cleaner, Lite, Purple",$79.99,"8,109",4.5,"['73%', '17%', '5%', '2%', '3%']"
21,"*ureka WhirlWind Bagless Canister Vacuum Cleaner, Lightweight Vac for Carpets and Hard Floors, Blue",$72.99,"13,104",4.3,"['66%', '17%', '7%', '3%', '6%']"
22,"*ureka NEU100 Airspeed Ultra-Lightweight Compact Bagless Upright Vacuum Cleaner, Lime Green",Out of Stock,"4,925",4.3,"['64%', '17%', '9%', '4%', '6%']"
23,"*EQUARE Cordless Vacuum, 175W Stick Vacuum Cleaner with Self-Standing, Root Cyclone Technology, 40mins Long Runtime, Lightweight Multi-Surface & Pet Hair Cleaning, S12 Series",$118.88,226,4.4,"['72%', '13%', '5%', '4%', '6%']"
24,"*hark AV1010AE IQ Robot Vacuum with XL Self-Empty Base, Advanced Navigation Mapping, Wifi & Alexa, Multi-Surface Brushroll, Carpet & Hard Floor, Multi-Stage Filtration, for Pets, Dander & Dust, Black",$547.00,581,4.4,"['72%', '13%', '8%', '3%', '5%']"
25,"*oover MAXLife Pet Max Complete, Bagless Upright Vacuum Cleaner, For Carpet and Hard Floor, UH74110, Blue Pearl",$159.50,"3,267",4.4,"['69%', '18%', '6%', '3%', '5%']"
26,"*ureka Blaze Stick Vacuum Cleaner, Powerful Suction 3-in-1 Small Handheld Vac with Filter for Hard Floor Lightweight Upright Home Pet Hair, 1-(Pack), Blue",$33.99,"18,797",4.1,"['59%', '17%', '11%', '6%', '8%']"
27,"*ureka RapidClean Pro Lightweight Cordless Vacuum Cleaner, High Efficiency Powerful Digital Motor LED Headlights, Convenient Stick and Handheld Vac, Essential, Blue",$154.99,"9,849",4.4,"['68%', '16%', '6%', '3%', '6%']"
28,"*hark IZ363HT Anti-Allergen Pet Power Cordless Lightweight Stick Vacuum with Self-Cleaning Brushroll PowerFins, Removable Handheld, Crevice, Dusting Brush, Pet Multi Tool, Flex, 50 min runtime, Blue",Out of Stock,"1,891",4.6,"['75%', '15%', '5%', '1%', '3%']"
29,"*ISSELL PowerGlide Pet Slim Corded Vacuum, 3070",$179.99,"1,129",4.3,"['63%', '20%', '8%', '3%', '5%']"
30,"*ISSELL PowerGlide Pet Slim Cordless Stick Vacuum, 3080",Out of Stock,36,4.7,"['72%', '24%', '5%', '0%', '0%']"
31,"*ureka Blaze Stick Vacuum Cleaner, Powerful Suction 3-in-1 Small Handheld Vac with Filter for Hard Floor Lightweight Upright Home Pet Hair, Dark Black",$31.06,"36,740",4.1,"['58%', '17%', '11%', '5%', '8%']"
32,*acuum Cleaner Corded GeeMo 3 in 1 Stick Vacuum Cleaner with HEPA Filter Lightweight for Home Hard Floor Pet-Red,$49.99,3,4,"['50%', '0%', '50%', '0%', '0%']"
33,"*ureka PowerSpeed Lightweight Powerful Pet Upright Vacuum Cleaner, for Carpet and Hard Floor, Suction with Upgrated Cyclone, New Model",$79.99,996,4.6,"['72%', '19%', '5%', '2%', '2%']"
34,"*oover MAXLife Pro Pet Swivel Bagless Upright Vacuum Cleaner, HEPA Media Filtration, For Carpet and Hard Floor, UH74220PC, Black",$199.99,"5,822",4.4,"['70%', '15%', '5%', '2%', '7%']"
35,"*ISSELL Cleanview Rewind Pet Bagless Vacuum Cleaner, 2489, Blue",$89.99,"4,494",4.7,"['79%', '13%', '4%', '2%', '2%']"
36,"*OPPIN Cordless Vacuum Cleaner - Up to 40 Min Runtime, 4 in 1 Stick Handheld Vacuum Cleaner with Powerful Motor LED Headlights for Home Hard Floor Carpet Car Pet",$109.99,68,4.9,"['93%', '6%', '0%', '0%', '1%']"
37,"*ONITURE H10 Cordless Vacuum Stick Cleaner,250W Powerful Suction 3.5 pounds Lightweight with LED, Working 40 mins, 180 Foldable Upgrade Removable Battery for Pet Hair Cleaning",Out of Stock,246,4.6,"['87%', '3%', '2%', '2%', '6%']"
38,*acuum Cleaner Corded GeeMo 3 in 1 Stick Vacuum Cleaner with HEPA Filter Lightweight for Home Hard Floor Pet-Red,$49.99,3,4,"['50%', '0%', '50%', '0%', '0%']"
39,"*EQUARE Cordless Vacuum, 26Kpa Stick Vacuum Cleaner with LED Display, 9 Gears Adjustable Suction, 40min Long Runtime, Brushless Motor, Lightweight Multi-Surface & Pet Hair Cleaning, S26",$129.98,705,4.4,"['73%', '14%', '4%', '4%', '6%']"
40,"*hark AV752 ION Robot Vacuum, with Tri-Brush System, Wi-Fi Connected, 120min Runtime, Works with Alexa, Multi-Surface Cleaning, White",$144.00,"2,766",4.4,"['66%', '19%', '7%', '3%', '5%']"
41,"*EQUARE Vacuum Cleaner, 20Kpa Stick Vacuum with Self-Standing, Dual-HEPA Filtration, LED Multi-Tasker Floor Head, Extra HEPA Filter, Handheld Vacuum for Carpet Hardwood, S181",$99.98,"2,040",4.4,"['69%', '18%', '6%', '2%', '5%']"
42,"*ureka RapidClean Pro Lightweight Cordless Vacuum Cleaner, High Efficiency Powerful Digital Motor LED Headlights, Convenient Stick and Handheld Vac, Essential, Blue",$154.99,"9,849",4.4,"['68%', '16%', '6%', '3%', '6%']"
43,"*ureka PowerSpeed Bagless Upright Vacuum Cleaner, Pet Turbo, Black",$90.35,"10,090",4.5,"['70%', '17%', '6%', '3%', '4%']"
44,"*POSEN Cordless Vacuum, Powerful Suction 4 in 1 Stick/Handheld Vacuum Cleaner, High Efficiency Filtration System, Quiet, Lightweight for Home Car Pet Hair Hard Floor Tile Low Carpet - H150",$89.99,245,4.1,"['57%', '20%', '7%', '5%', '10%']"
45,"*issell Pet Hair Eraser Turbo Rewind Upright Vacuum Cleaner, 27909, Blue",Out of Stock,"2,334",4.6,"['75%', '14%', '5%', '2%', '3%']"
46,"*ISSELL Cleanview Bagless Vacuum Cleaner, 2486, Orange",$79.99,"19,873",4.7,"['78%', '15%', '4%', '1%', '2%']"
