,제목,가격,리뷰수,리뷰평점,평점비율
0,*nfinite,prime video,188 global,3.4,[]
1,*ake Shelter,prime video,2586 global,4.0,[]
2,*akers,prime video,2095 global,4.5,[]
3,*oin' South,$5.99,952,4.5,"['72%', '13%', '8%', '3%', '4%']"
4,*hef [Blu-ray],$8.35,"9,752",4.8,"['87%', '8%', '2%', '1%', '1%']"
5,*eal Steel,$5.59,"11,680",4.7,"['83%', '11%', '4%', '1%', '1%']"
6,*olittle [Blu-ray],$9.45,"49,536",4.3,"['64%', '17%', '12%', '4%', '3%']"
7,*reen Zone,prime video,2498 global,4.3,[]
8,*nbreakable,prime video,16608 global,4.6,[]
9,*eign Of Fire,prime video,4087 global,4.6,[]
10,*atch And Release,prime video,1383 global,4.4,[]
11,*ortal,prime video,10491 global,4.1,[]
12,"*dge, The",$12.00,"5,854",4.7,"['83%', '11%', '4%', '1%', '1%']"
13,*efore I Go to Sleep,prime video,2217 global,4.2,[]
14,*60,prime video,475 global,3.6,[]
15,*olombiana,prime video,6126 global,4.7,[]
16,*ions For Lambs,prime video,714 global,3.7,[]
17,*illy Crystal & Gene Hackman 4-Movie MGM Collection: The Birdcage / Heartbreakers / Memories of Me / Mr. Saturday Night,Out of Stock,7,4.3,"['51%', '32%', '18%', '0%', '0%']"
18,*escue Dawn,prime video,1861 global,4.3,[]
19,*herni,prime video,109 global,3.7,[]
20,*inocchio (2020) [English Subtitled],prime video,1303 global,3.8,[]
21,*verest: Beyond the Limit,prime video,100 global,4.3,[]
22,*isaster Movie (Fullscreen),Out of Stock,730,4.0,"['59%', '11%', '11%', '5%', '14%']"
23,*pider-Man: The Tobey Maguire & Andrew Garfield 5-Movie Blu-ray Collection: Spider-Man / Spider-Man 2 / Spider-Man 3 / The Amazing Spider-Man / The Amazing Spider-Man 2 [Spiderman Bluray Set],Out of Stock,25,4.6,"['85%', '0%', '9%', '0%', '6%']"
24,*he Execution of Wanda Jean,Out of Stock,30,4.6,"['85%', '5%', '0%', '0%', '9%']"
