,제목,가격,리뷰수,리뷰평점,평점비율
0,"*llegro Coffee Organic Espresso Sierra Ground Coffee, 12 oz",Out of Stock,435,4.4,"['69%', '16%', '7%', '6%', '3%']"
1,"*evalia Espresso Dark Roast Ground Coffee (12 oz Bags, Pack of 6)",$35.88,654,4.8,"['89%', '7%', '3%', '1%', '1%']"
2,"*unkin' Donuts Coffee, Original Blend Medium Roast Coffee, K Cup Pods for Keurig Coffee Makers, 128 Count",$64.17,"1,751",4.9,"['93%', '4%', '1%', '1%', '1%']"
3,"*thical Bean Fairtrade Organic Coffee, Sweet Espresso Medium Dark Roast, Ground Coffee Beans - 100% Arabica Coffee (8 oz Bag), 0.5 Pound (Pack of 1)",$7.96,268,4.4,"['66%', '17%', '9%', '4%', '3%']"
4,"*cCafe Premium Medium Roast K-Cup Coffee Pods, Premium Roast, 84 Count",Out of Stock,"38,275",4.8,"['85%', '9%', '3%', '1%', '1%']"
5,"*eet’s Coffee Major Dickason's Blend K-Cup Coffee Pods for Keurig Brewers, Dark Roast, 75 Pods",$32.80,"36,889",4.8,"['87%', '9%', '3%', '1%', '1%']"
6,*olgers Classic Roast Ground Coffee (51 oz.),Out of Stock,"2,336",4.8,"['91%', '6%', '2%', '0%', '1%']"
7,"*mazonFresh Just Bright Ground Coffee, Light Roast, 32 Ounce",$11.15,113,4.5,"['70%', '16%', '8%', '2%', '4%']"
8,"*mazonFresh Donut Cafe Ground Coffee, Medium Roast, 32 Ounce",$13.43,271,4.5,"['70%', '16%', '7%', '4%', '2%']"
9,"*he Original Donut Shop Keurig Single-Serve K-Cup Pods, Regular Medium Roast Coffee, 72 Count",$30.23,"44,108",4.8,"['85%', '10%', '3%', '1%', '1%']"
10,"*eurig Coffee Lovers' Collection Variety Pack, Single-Serve Coffee K-Cup Pods Sampler, 40 Count",Out of Stock,"44,999",4.6,"['78%', '14%', '6%', '1%', '1%']"
11,*tarbucks Medium Roast Ground Coffee - Pike Place Roast - 100% Arabica - 1 Bag (20 Oz.),Out of Stock,"29,427",4.7,"['84%', '10%', '3%', '1%', '2%']"
12,"*mazonFresh Colombia Ground Coffee, Medium Roast, 32 Ounce",Out of Stock,"5,989",4.4,"['67%', '19%', '8%', '3%', '3%']"
13,"*he Original Donut Shop Regular, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 96 Count",Out of Stock,"44,108",4.8,"['85%', '10%', '3%', '1%', '1%']"
14,"*unkin' Original Blend Medium Roast Ground Coffee, 12 Ounces",Out of Stock,"15,229",4.7,"['82%', '11%', '4%', '1%', '1%']"
15,"*mazon Brand - 100 Ct. Solimo Dark Roast Coffee Pods, French Roast, Compatible with Keurig 2.0 K-Cup Brewers",Out of Stock,"33,967",4.5,"['74%', '15%', '6%', '2%', '3%']"
16,"*eet's Coffee Major Dickason's Blend, Dark Roast Ground Coffee, 18 oz",Out of Stock,"13,989",4.7,"['82%', '10%', '4%', '1%', '2%']"
17,"*olgers Gourmet Supreme Medium Dark Roast Ground Coffee, 24.2 Ounces",Out of Stock,"4,994",4.8,"['84%', '11%', '3%', '1%', '1%']"
18,"*mazon Brand - 100 Ct. Solimo Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers",Out of Stock,"7,574",4.5,"['72%', '15%', '7%', '2%', '3%']"
19,"*ictor Allen's Coffee Colombian Roast, Medium Roast, 120 Count Single Serve Coffee Pods for Keurig K-Cup Brewers",$39.56,"98,818",4.6,"['75%', '14%', '6%', '2%', '3%']"
20,"*alhalla Java Bagged Coffee Grounds [12 Oz.] World’s Strongest Coffee, USDA Certified Organic, Fair Trade, Arabica, Robusta (1-Pack)",Out of Stock,"7,887",4.7,"['82%', '11%', '5%', '1%', '2%']"
21,*raeger Grills SPC172 Seasoning and BBQ Coffee Rub,Out of Stock,"12,682",4.7,"['82%', '11%', '4%', '1%', '1%']"
22,"*evalia French Roast Ground Coffee (12 oz Bags, Pack of 6)",$29.94,338,4.9,"['91%', '7%', '1%', '0%', '1%']"
23,"*olgers Classic Roast Medium Roast Ground Coffee, 30.5 Ounces (Pack of 6)",Out of Stock,"7,282",4.8,"['88%', '9%', '2%', '0%', '1%']"
24,"*tarbucks by Nespresso Capsules for Vertuo Machines — Blonde Medium Dark Roast — 5 boxes pods total, Coffee Variety Pack, 40 Count",Out of Stock,"2,021",4.6,"['79%', '12%', '5%', '2%', '3%']"
25,"*mazon Brand - 100 Ct. Solimo Medium Roast Coffee Pods, Colombian, Compatible with Keurig 2.0 K-Cup Brewers",Out of Stock,"22,939",4.4,"['69%', '16%', '8%', '3%', '4%']"
