,제목,가격,리뷰수,리뷰평점,평점비율
0,*y Annoying Brother,prime video,149,4.9,"['95%', '4%', '0%', '0%', '1%']"
1,*long With The Gods: The Two Worlds,prime video,868,4.6,"['80%', '11%', '5%', '2%', '2%']"
2,*oin Locker Girl,prime video,84,4.2,"['60%', '17%', '8%', '7%', '7%']"
3,*ittle Forest,prime video,257,4.8,"['88%', '8%', '2%', '2%', '0%']"
4,*ranny's Got Talent,prime video,4,5,"['100%', '0%', '0%', '0%', '0%']"
5,"*heer Up, Mr. Lee",prime video,11,4.7,"['86%', '0%', '14%', '0%', '0%']"
6,*or the Emperor,prime video,42,4.5,"['76%', '12%', '4%', '2%', '5%']"
7,*irst Love,prime video,483,4.3,"['60%', '22%', '11%', '4%', '3%']"
8,*he Singer,prime video,44,4.6,"['84%', '4%', '9%', '0%', '4%']"
9,*he Royal Tailor,prime video,412,4.7,"['84%', '8%', '2%', '3%', '2%']"
10,*bsessed,prime video,44,4.4,"['63%', '23%', '5%', '6%', '3%']"
11,*ix Ball,prime video,1,1,"['0%', '0%', '0%', '0%', '100%']"
12,*he Attorney,prime video,17,4.2,"['65%', '18%', '0%', '7%', '11%']"
13,*shfall,prime video,523,4.2,"['57%', '21%', '13%', '4%', '5%']"
14,*isky Romance,prime video,7,4.7,"['65%', '35%', '0%', '0%', '0%']"
15,*he Vanished,prime video,14,4.5,"['74%', '16%', '0%', '10%', '0%']"
16,*razy Romance,prime video,22,4.8,"['76%', '24%', '0%', '0%', '0%']"
17,*he Whispering,prime video,8,3.8,"['15%', '52%', '33%', '0%', '0%']"
18,*ecalled,prime video,20,4.8,"['86%', '7%', '7%', '0%', '0%']"
19,*r. Egotistic,prime video,4,5,"['100%', '0%', '0%', '0%', '0%']"
20,*he Housemaid (English Subtitled),prime video,468,4.3,"['65%', '14%', '8%', '5%', '7%']"
21,*oad Kill,prime video,5,4.2,"['58%', '0%', '42%', '0%', '0%']"
22,*he Handmaiden,prime video,1440,4.3,"['76%', '7%', '3%', '3%', '11%']"
23,* Taxi Driver,prime video,432,4.8,"['87%', '8%', '2%', '1%', '2%']"
24,*omme Fatale,prime video,14,4.6,"['68%', '22%', '10%', '0%', '0%']"
25,*ukuoka,prime video,3,4.6,"['63%', '37%', '0%', '0%', '0%']"
26,*eteran,prime video,98,4.5,"['73%', '14%', '9%', '1%', '4%']"
27,*n Your Wedding Day,prime video,42,4,"['60%', '11%', '6%', '18%', '5%']"
28,*an in Love,prime video,38,4,"['46%', '25%', '22%', '0%', '7%']"
29,*iss Conspirator,prime video,3,5,"['100%', '0%', '0%', '0%', '0%']"
30,*eliever,prime video,101,4.3,"['63%', '23%', '7%', '2%', '6%']"
31,*-Iron,prime video,199,4.3,"['68%', '12%', '8%', '6%', '6%']"
32,*layful Kiss,prime video,20,4.4,"['68%', '18%', '8%', '0%', '6%']"
33,*he Beauty Inside,prime video,157,4.6,"['77%', '13%', '5%', '2%', '3%']"
34,*ountdown,prime video,17,4.8,"['84%', '16%', '0%', '0%', '0%']"
35,*orry I Love You,prime video,13,3.2,"['45%', '0%', '15%', '10%', '30%']"
36,*he Swordsman,prime video,2581,4.6,"['74%', '17%', '6%', '1%', '2%']"
37,*orean Food Made Simple,prime video,1,5,"['100%', '0%', '0%', '0%', '0%']"
38,"*ove, Again",prime video,5,3.7,"['38%', '38%', '0%', '0%', '24%']"
39,*inari,prime video,5941,4.5,"['72%', '14%', '8%', '3%', '3%']"
40,*anshin,prime video,11,4.5,"['78%', '12%', '0%', '0%', '11%']"
41,*ne-Line,prime video,3,5,"['100%', '0%', '0%', '0%', '0%']"
42,*he Taste of Money,prime video,26,4.2,"['49%', '33%', '11%', '7%', '0%']"
43,*o Tomorrow,prime video,4,3.8,"['28%', '26%', '46%', '0%', '0%']"
44,*iss Baek,prime video,70,4.7,"['82%', '13%', '3%', '2%', '0%']"
45,*ace to Freedom: Um Bok Dong,prime video,3,5,"['100%', '0%', '0%', '0%', '0%']"
46,*roof of Innocence,prime video,53,4.6,"['75%', '18%', '3%', '0%', '3%']"
47,*pirits' Homecoming,prime video,11,4.4,"['57%', '30%', '13%', '0%', '0%']"
48,*he Table,prime video,7,4.1,"['45%', '16%', '39%', '0%', '0%']"
49,*ive Children,prime video,5,3.8,"['46%', '32%', '0%', '0%', '21%']"
50,*omance of Their Own,prime video,14,4,"['50%', '23%', '9%', '10%', '9%']"
51,*eliver Us From Evil,prime video,24,4.3,"['70%', '10%', '10%', '0%', '10%']"
52,*hristmas In August,prime video,42,4.4,"['65%', '18%', '8%', '9%', '0%']"
53,*candal Makers,prime video,133,4.5,"['71%', '15%', '8%', '6%', '0%']"
54,*h My Ghost,prime video,51,4.7,"['82%', '12%', '4%', '0%', '2%']"
55,*ntold Scandal,prime video,62,4.3,"['67%', '19%', '3%', '3%', '9%']"
56,*de to the Goose,prime video,1,5,"['100%', '0%', '0%', '0%', '0%']"
57,*ISSION: POSSIBLE,prime video,84,4.4,"['70%', '17%', '6%', '0%', '6%']"
58,*he Huntresses,prime video,53,4.5,"['74%', '11%', '10%', '0%', '5%']"
59,*he Outlaws,prime video,115,4.6,"['78%', '15%', '3%', '1%', '3%']"
