,제목,가격,리뷰수,리뷰평점,평점비율
0,"*issell ProHeat 2X Revolution Max Clean Pet Pro Full-Size Carpet Cleaner, 1986, with Antibacterial Formula and Bonus 3"" Tough Stain Tool",$249.99,"16,155",4.7,"['81%', '12%', '3%', '1%', '3%']"
1,"*EVOIT Air Purifier for Home Allergies and Pets Hair Smokers in Bedroom, H13 True HEPA Filter, 24db Filtration System Cleaner Odor Eliminators, Remove 99.97% Dust Smoke Mold Pollen, Core 300, White",$89.99,"35,547",4.7,"['82%', '13%', '3%', '1%', '1%']"
2,*kullcandy Sesh Evo True Wireless In-Ear Earbud - True Black,$39.99,"16,416",4.3,"['67%', '15%', '6%', '4%', '8%']"
3,"*EVOIT Air Purifier for Home Large Room, Smoke and Odor Eliminator, H13 True HEPA Filter for Bedroom, Auto Mode, Cleaners for Allergies and Pets, Mold Pollen Dust, LV-H133, White",$179.99,"3,719",4.7,"['85%', '9%', '2%', '1%', '2%']"
4,"*eagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX2000400)",$54.99,"131,080",4.7,"['85%', '10%', '2%', '1%', '2%']"
5,"*ATIONAL GEOGRAPHIC Rock & Fossil Collection - Rock Collection for Kids, 20 Rocks and Fossils with Shark Teeth, Agate, Rose Quartz, Jasper, Coral, & More, Great STEM Science Kit for Boys and Girls",Out of Stock,"8,666",4.7,"['82%', '12%', '4%', '1%', '1%']"
6,"*UDE Body Powder, Menthol Chill 4 Ounce (3 Bottle Pack) Natural Deodorizers Cooling Menthol & Aloe, Talc Free Formula, Corn-Starch Based Daily Post-Shower Deodorizing Powder for Men",$23.16,752,4.7,"['78%', '15%', '5%', '1%', '2%']"
7,"*dam's Car Wash Shampoo Gallon - pH Best Car Wash Soap For Snow Foam Cannon, Foam Gun, Car Soap Wash For Pressure Washer & 5 Gallon Wash Bucket Kit | Powerful Safe Spot Free Car Cleaning Liquid Auto Detergent | Safe On Car Wax & Ceramic Coating",Out of Stock,"1,583",4.8,"['88%', '9%', '2%', '0%', '1%']"
8,"*iant Tumbling Timber Toy - 60 Jumbo Wooden Blocks Floor Game for Kids and Adults, w/ Storage Crate - Premium Pine Wood, Life Size- Grows to Over 5-feet While Playing",$84.99,"9,296",4.7,"['83%', '11%', '4%', '1%', '2%']"
9,"* Pack Large Burp Cloths for Baby - 20"" by 10"" Ultra Absorbent Burping Cloth, Hand Washcloths, Newborn Towel - Milk Spit Up Rags - Burpy Cloths for Unisex, Boy, Girl - Burp Cloths Set(White)",Out of Stock,"2,279",4.8,"['86%', '9%', '3%', '1%', '1%']"
10,*LAMFIELDS Reusable Chopsticks Japanese Natural Wooden Classic Style 5 Pairs Lightweight Hand-Carved Safe Chop Sticks 8.8 Inch/22.5cm Gift Set,Out of Stock,"1,515",4.8,"['89%', '7%', '3%', '0%', '0%']"
11,"*nker Power Strip Surge Protector, 12 Outlets & 3 USB Ports with Flat Plug, PowerPort Strip With 6ft Extension Cord, PowerIQ for iPhone XS/XS Max/XR/X, Galaxy, for Home, Office, and More (4000 Joules)",$35.99,"9,404",4.9,"['90%', '8%', '1%', '0%', '1%']"
12,"*ear Mender Instant Fabric and Leather Adhesive, 2 oz Bottle, TG-2",$9.30,"11,336",4.1,"['59%', '15%', '10%', '5%', '11%']"
13,"*INTAR Power Strip Surge Protector (2 × 4800 Joules) with 12 AC Outlets,1875W Output,6ft Long Extension Cord Flat Plug with Dual Surge Protection for Office,Home,ETL Listed,Black",Out of Stock,105,4.8,"['89%', '7%', '2%', '0%', '1%']"
14,*VOS Large Salad Spinner 5 Quarts Fruits and Vegetables Dryer Quick Dry Keeper Design BPA Free Dry Off Drain Lettuce with Ease for Tastier Salads and Faster Food Prep,Out of Stock,39,4.7,"['82%', '11%', '3%', '5%', '0%']"
15,*leumdr Womens Printed Strappy Racerback Tankini Swim Top No Bottom S - XXXL,$13.99 - $22.56,"3,883",4.2,"['62%', '17%', '10%', '4%', '7%']"
16,"*asa Smart Plug Power Strip KP303, Surge Protector with 3 Individually Controlled Smart Outlets and 2 USB Ports, Works with Alexa & Google Home, No Hub Required , White",$24.99,"3,773",4.8,"['85%', '11%', '3%', '1%', '1%']"
17,"*asa Smart Dimmer Switch HS220P3, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified,, No Hub Required, 3-Pack",$54.99,"3,207",4.7,"['82%', '11%', '4%', '2%', '2%']"
18,"【Father's Day Gift】RegeMoudal Emergency Solar Hand Crank Radio, NOAA Weather Radio for Emergency with AM/FM, LED Flashlight, 2000mAh Power Bank and SOS Alarm，USB Mobile Phone Charger（Red）",Out of Stock,328,4.6,"['77%', '15%', '4%', '2%', '2%']"
19,"*nker Power Strip Surge Protector (2 × 4000 Joules), PowerExtend Strip 12 Outlets with Flat Plug, 1875W Output, 6ft Extension Cord, Dual Surge Protection for Office, Home",Out of Stock,"4,192",4.9,"['89%', '9%', '1%', '0%', '1%']"
20,"*arage Door Remote Control, Replacement for Liftmaster Chamberlain 371LM, 373LM, 375LM, 971LM, 973LM, 375UT, 893MAX, KLIK1U, 315MHz, 390MHz, Intellicode Multicode Linear 308",Out of Stock,297,4.1,"['64%', '10%', '8%', '3%', '15%']"
21,"*potti Men's Cycling Bike Jersey Long Sleeve with 3 Rear Pockets - Moisture Wicking, Breathable, Quick Dry Biking Shirt",$21.99,"2,348",4.5,"['68%', '18%', '8%', '2%', '3%']"
22,"*isca Remote Control Robotic Dog RC Interactive Intelligent Walking Dancing Programmable Robot Puppy Toy Electronic Pets with Light and Sound for Kids Boys Girls Age 6, 7, 8, 9, 10 and Up Years Old",Out of Stock,"1,294",4.3,"['65%', '17%', '10%', '4%', '4%']"
23,"*ireless Charger,ZHIKE 3 in 1 Qi-Certified 15W Fast Charging Station for Apple iWatch Series 5/4/3/2/1,AirPods,Wireless Charging Stand for iPhone 11 Series/XS MAX/XR/XS/X/8/8 Plus/Samsung(With a plug)",Out of Stock,"3,171",4.1,"['63%', '12%', '8%', '6%', '10%']"
24,"*ED Desk Lamp with Wireless Charger, USB Charging Port, Desk Lighting with 5 Brightness Level, 5 Lighting Modes, Dimmable Eye-Caring Reading Desk Lamp for Home Office,Touch Control,30/60min Auto Timer",Out of Stock,"2,116",4.4,"['70%', '15%', '7%', '3%', '5%']"
25,"*owntown Pet Supply Dog Pet Waste Poop Bags with Leash Clip and Bag Dispenser - 180, 220, 500, 700, 880, 960, 2200 Bags",Out of Stock,"21,738",4.7,"['81%', '11%', '5%', '1%', '2%']"
26,"*asa Smart Plug HS103P4, Smart Home Wi-Fi Outlet Works with Alexa, Echo, Google Home & IFTTT, No Hub Required, Remote Control, 15 Amp, UL Certified,4-Pack , White",$24.99,"21,548",4.7,"['84%', '10%', '3%', '1%', '2%']"
